reference_number,color_and_brick,quantity,set_number
8662stk01," Sticker Sheet for Set 8662 - (54391/4284045)Catalog: Parts: Sticker Sheet4284045
",1,8662
3023,"Black Plate 1 x 2Catalog: Parts: Plate302326
",1,8662
6157,"Black Plate, Modified 2 x 2 with Wheels Holder Wide and HoleCatalog: Parts: Plate, Modified615726
",2,8662
4073,"Black Plate, Round 1 x 1Catalog: Parts: Plate, Round614126
",4,8662
50950,"Black Slope, Curved 3 x 1Catalog: Parts: Slope, Curved4251161
",2,8662
2412b,"Black Tile, Modified 1 x 2 Grille with Bottom Groove / LipCatalog: Parts: Tile, Modified241226
",1,8662
30028,"Black Tire 14mm D. x 9mm Smooth Small Wide SlickCatalog: Parts: Tire & Tread3002826 or 4508215
",4,8662
30027b,"Black Wheel  8mm D. x 9mm for Slicks, Hole Notched for Wheels Holder PinCatalog: Parts: Wheel4186769
",4,8662
2436,"Blue Bracket 1 x 2 - 1 x 4Catalog: Parts: Bracket4189120 or 4282744
",2,8662
3021,"Blue Plate 2 x 3Catalog: Parts: Plate302123
",1,8662
3031,"Blue Plate 4 x 4Catalog: Parts: Plate4243815 or 303123
",1,8662
3069b,"Blue Tile 1 x 2 with GrooveCatalog: Parts: Tile306923
",2,8662
2412b,"Blue Tile, Modified 1 x 2 Grille with Bottom Groove / LipCatalog: Parts: Tile, Modified241223
",1,8662
50947,"Blue Vehicle, Mudguard 1 x 4 1/2Catalog: Parts: Vehicle, Mudguard6096304 or 4631265 or 4277779
",4,8662
3022,"Dark Bluish Gray Plate 2 x 2Catalog: Parts: Plate4211094
",1,8662
2412b,"Metallic Silver Tile, Modified 1 x 2 Grille with Bottom Groove / LipCatalog: Parts: Tile, Modified6051422 or 51815301 or 4249040
",3,8662
50943,"Metallic Silver Vehicle, Air Scoop Engine Top 2 x 2Catalog: Parts: Vehicle6051377 or 4248345
",1,8662
54200,"Trans-Black Slope 30 1 x 1 x 2/3Catalog: Parts: Slope6245263 or 4244368
",2,8662
54200,"Trans-Red Slope 30 1 x 1 x 2/3Catalog: Parts: Slope6245252 or 4244363
",2,8662
2436,"White Bracket 1 x 2 - 1 x 4Catalog: Parts: Bracket4159314 or 4282737
",2,8662
3023,"White Plate 1 x 2Catalog: Parts: Plate302301
",2,8662
3795,"White Plate 2 x 6Catalog: Parts: Plate379501
",1,8662
3794a,"White Plate, Modified 1 x 2 with 1 Stud without Groove (Jumper)Catalog: Parts: Plate, Modified379401
",1,8662
54200,"White Slope 30 1 x 1 x 2/3Catalog: Parts: Slope4244370 or 4504369
",3,8662
2431,"White Tile 1 x 4Catalog: Parts: Tile243101
",1,8662
4073,"Black Plate, Round 1 x 1Catalog: Parts: Plate, Round614126
",1,8662
30027bc01(inv),"Black Wheel 8mm D. x 9mm for Slicks, Hole Notched for Wheels Holder Pin with Black Tire Smooth Small Wide Slick (30027b / 30028)Catalog: Parts: Wheel & Tire AssemblyPart Color Code Missing
",4,8662
3069bpb0019L,"Blue Tile 1 x 2 with Groove with White Arrow Left and 'XRFUEL' on Blue and Gray Pattern (Sticker) - Set 8662Catalog: Parts: Tile, DecoratedPart Color Code Missing
",1,8662
3069bpb0019R,"Blue Tile 1 x 2 with Groove with White Arrow Right and 'XRFUEL' on Blue and Gray Pattern (Sticker) - Set 8662Catalog: Parts: Tile, DecoratedPart Color Code Missing
",1,8662
50947pb005L,"Blue Vehicle, Mudguard 1 x 4 1/2 with '5 R' Pattern Left (Stickers) - Sets 6111 / 8662Catalog: Parts: Vehicle, Mudguard, DecoratedPart Color Code Missing
",1,8662
50947pb005R,"Blue Vehicle, Mudguard 1 x 4 1/2 with '5 R' Pattern Right (Stickers) - Sets 6111 / 8662Catalog: Parts: Vehicle, Mudguard, DecoratedPart Color Code Missing
",1,8662
50947pb028L,"Blue Vehicle, Mudguard 1 x 4 1/2 with 'TURBO OIL' Pattern Model Left Side (Sticker) - Sets 6111 / 8662Catalog: Parts: Vehicle, Mudguard, DecoratedPart Color Code Missing
",1,8662
50947pb028R,"Blue Vehicle, Mudguard 1 x 4 1/2 with 'TURBO OIL' Pattern Model Right Side (Sticker) - Sets 6111 / 8662Catalog: Parts: Vehicle, Mudguard, DecoratedPart Color Code Missing
",1,8662
50943pb03,"Metallic Silver Vehicle, Air Scoop Engine Top 2 x 2 with Blue and White Swirl Pattern (Sticker) - Set 8662Catalog: Parts: VehiclePart Color Code Missing
",1,8662
2431pb056,"White Tile 1 x 4 with Blue and White 'Race' Pattern (Sticker) - Set 8662Catalog: Parts: Tile, DecoratedPart Color Code Missing
",1,8662
