reference_number,color_and_brick,quantity,set_number
4589,"Black Cone 1 x 1 without Top GrooveCatalog: Parts: Cone4518219 or 4529236 or 458926
",2,7250
4349,"Black Minifigure, Utensil Loudhailer / Megaphone / SW BlasterCatalog: Parts: Minifigure, Utensil434926
",1,7250
41855,"Black Slope, Curved 2 x 2 x 2/3 with Two Studs and Curved Sides, Lip EndCatalog: Parts: Slope, Curved4184809
",1,7250
2780,"Black Technic, Pin with Friction Ridges Lengthwise, Staggered, with or without Center SlotsCatalog: Parts: Technic, Pin6279875 or 4121715 or 278026
",2,7250
44728,"Dark Bluish Gray Bracket 1 x 2 - 2 x 2Catalog: Parts: Bracket6117972 or 6048854 or 4210893 or 4277928
",4,7250
47905,"Dark Bluish Gray Brick, Modified 1 x 1 with Studs on 2 Sides, OppositeCatalog: Parts: Brick, Modified4213574
",1,7250
44567a,"Dark Bluish Gray Hinge Plate 1 x 2 Locking with 1 Finger on Side with Bottom GrooveCatalog: Parts: Hinge4210892
",2,7250
30031,"Dark Bluish Gray Minifigure, Utensil HandlebarsCatalog: Parts: Minifigure, Utensil4261908
",1,7250
3023,"Dark Bluish Gray Plate 1 x 2Catalog: Parts: Plate4211063
",2,7250
6019,"Dark Bluish Gray Plate, Modified 1 x 1 with U Clip (Horizontal Grip)Catalog: Parts: Plate, Modified4216973
",2,7250
4032,"Dark Bluish Gray Plate, Round 2 x 2 with Axle HoleCatalog: Parts: Plate, Round4211042
",2,7250
32013,"Dark Bluish Gray Technic, Axle and Pin Connector Angled #1Catalog: Parts: Technic, Connector6296856 or 32013199 or 4210658
",1,7250
32014,"Dark Bluish Gray Technic, Axle and Pin Connector Angled #6 - 90 degreesCatalog: Parts: Technic, Connector6268923 or 4210671
",1,7250
32064c,"Dark Bluish Gray Technic, Brick 1 x 2 with Axle Hole (+ Shape) and Inside Side SupportsCatalog: Parts: Technic, Brick4210935
",4,7250
2431,"Dark Bluish Gray Tile 1 x 4Catalog: Parts: Tile4211053
",2,7250
2412b,"Dark Bluish Gray Tile, Modified 1 x 2 Grille with Bottom Groove / LipCatalog: Parts: Tile, Modified4210631
",10,7250
48336,"Dark Red Plate, Modified 1 x 2 with Bar Handle on Side - Closed EndsCatalog: Parts: Plate, Modified4259941
",2,7250
32013,"Dark Red Technic, Axle and Pin Connector Angled #1Catalog: Parts: Technic, Connector4260023 or 4541306 or 4533341
",1,7250
3794a,"Green Plate, Modified 1 x 2 with 1 Stud without Groove (Jumper)Catalog: Parts: Plate, Modified379428
",2,7250
43723,"Green Wedge, Plate 3 x 2 LeftCatalog: Parts: Wedge, Plate4621946 or 4180538
",1,7250
43722,"Green Wedge, Plate 3 x 2 RightCatalog: Parts: Wedge, Plate4621947 or 4180510
",1,7250
3957,"Light Bluish Gray Antenna 4H - Round TopCatalog: Parts: Antenna4211473
",1,7250
