reference_number,color_and_brick,quantity,set_number
4095,"Black Bar   6.6L with Stop Ring (Patio Umbrella Stand)Catalog: Parts: Bar409526
",1,4500
4360,"Black Minifigure, Utensil Camera with Side Sight (Space Gun)Catalog: Parts: Minifigure, Utensil436026
",2,4500
3023,"Black Plate 1 x 2Catalog: Parts: Plate302326
",2,4500
3795,"Black Plate 2 x 6Catalog: Parts: Plate379526
",1,4500
4073,"Black Plate, Round 1 x 1Catalog: Parts: Plate, Round614126
",4,4500
4032,"Black Plate, Round 2 x 2 with Axle HoleCatalog: Parts: Plate, Round403226
",4,4500
2585,"Black String Reel 2 x 2 DrumCatalog: Parts: String Reel / Winch4188195
",1,4500
2584,"Black String Reel 2 x 2 HolderCatalog: Parts: String Reel / Winch6163507 or 258426
",1,4500
x77a,"Black String, Cord Thin (Undetermined Length)Catalog: Parts: String & Net7009426
",1,4500
3743,"Black Technic, Gear Rack 1 x 4Catalog: Parts: Technic, Gear4205760
",1,4500
6558,"Black Technic, Pin 3L with Friction Ridges LengthwiseCatalog: Parts: Technic, Pin655826
",2,4500
2780,"Black Technic, Pin with Friction Ridges Lengthwise, Staggered, with or without Center SlotsCatalog: Parts: Technic, Pin6279875 or 4121715 or 278026
",2,4500
2412b,"Black Tile, Modified 1 x 2 Grille with Bottom Groove / LipCatalog: Parts: Tile, Modified241226
",4,4500
3680c02(inv),"Black Turntable 2 x 2 Plate with Light Bluish Gray Top (3680 / 3679)Catalog: Parts: Turntable4221774
",1,4500
64567,"Chrome Silver Minifigure, Weapon Lightsaber Hilt StraightCatalog: Parts: Minifigure, Weapon4124050
",1,4500
30236,"Dark Bluish Gray Brick, Modified 1 x 2 with Bar HandleCatalog: Parts: Brick, Modified4211128
",1,4500
4588,"Dark Bluish Gray Brick, Round 1 x 1 with FinsCatalog: Parts: Brick, Round6331222 or 6321195 or 6276026 or 4212352
",2,4500
4589,"Dark Bluish Gray Cone 1 x 1 without Top GrooveCatalog: Parts: Cone4518486 or 4529240 or 4210647
",2,4500
4740,"Dark Bluish Gray Dish 2 x 2 Inverted (Radar)Catalog: Parts: Dish4211010
",1,4500
3937,"Dark Bluish Gray Hinge Brick 1 x 2 BaseCatalog: Parts: Hinge4211066
",1,4500
30192,"Dark Bluish Gray Hook GrapplingCatalog: Parts: Hook6270008 or 4211079
",1,4500
3710,"Dark Bluish Gray Plate 1 x 4Catalog: Parts: Plate4211001
",3,4500
3020,"Dark Bluish Gray Plate 2 x 4Catalog: Parts: Plate4211065
",6,4500
3031,"Dark Bluish Gray Plate 4 x 4Catalog: Parts: Plate4211089 or 4243831
",6,4500
3030,"Dark Bluish Gray Plate 4 x 10Catalog: Parts: Plate4211122
",2,4500
30363,"Dark Bluish Gray Slope 18 4 x 2Catalog: Parts: Slope4210637
",4,4500
3039,"Dark Bluish Gray Slope 45 2 x 2Catalog: Parts: Slope4211054
",1,4500
3039px11,"Dark Bluish Gray Slope 45 2 x 2 with SW AT-AT PatternCatalog: Parts: Slope, DecoratedPart Color Code Missing
",1,4500
3940b,"Dark Bluish Gray Support 2 x 2 x 2 Stand with Complete HoleCatalog: Parts: Support4211110 or 6106283
",2,4500
6541,"Dark Bluish Gray Technic, Brick 1 x 1 with HoleCatalog: Parts: Technic, Brick4210639
",4,4500
75535,"Dark Bluish Gray Technic, Pin Connector Round 2L without Slot (Pin Joiner Round)Catalog: Parts: Technic, Connector4214919
",4,4500
2412b,"Dark Bluish Gray Tile, Modified 1 x 2 Grille with Bottom Groove / LipCatalog: Parts: Tile, Modified4210631
",7,4500
2436,"Light Bluish Gray Bracket 1 x 2 - 1 x 4Catalog: Parts: Bracket4211358 or 4282740
",1,4500
44728,"Light Bluish Gray Bracket 1 x 2 - 2 x 2Catalog: Parts: Bracket6117967 or 6009014 or 4211811 or 4277927
",6,4500
3956,"Light Bluish Gray Bracket 2 x 2 - 2 x 2 with 2 HolesCatalog: Parts: Bracket6254807 or 6019212 or 4211472
",1,4500
3003,"Light Bluish Gray Brick 2 x 2Catalog: Parts: Brick4211387
",1,4500
3002,"Light Bluish Gray Brick 2 x 3Catalog: Parts: Brick4211386
",1,4500
44375a,"Light Bluish Gray Dish 6 x 6 Inverted (Radar) - Hollow StudsCatalog: Parts: Dish4211796
",1,4500
32028,"Light Bluish Gray Plate, Modified 1 x 2 with Door RailCatalog: Parts: Plate, Modified4211568
",2,4500
4510,"Light Bluish Gray Plate, Modified 1 x 8 with Door RailCatalog: Parts: Plate, Modified4211498
",2,4500
2654,"Light Bluish Gray Plate, Round 2 x 2 with Rounded Bottom (Boat Stud)Catalog: Parts: Plate, Round4211372 or 4278273
",4,4500
32073,"Light Bluish Gray Technic, Axle  5LCatalog: Parts: Technic, Axle32073194 or 4211639
",1,4500
32270,"Light Bluish Gray Technic, Gear 12 Tooth Double BevelCatalog: Parts: Technic, Gear32270194 or 4211634
",1,4500
4274,"Light Bluish Gray Technic, Pin 1/2Catalog: Parts: Technic, Pin4211483 or 4274194
",2,4500
3069bps1,"Light Bluish Gray Tile 1 x 2 with Groove with SW Computer PatternCatalog: Parts: Tile, Decorated4212363
",2,4500
