reference_number,color_and_brick,quantity,set_number
3957,"Black Antenna 4H - Round TopCatalog: Parts: Antenna395726
",1,1793
2436,"Black Bracket 1 x 2 - 1 x 4Catalog: Parts: Bracket243626 or 4282746
",1,1793
4598,"Black Bracket 3 x 2 - 2 x 2 Inverted (Space Seat)Catalog: Parts: Bracket6021678
",1,1793
3005,"Black Brick 1 x 1Catalog: Parts: Brick300526
",4,1793
3004,"Black Brick 1 x 2Catalog: Parts: Brick300426
",3,1793
3010,"Black Brick 1 x 4Catalog: Parts: Brick301026
",3,1793
3003,"Black Brick 2 x 2Catalog: Parts: Brick300326
",2,1793
2357,"Black Brick 2 x 2 CornerCatalog: Parts: Brick235726
",2,1793
3002,"Black Brick 2 x 3Catalog: Parts: Brick300226
",2,1793
3001,"Black Brick 2 x 4Catalog: Parts: Brick300126
",2,1793
4588,"Black Brick, Round 1 x 1 with FinsCatalog: Parts: Brick, Round4163774 or 6039178
",2,1793
4589,"Black Cone 1 x 1 without Top GrooveCatalog: Parts: Cone4518219 or 4529236 or 458926
",2,1793
4285b,"Black Dish 6 x 6 Inverted (Radar) Webbed - Type 2 (underside attachment positions at 90 degrees)Catalog: Parts: Dish4189129 or 4509865
",2,1793
3475b,"Black Engine, Smooth Small, 1 x 2 Side Plate with Axle HoldersCatalog: Parts: Aircraft347526
",2,1793
2880,"Black Hinge Bar 2.5L with 2 and 3 Fingers on Ends (Pantograph Shoe Holder)Catalog: Parts: HingePart Color Code Missing
",3,1793
2433,"Black Hinge Bar with 3 Fingers and End Stud (Control Lever)Catalog: Parts: HingePart Color Code Missing
",1,1793
3937,"Black Hinge Brick 1 x 2 BaseCatalog: Parts: Hinge393726
",3,1793
4275b," Black Hinge Plate 1 x 2 with 3 Fingers - Hollow StudsCatalog: Parts: HingePart Color Code Missing
",1,1793
3597,"Black Hinge Plate 2 x 4 - Female (Digger Bucket Holder)Catalog: Parts: HingePart Color Code Missing
",1,1793
3315,"Black Hinge Plate 2 x 4 - Male (Digger Bucket Holder)Catalog: Parts: HingePart Color Code Missing
",1,1793
4531,"Black Hinge Tile 1 x 2 1/2 with 2 Fingers on TopCatalog: Parts: HingePart Color Code Missing
",8,1793
4315,"Black Hinge Vehicle Roof Holder 1 x 4Catalog: Parts: HingePart Color Code Missing
",1,1793
2362a,"Black Panel 1 x 2 x 3 - Solid StudsCatalog: Parts: Panel4113027
",4,1793
4215b,"Black Panel 1 x 4 x 3 - Hollow StudsCatalog: Parts: Panel421526 or 4105207
",2,1793
3023,"Black Plate 1 x 2Catalog: Parts: Plate302326
",3,1793
