reference_number,color_and_brick,quantity,set_number
30528,"Black Arch 1 x 8 x 6 (Portal)Catalog: Parts: Arch4163353
",1,7201
3004,"Black Brick 1 x 2Catalog: Parts: Brick300426
",4,7201
4349,"Black Minifigure, Utensil Loudhailer / Megaphone / SW BlasterCatalog: Parts: Minifigure, Utensil434926
",1,7201
3710,"Black Plate 1 x 4Catalog: Parts: Plate371026
",1,7201
6583,"Black Plate, Modified 1 x 6 with Train Wagon EndCatalog: Parts: Plate, Modified6271649 or 658326
",2,7201
64567,"Chrome Silver Minifigure, Weapon Lightsaber Hilt StraightCatalog: Parts: Minifigure, Weapon4124050
",1,7201
3020,"Dark Gray Plate 2 x 4Catalog: Parts: Plate4112232
",1,7201
3036,"Dark Gray Plate 6 x 8Catalog: Parts: PlatePart Color Code Missing
",1,7201
30374,"Trans-Neon Green Bar   4L (Lightsaber Blade / Wand)Catalog: Parts: Bar6170186 or 4124054
",1,7201
4073,"Trans-Neon Orange Plate, Round 1 x 1Catalog: Parts: Plate, Round6240218 or 3005747
",1,7201
sw0046(inv)," Imperial Officer (Captain / Commandant / Commander) - Police Cap, Yellow Head with Standard GrinCatalog: Minifigures: Star Wars: Star Wars Episode 4/5/6
",1,7201
sw0068(inv)," Luke Skywalker with Black Right Hand (Final Duel II)Catalog: Minifigures: Star Wars: Star Wars Episode 4/5/6
",1,7201
sw0036(inv)," Stormtrooper (Yellow Head)Catalog: Minifigures: Star Wars: Star Wars Episode 4/5/6
",1,7201
64567,"Chrome Silver Minifigure, Weapon Lightsaber Hilt StraightCatalog: Parts: Minifigure, Weapon4124050
",1,7201
4073,"Trans-Neon Orange Plate, Round 1 x 1Catalog: Parts: Plate, Round6240218 or 3005747
",1,7201
