reference_number,color_and_brick,quantity,set_number
75290stk01," Sticker Sheet for Set 75290 - (68765/6308169)Catalog: Parts: Sticker Sheet
",1,75290
4592c02(inv),"Black Antenna Small Base with Black LeverCatalog: Parts: Antenna73587
",1,75290
2569,"Black Antenna Whip 8HCatalog: Parts: Antenna6265148 or 6164379 or 256926
",2,75290
32828,"Black Bar   1L with 1 x 1 Round Plate with Hollow StudCatalog: Parts: Bar6196548
",1,75290
11090,"Black Bar Holder with ClipCatalog: Parts: Bar6315887 or 6015891
",1,75290
99780,"Black Bracket 1 x 2 - 1 x 2 InvertedCatalog: Parts: Bracket6020193
",1,75290
2357,"Black Brick 2 x 2 CornerCatalog: Parts: Brick235726
",2,75290
3001,"Black Brick 2 x 4Catalog: Parts: Brick300126
",1,75290
87087,"Black Brick, Modified 1 x 1 with Stud on SideCatalog: Parts: Brick, Modified4558954
",2,75290
43898,"Black Dish 3 x 3 Inverted (Radar)Catalog: Parts: Dish4180087
",4,75290
30162,"Black Minifigure, Utensil Binoculars TownCatalog: Parts: Minifigure, Utensil6034002 or 6003301 or 4247343
",1,75290
4349,"Black Minifigure, Utensil Loudhailer / Megaphone / SW BlasterCatalog: Parts: Minifigure, Utensil434926
",1,75290
4529,"Black Minifigure, Utensil SaucepanCatalog: Parts: Minifigure, Utensil452926
",1,75290
92585,"Black Minifigure, Utensil Tool CrowbarCatalog: Parts: Minifigure, Utensil6186698
",1,75290
4006,"Black Minifigure, Utensil Tool Spanner Wrench / ScrewdriverCatalog: Parts: Minifigure, Utensil4569095 or 400626
",2,75290
20105,"Black Minifigure, Weapon Crossbow with Mini Blaster / ShooterCatalog: Parts: Minifigure, Weapon6282071 or 6117858
",1,75290
58247,"Black Minifigure, Weapon Gun, Blaster Short (SW)Catalog: Parts: Minifigure, Weapon4498713
",3,75290
92738,"Black Minifigure, Weapon Gun, Blaster Small (SW)Catalog: Parts: Minifigure, Weapon4609050
",6,75290
64567,"Black Minifigure, Weapon Lightsaber Hilt StraightCatalog: Parts: Minifigure, Weapon4539482 or 4598897 or 4523775
",2,75290
3710,"Black Plate 1 x 4Catalog: Parts: Plate371026
",1,75290
2420,"Black Plate 2 x 2 CornerCatalog: Parts: Plate242026
",2,75290
3832,"Black Plate 2 x 10Catalog: Parts: Plate383226
",3,75290
64799,"Black Plate, Modified 4 x 4 with 2 x 2 Open CenterCatalog: Parts: Plate, Modified6058118
",1,75290
4073,"Black Plate, Round 1 x 1Catalog: Parts: Plate, Round614126
",1,75290
85984,"Black Slope 30 1 x 2 x 2/3Catalog: Parts: Slope4548180
",2,75290
4599b,"Black Tap 1 x 1 without Hole in Nozzle EndCatalog: Parts: Tap459926
",1,75290
32062,"Black Technic, Axle  2L NotchedCatalog: Parts: Technic, Axle3206226 or 4109810
",1,75290
3707,"Black Technic, Axle  8LCatalog: Parts: Technic, Axle370726
",1,75290
3737,"Black Technic, Axle 10LCatalog: Parts: Technic, Axle373726
",1,75290
3069b,"Black Tile 1 x 2 with GrooveCatalog: Parts: Tile306926
",2,75290
63864,"Black Tile 1 x 3Catalog: Parts: Tile4558170
",1,75290
98138,"Black Tile, Round 1 x 1Catalog: Parts: Tile, Round6284070 or 6139403
",13,75290
25269,"Black Tile, Round 1 x 1 QuarterCatalog: Parts: Tile, Round6172383
",8,75290
20482,"Black Tile, Round 1 x 1 with Bar and Pin HolderCatalog: Parts: Tile, Round6186675 or 6167933
",1,75290
3680,"Black Turntable 2 x 2 Plate, BaseCatalog: Parts: Turntable368026
",1,75290
41770,"Black Wedge, Plate 4 x 2 LeftCatalog: Parts: Wedge, Plate4161332
",1,75290
41769,"Black Wedge, Plate 4 x 2 RightCatalog: Parts: Wedge, Plate4160869
",1,75290
3003,"Blue Brick 2 x 2Catalog: Parts: Brick300323
",2,75290
3666,"Blue Plate 1 x 6Catalog: Parts: Plate366623
",1,75290
3022,"Blue Plate 2 x 2Catalog: Parts: Plate4613973 or 302223
",1,75290
4274,"Blue Technic, Pin 1/2Catalog: Parts: Technic, Pin4143005
",3,75290
26604,"Bright Light Orange Brick, Modified 1 x 1 with Studs on 2 Sides, AdjacentCatalog: Parts: Brick, Modified6292415
",4,75290
3710,"Bright Light Orange Plate 1 x 4Catalog: Parts: Plate6020073
",4,75290
3031,"Bright Light Orange Plate 4 x 4Catalog: Parts: Plate6093272 or 4243921
",4,75290
48729b,"Dark Bluish Gray Bar   1L with Clip Mechanical Claw - Cut Edges and Hole on SideCatalog: Parts: Bar6278155 or 4289542
",3,75290
22484,"Dark Bluish Gray Bar   1L with Tow BallCatalog: Parts: Bar6364352 or 6158469
",4,75290
63965,"Dark Bluish Gray Bar   6L with Stop RingCatalog: Parts: Bar6170420 or 6081987 or 4538721
",7,75290
11090,"Dark Bluish Gray Bar Holder with ClipCatalog: Parts: Bar6336970 or 6015890
",2,75290
36840,"Dark Bluish Gray Bracket 1 x 1 - 1 x 1 InvertedCatalog: Parts: Bracket6225494
",2,75290
99781,"Dark Bluish Gray Bracket 1 x 2 - 1 x 2Catalog: Parts: Bracket6214341
",1,75290
99780,"Dark Bluish Gray Bracket 1 x 2 - 1 x 2 InvertedCatalog: Parts: Bracket6000606
",3,75290
2877,"Dark Bluish Gray Brick, Modified 1 x 2 with Grille / Fluted ProfileCatalog: Parts: Brick, Modified4210636
",1,75290
30414,"Dark Bluish Gray Brick, Modified 1 x 4 with Studs on SideCatalog: Parts: Brick, Modified4210725
",4,75290
90258,"Dark Bluish Gray Brick, Modified 2 x 2 with Grooves and Axle HoleCatalog: Parts: Brick, Modified6236949 or 4583879
",3,75290
2489,"Dark Bluish Gray Container, Barrel 2 x 2 x 2Catalog: Parts: Container6278986 or 4218730
",2,75290
61780,"Dark Bluish Gray Container, Box 2 x 2 x 2 - Top OpeningCatalog: Parts: Container4520307
",5,75290
54657,"Dark Bluish Gray Hinge Plate 1 x 2 Locking with 2 Fingers on End and 7 Teeth without Bottom GrooveCatalog: Parts: Hinge6267047
",1,75290
2429c01(inv),"Dark Bluish Gray Hinge Plate 1 x 4 Swivel (2429 / 2430)Catalog: Parts: Hinge6102774 or 4244569 or 4271344
",1,75290
