reference_number,color_and_brick,quantity,set_number
3659,"Black Arch 1 x 4Catalog: Parts: Arch365926
",2,6044
3004,"Black Brick 1 x 2Catalog: Parts: Brick300426
",2,6044
3002,"Black Brick 2 x 3Catalog: Parts: Brick300226
",1,6044
3001,"Black Brick 2 x 4Catalog: Parts: Brick300126
",1,6044
4213,"Black Hinge Vehicle Roof 4 x 4Catalog: Parts: HingePart Color Code Missing
",1,6044
4315,"Black Hinge Vehicle Roof Holder 1 x 4Catalog: Parts: HingePart Color Code Missing
",1,6044
2488,"Black Minifigure, Weapon Whip / Plant VineCatalog: Parts: Minifigure, Weapon6268824 or 4161403
",1,6044
4865,"Black Panel 1 x 2 x 1Catalog: Parts: Panel6146220 or 486526
",2,6044
3023,"Black Plate 1 x 2Catalog: Parts: Plate302326
",1,6044
3022,"Black Plate 2 x 2Catalog: Parts: Plate302226
",2,6044
3021,"Black Plate 2 x 3Catalog: Parts: Plate302126
",1,6044
3020,"Black Plate 2 x 4Catalog: Parts: Plate302026
",1,6044
2445,"Black Plate 2 x 12Catalog: Parts: Plate244526
",1,6044
3031,"Black Plate 4 x 4Catalog: Parts: Plate303126 or 4243819
",2,6044
4081b,"Black Plate, Modified 1 x 1 with Light Attachment - Thick RingCatalog: Parts: Plate, Modified4632571 or 6281993 or 408126
",2,6044
2540,"Black Plate, Modified 1 x 2 with Bar Handle on Side - Free EndsCatalog: Parts: Plate, Modified254026 or 4140588
",2,6044
2926,"Black Plate, Modified 1 x 4 with Wheels HolderCatalog: Parts: Plate, Modified6338416 or 292626
",1,6044
4488,"Black Plate, Modified 2 x 2 with Wheel HolderCatalog: Parts: Plate, Modified6371450 or 6092658 or 448826
",2,6044
3660,"Black Slope, Inverted 45 2 x 2Catalog: Parts: Slope, Inverted366026
",1,6044
2431,"Black Tile 1 x 4Catalog: Parts: Tile243126
",1,6044
3068b,"Black Tile 2 x 2 with GrooveCatalog: Parts: Tile306826
",1,6044
251c01(inv),"Black Turntable 2 x 2 Plate with Hinge, Base with Light Gray Turntable 2 x 2 Plate, Top (251 / 3679)Catalog: Parts: TurntablePart Color Code Missing
",1,6044
3680c01(inv),"Black Turntable 2 x 2 Plate with Light Gray Top (3680 / 3679)Catalog: Parts: TurntablePart Color Code Missing
",1,6044
6087,"Blue Bracket 5 x 2 x 2 1/3 with 2 HolesCatalog: Parts: Bracket4100422 or 4527625
",2,6044
3004,"Blue Brick 1 x 2Catalog: Parts: Brick4613959 or 300423
",2,6044
3010,"Blue Brick 1 x 4Catalog: Parts: Brick301023
",4,6044
4070,"Blue Brick, Modified 1 x 1 with HeadlightCatalog: Parts: Brick, Modified407023
",2,6044
2335,"Blue Flag 2 x 2 SquareCatalog: Parts: Flag6011816 or 4523407 or 4160793
",2,6044
4504,"Blue Hinge Plate 1 x 6 with 2 and 3 Fingers On EndsCatalog: Parts: HingePart Color Code Missing
",1,6044
4507,"Blue Hinge Plate 1 x 6 with 2 and 3 Fingers On SidesCatalog: Parts: HingePart Color Code Missing
",1,6044
3024,"Blue Plate 1 x 1Catalog: Parts: Plate302423
",4,6044
3023,"Blue Plate 1 x 2Catalog: Parts: Plate302323
",1,6044
3022,"Blue Plate 2 x 2Catalog: Parts: Plate4613973 or 302223
",1,6044
3021,"Blue Plate 2 x 3Catalog: Parts: Plate302123
",1,6044
3020,"Blue Plate 2 x 4Catalog: Parts: Plate302023
",1,6044
3031,"Blue Plate 4 x 4Catalog: Parts: Plate4243815 or 303123
",1,6044
3040,"Blue Slope 45 2 x 1Catalog: Parts: Slope304023 or 4121936
",4,6044
3665,"Blue Slope, Inverted 45 2 x 1Catalog: Parts: Slope, Inverted366523
",4,6044
3660,"Blue Slope, Inverted 45 2 x 2Catalog: Parts: Slope, Inverted366023
",1,6044
4738a,"Brown Container, Treasure Chest Bottom - Slots in BackCatalog: Parts: ContainerPart Color Code Missing
",1,6044
4739a,"Brown Container, Treasure Chest Lid - Thick HingeCatalog: Parts: ContainerPart Color Code Missing
",1,6044
4489a,"Brown Wheel Wagon Large 33mm D., Hole Round for Wheels Holder PinCatalog: Parts: WheelPart Color Code Missing
",4,6044
59,"Chrome Silver Minifigure, Weapon Sword, Greatsword RoundCatalog: Parts: Minifigure, Weapon4649842 or 71014
",2,6044
3847,"Dark Gray Minifigure, Weapon Sword, ShortswordCatalog: Parts: Minifigure, Weapon384727 or 4106926
",2,6044
4865,"Red Panel 1 x 2 x 1Catalog: Parts: Panel486521
",1,6044
3794a,"Red Plate, Modified 1 x 2 with 1 Stud without Groove (Jumper)Catalog: Parts: Plate, Modified379421
",2,6044
6126,"Trans-Neon Orange Wave Rounded with Base Pins (Castle Dragon Flame, Seaweed, Water)Catalog: Parts: Energy Effect612647
",2,6044
4073,"Trans-Red Plate, Round 1 x 1Catalog: Parts: Plate, Round6208450 or 3005741
",2,6044
4073,"Trans-Yellow Plate, Round 1 x 1Catalog: Parts: Plate, Round6240216 or 3005744
",2,6044
3004,"White Brick 1 x 2Catalog: Parts: Brick4613964 or 300401
",2,6044
x560px1,"White Cloth Flag 5 x 2 Banner with Royal Knights Lion Head PatternCatalog: Parts: ClothPart Color Code Missing
",1,6044
4493c01pb04,"White Horse with Black Eyes, White Pupils and Dark Orange Bridle PatternCatalog: Parts: Animal, Land4121830
",2,6044
4502c,"White Minifigure, Plume Feather LargeCatalog: Parts: Minifigure, Headgear AccessoryPart Color Code Missing
",1,6044
4502a,"White Minifigure, Plume Feather SmallCatalog: Parts: Minifigure, Headgear Accessory6139343 or 6056796 or 6008098
",1,6044
2586p4d,"White Minifigure, Shield Ovoid with Lion Head, Red and White Background, Blue Border PatternCatalog: Parts: Minifigure, ShieldPart Color Code Missing
",1,6044
3846p4d,"White Minifigure, Shield Triangular with Lion Head, Red and White Background PatternCatalog: Parts: Minifigure, ShieldPart Color Code Missing
",3,6044
3849,"White Minifigure, Weapon LanceCatalog: Parts: Minifigure, Weapon384901
",2,6044
3023,"White Plate 1 x 2Catalog: Parts: Plate302301
",2,6044
3020,"White Plate 2 x 4Catalog: Parts: Plate302001
",1,6044
2343,"Yellow Minifigure, Utensil GobletCatalog: Parts: Minifigure, Utensil626924
",1,6044
3024,"Yellow Plate 1 x 1Catalog: Parts: Plate302424
",4,6044
3710,"Yellow Plate 1 x 4Catalog: Parts: Plate371024
",2,6044
3020,"Yellow Plate 2 x 4Catalog: Parts: Plate302024
",1,6044
