reference_number,color_and_brick,quantity,set_number
4592c02(inv),"Black Antenna Small Base with Black LeverCatalog: Parts: Antenna73587
",1,4480
4735,"Black Bar 1 x 3 with Clip and Stud Receptacle (Robot Arm)Catalog: Parts: Bar4141580
",2,4480
2454,"Black Brick 1 x 2 x 5 - Blocked Open Studs or Hollow StudsCatalog: Parts: Brick245426
",12,4480
6112,"Black Brick 1 x 12Catalog: Parts: Brick611226
",2,4480
3062b,"Black Brick, Round 1 x 1 Open StudCatalog: Parts: Brick, Round306226
",8,4480
42448,"Black Door 1 x 4 x 9 Arched Gate with Bars and Three StudsCatalog: Parts: Door6008363 or 4169414
",2,4480
3831,"Black Hinge Brick 1 x 4 Swivel BaseCatalog: Parts: Hinge383126
",4,4480
3830,"Black Hinge Brick 1 x 4 Swivel TopCatalog: Parts: Hinge6344999 or 6011458 or 383026
",4,4480
30381,"Black Minifigure, Headgear HoodCatalog: Parts: Minifigure, Headgear6014652 or 6016279 or 4124493 or 4277668
",1,4480
2566,"Black Plant, Tree Palm TopCatalog: Parts: Plant, Tree4532220 or 4159103
",4,4480
6019,"Black Plate, Modified 1 x 1 with U Clip (Horizontal Grip)Catalog: Parts: Plate, Modified601926
",1,4480
4623a,"Black Plate, Modified 1 x 2 with Bar Arm Up (Horizontal Arm 6mm)Catalog: Parts: Plate, Modified462326
",2,4480
4073,"Black Plate, Round 1 x 1Catalog: Parts: Plate, Round614126
",7,4480
x88,"Black Rubber Band Small (Square Cross Section)Catalog: Parts: Rubber Band & Belt4107153
",2,4480
4599a,"Black Tap 1 x 1 with Hole in Nozzle EndCatalog: Parts: Tap459926
",1,4480
3069bps2,"Black Tile 1 x 2 with Groove with Avionics SW Copper, Red & Silver PatternCatalog: Parts: Tile, Decorated6021512 or 4162982
",1,4480
3021,"Blue Plate 2 x 3Catalog: Parts: Plate302123
",1,4480
3005,"Brown Brick 1 x 1Catalog: Parts: Brick4160990
",2,4480
2458,"Brown Brick, Modified 1 x 2 with PinCatalog: Parts: Brick, Modified4163227
",1,4480
3023,"Brown Plate 1 x 2Catalog: Parts: Plate302325
",2,4480
4032,"Brown Plate, Round 2 x 2 with Axle HoleCatalog: Parts: Plate, RoundPart Color Code Missing
",1,4480
3040,"Brown Slope 45 2 x 1Catalog: Parts: Slope4121971
",4,4480
30134,"Brown Stairs 7 x 4 x 6 Straight OpenCatalog: Parts: Stairs4179428
",2,4480
3700,"Brown Technic, Brick 1 x 2 with HoleCatalog: Parts: Technic, Brick4163245
",1,4480
64567,"Chrome Silver Minifigure, Weapon Lightsaber Hilt StraightCatalog: Parts: Minifigure, Weapon4124050
",1,4480
3009,"Dark Gray Brick 1 x 6Catalog: Parts: Brick4114082
",2,4480
6111,"Dark Gray Brick 1 x 10Catalog: Parts: Brick4114327
",2,4480
3007,"Dark Gray Brick 2 x 8Catalog: Parts: Brick4116649
",2,4480
30236,"Dark Gray Brick, Modified 1 x 2 with Bar HandleCatalog: Parts: Brick, Modified4121761
",4,4480
30104,"Dark Gray Chain 21 Links (16-17L)Catalog: Parts: Chain4106728
",1,4480
2445,"Dark Gray Plate 2 x 12Catalog: Parts: Plate4112847
",5,4480
3035,"Dark Gray Plate 4 x 8Catalog: Parts: Plate4110027
",2,4480
3958,"Dark Gray Plate 6 x 6Catalog: Parts: Plate4121924
",2,4480
3036,"Dark Gray Plate 6 x 8Catalog: Parts: PlatePart Color Code Missing
",2,4480
2476,"Dark Gray Plate, Modified 2 x 2 with Pin on BottomCatalog: Parts: Plate, ModifiedPart Color Code Missing
",2,4480
30041,"Dark Gray Plate, Modified 6 x 8 Trap Door Frame HorizontalCatalog: Parts: Plate, Modified4160889
",1,4480
3684a,"Dark Gray Slope 75 2 x 2 x 3 - Hollow StudsCatalog: Parts: Slope4142927
",2,4480
3660,"Dark Gray Slope, Inverted 45 2 x 2Catalog: Parts: Slope, Inverted366027
",1,4480
6587,"Dark Gray Technic, Axle  3L with StudCatalog: Parts: Technic, Axle4113884
",1,4480
3068b,"Dark Gray Tile 2 x 2 with GrooveCatalog: Parts: Tile4109986
",3,4480
3005,"Light Gray Brick 1 x 1Catalog: Parts: Brick300502
",2,4480
3004,"Light Gray Brick 1 x 2Catalog: Parts: Brick300402
",8,4480
3023,"Light Gray Plate 1 x 2Catalog: Parts: Plate302302
",8,4480
3623,"Light Gray Plate 1 x 3Catalog: Parts: Plate362302
",2,4480
3022,"Light Gray Plate 2 x 2Catalog: Parts: Plate302202
",2,4480
3958,"Light Gray Plate 6 x 6Catalog: Parts: Plate395802
",2,4480
3028,"Light Gray Plate 6 x 12Catalog: Parts: Plate302802
",1,4480
4085c,"Light Gray Plate, Modified 1 x 1 with U Clip Thick (Vertical Grip)Catalog: Parts: Plate, Modified408502
",4,4480
30042,"Light Gray Plate, Modified 4 x 5 with Trap Door HingeCatalog: Parts: Plate, ModifiedPart Color Code Missing
",1,4480
4073,"Light Gray Plate, Round 1 x 1Catalog: Parts: Plate, RoundPart Color Code Missing
",2,4480
3040,"Light Gray Slope 45 2 x 1Catalog: Parts: Slope4121933
",6,4480
2730,"Light Gray Technic, Brick 1 x 10 with HolesCatalog: Parts: Technic, Brick273002
",1,4480
4274,"Light Gray Technic, Pin 1/2Catalog: Parts: Technic, Pin427402
",2,4480
6636,"Light Gray Tile 1 x 6Catalog: Parts: Tile4106326
",2,4480
4162,"Light Gray Tile 1 x 8Catalog: Parts: Tile416202
",1,4480
2412b,"Light Gray Tile, Modified 1 x 2 Grille with Bottom Groove / LipCatalog: Parts: Tile, Modified241202
",2,4480
2460,"Light Gray Tile, Modified 2 x 2 with PinCatalog: Parts: Tile, Modified246002
",4,4480
2444,"Red Plate, Modified 2 x 2 with Pin HoleCatalog: Parts: Plate, Modified244421
",1,4480
2339,"Tan Arch 1 x 5 x 4 - Continuous BowCatalog: Parts: Arch4519926 or 6075057 or 4587269 or 4186127
",2,4480
6108,"Tan Arch 1 x 12 x 3Catalog: Parts: Arch4163083 or 4568718
",1,4480
2453a,"Tan Brick 1 x 1 x 5 - Blocked Open Stud or Hollow StudCatalog: Parts: Brick4112980
",2,4480
3004,"Tan Brick 1 x 2Catalog: Parts: Brick30045 or 4109995
",2,4480
3245b,"Tan Brick 1 x 2 x 2 with Inside Axle HolderCatalog: Parts: Brick4159279
",8,4480
2357,"Tan Brick 2 x 2 CornerCatalog: Parts: Brick4124455
",2,4480
4070,"Tan Brick, Modified 1 x 1 with HeadlightCatalog: Parts: Brick, Modified4118793
",6,4480
553a,"Tan Brick, Round 2 x 2 Dome Top - Blocked Open Stud without Bottom Axle HolderCatalog: Parts: Brick, Round4216648 or 4162726
",1,4480
3960,"Tan Dish 4 x 4 Inverted (Radar) with Solid StudCatalog: Parts: Dish4141680
",1,4480
3961,"Tan Dish 8 x 8 Inverted (Radar) - Solid StudsCatalog: Parts: Dish4187919 or 6215605
",1,4480
2540,"Tan Plate, Modified 1 x 2 with Bar Handle on Side - Free EndsCatalog: Parts: Plate, Modified4125271 or 4140593
",1,4480
3039,"Tan Slope 45 2 x 2Catalog: Parts: Slope4114322
",2,4480
40244,"Tan Support 1 x 1 x 5 1/3 Spiral Staircase AxleCatalog: Parts: Support4153421 or 4288363
",4,4480
2432,"Tan Tile, Modified 1 x 2 with Bar HandleCatalog: Parts: Tile, Modified6021208 or 4124457
",1,4480
33320,"Trans-Green FrogCatalog: Parts: Animal, Land4186995
",1,4480
30374,"Trans-Neon Green Bar   4L (Lightsaber Blade / Wand)Catalog: Parts: Bar6170186 or 4124054
",1,4480
30151a,"Trans-Neon Green Brick, Round 2 x 2 x 1 2/3 Dome Top - Blocked Open StudCatalog: Parts: Brick, Round4506533 or 4144475
",1,4480
3626b,"Trans-Neon Green Minifigure, Head (Plain) - Blocked Open StudCatalog: Parts: Minifigure, Head4186133
",2,4480
6126,"Trans-Neon Orange Wave Rounded with Base Pins (Castle Dragon Flame, Seaweed, Water)Catalog: Parts: Energy Effect612647
",4,4480
sw0074(inv)," B'Omarr Monk (Trans-Neon Orange Plate)Catalog: Minifigures: Star Wars: Star Wars Episode 4/5/6
",1,4480
sw0072(inv)," EV-9D9Catalog: Minifigures: Star Wars: Star Wars Episode 4/5/6
",1,4480
sw0073(inv)," Gonk Droid (GNK Power Droid), Light and Dark GrayCatalog: Minifigures: Star Wars: Star Wars Episode 4/5/6
",1,4480
sw0071(inv)," Jabba the HuttCatalog: Minifigures: Star Wars: Star Wars Episode 4/5/6
",1,4480
sw0079(inv)," Luke Skywalker (Jabba's Palace)Catalog: Minifigures: Star Wars: Star Wars Episode 4/5/6
",1,4480
sw0070(inv)," Princess Leia (Jabba Slave with Neck Bracket)Catalog: Minifigures: Star Wars: Star Wars Episode 4/5/6
",1,4480
4073,"Black Plate, Round 1 x 1Catalog: Parts: Plate, Round614126
",1,4480
x88,"Black Rubber Band Small (Square Cross Section)Catalog: Parts: Rubber Band & Belt4107153
",2,4480
41752,"Dark Gray Rubber Band / Belt Holder 2 x 4 x 2 1/3Catalog: Parts: Rubber Band & BeltPart Color Code Missing
",1,4480
4073,"Light Gray Plate, Round 1 x 1Catalog: Parts: Plate, RoundPart Color Code Missing
",1,4480
4274,"Light Gray Technic, Pin 1/2Catalog: Parts: Technic, Pin427402
",1,4480
4073,"Trans-Neon Orange Plate, Round 1 x 1Catalog: Parts: Plate, Round6240218 or 3005747
",1,4480
