reference_number,color_and_brick,quantity,set_number
4733stk01," Sticker Sheet for Set 4733 - (44364/4180081)Catalog: Parts: Sticker Sheet4180081
",1,4733
30374,"Black Bar   4L (Lightsaber Blade / Wand)Catalog: Parts: Bar6116604 or 3037426 or 4140303
",1,4733
3023,"Black Plate 1 x 2Catalog: Parts: Plate302326
",2,4733
3036,"Black Plate 6 x 8Catalog: Parts: Plate303626
",2,4733
6019,"Black Plate, Modified 1 x 1 with U Clip (Horizontal Grip)Catalog: Parts: Plate, Modified601926
",4,4733
30115,"Black SnakeCatalog: Parts: Animal, Land4107585
",1,4733
3680c01(inv),"Black Turntable 2 x 2 Plate with Light Gray Top (3680 / 3679)Catalog: Parts: TurntablePart Color Code Missing
",1,4733
30374,"Brown Bar   4L (Lightsaber Blade / Wand)Catalog: Parts: Bar4157700
",1,4733
2489,"Brown Container, Barrel 2 x 2 x 2Catalog: Parts: Container248925
",1,4733
40232,"Brown Owl, Rounded FeaturesCatalog: Parts: Animal, Air4153283
",1,4733
30374,"Dark Gray Bar   4L (Lightsaber Blade / Wand)Catalog: Parts: BarPart Color Code Missing
",1,4733
3004,"Dark Gray Brick 1 x 2Catalog: Parts: Brick4113909
",6,4733
3009,"Dark Gray Brick 1 x 6Catalog: Parts: Brick4114082
",4,4733
4204,"Dark Gray Brick 8 x 16Catalog: Parts: Brick4181114
",1,4733
30237,"Dark Gray Brick, Modified 1 x 2 with Clip (Vertical Grip)Catalog: Parts: Brick, ModifiedPart Color Code Missing
",2,4733
3710,"Dark Gray Plate 1 x 4Catalog: Parts: Plate371027
",2,4733
3022,"Dark Gray Plate 2 x 2Catalog: Parts: Plate4114003
",2,4733
3034,"Dark Gray Plate 2 x 8Catalog: Parts: Plate303427
",2,4733
3032,"Dark Gray Plate 4 x 6Catalog: Parts: Plate4116853
",1,4733
3794a,"Dark Gray Plate, Modified 1 x 2 with 1 Stud without Groove (Jumper)Catalog: Parts: Plate, Modified4118864
",2,4733
30042,"Dark Gray Plate, Modified 4 x 5 with Trap Door HingeCatalog: Parts: Plate, ModifiedPart Color Code Missing
",2,4733
30041,"Dark Gray Plate, Modified 6 x 8 Trap Door Frame HorizontalCatalog: Parts: Plate, Modified4160889
",2,4733
