reference_number,color_and_brick,quantity,set_number
7903stk01," Sticker Sheet for Set 7903 - (55546/4290771)Catalog: Parts: Sticker Sheet4290771
",1,7903
43898,"Black Dish 3 x 3 Inverted (Radar)Catalog: Parts: Dish4180087
",1,7903
30540,"Black Hinge Brick 1 x 2 Locking with 2 Fingers Horizontal End, 9 TeethCatalog: Parts: Hinge4144533
",1,7903
3962b,"Black Minifigure, Utensil Radio with Extended HandleCatalog: Parts: Minifigure, Utensil396226
",1,7903
3623,"Black Plate 1 x 3Catalog: Parts: Plate362326
",1,7903
3020,"Black Plate 2 x 4Catalog: Parts: Plate302026
",4,7903
2540,"Black Plate, Modified 1 x 2 with Bar Handle on Side - Free EndsCatalog: Parts: Plate, Modified254026 or 4140588
",2,7903
4617,"Black Propeller 3 Blade 5.5 DiameterCatalog: Parts: Propeller4536184 or 461726
",1,7903
2479,"Black Propeller 4 Blade 5 Diameter with Rounded Ends and Open HubCatalog: Parts: Propeller247926
",1,7903
2585,"Black String Reel 2 x 2 DrumCatalog: Parts: String Reel / Winch4188195
",1,7903
2584,"Black String Reel 2 x 2 HolderCatalog: Parts: String Reel / Winch6163507 or 258426
",1,7903
x77ac50,"Black String, Cord Thin    50cmCatalog: Parts: String & Net4297719 or 6123924 or 6123991 or 4192130 or 6145492 or 6179850
",1,7903
42611,"Black Tire 17.5mm D. x 6mm with Shallow Staggered TreadsCatalog: Parts: Tire & Tread4239237 or 4515290
",4,7903
50944pb01,"Black Wheel 11mm D. x 6mm with 5 Spokes with Silver Outline PatternCatalog: Parts: Wheel6022424 or 4248538
",4,7903
48729,"Dark Bluish Gray Bar   1L with Clip Mechanical Claw (Undetermined Type)Catalog: Parts: Bar4222196 or 4289542
",1,7903
44301a,"Dark Bluish Gray Hinge Plate 1 x 2 Locking with 1 Finger on End with Bottom GrooveCatalog: Parts: Hinge4210883
",2,7903
30407,"Dark Bluish Gray Hinge Plate 1 x 8 with Angled Side Extensions, 9 Teeth and Rounded Plate UndersideCatalog: Parts: Hinge4210814
",8,7903
30395,"Dark Bluish Gray Hook Tow BallCatalog: Parts: Hook6347464 or 4212529 or 30395199
",1,7903
30162,"Dark Bluish Gray Minifigure, Utensil Binoculars TownCatalog: Parts: Minifigure, Utensil4587887 or 4211051
",1,7903
3959,"Dark Bluish Gray Minifigure, Utensil Space Gun / TorchCatalog: Parts: Minifigure, Utensil4262540
",2,7903
30194,"Dark Bluish Gray Minifigure, Utensil Tool Circular Blade SawCatalog: Parts: Minifigure, Utensil4211080
",1,7903
3710,"Dark Bluish Gray Plate 1 x 4Catalog: Parts: Plate4211001
",11,7903
3460,"Dark Bluish Gray Plate 1 x 8Catalog: Parts: Plate4210998
",4,7903
6019,"Dark Bluish Gray Plate, Modified 1 x 1 with U Clip (Horizontal Grip)Catalog: Parts: Plate, Modified4216973
",6,7903
2412b,"Dark Bluish Gray Tile, Modified 1 x 2 Grille with Bottom Groove / LipCatalog: Parts: Tile, Modified4210631
",6,7903
30350a,"Dark Bluish Gray Tile, Modified 2 x 3 with 2 Clips AngledCatalog: Parts: Tile, Modified4227517
",1,7903
30592,"Light Bluish Gray Brick, Modified 2 x 2 with Top Pin and 1 x 2 Side PlatesCatalog: Parts: Brick, Modified6301425 or 4211666
",1,7903
4589,"Light Bluish Gray Cone 1 x 1 without Top GrooveCatalog: Parts: Cone4529241 or 4518652 or 4211499
",2,7903
44567a,"Light Bluish Gray Hinge Plate 1 x 2 Locking with 1 Finger on Side with Bottom GrooveCatalog: Parts: Hinge4211814
",1,7903
30383,"Light Bluish Gray Hinge Plate 1 x 2 Locking with 1 Finger On TopCatalog: Parts: Hinge6265694 or 4219913
",8,7903
4449,"Light Bluish Gray Minifigure, Utensil Briefcase / SuitcaseCatalog: Parts: Minifigure, Utensil6268858 or 4211712
",1,7903
3034,"Light Bluish Gray Plate 2 x 8Catalog: Parts: Plate4211406
",2,7903
3036,"Light Bluish Gray Plate 6 x 8Catalog: Parts: Plate4211408
",1,7903
32028,"Light Bluish Gray Plate, Modified 1 x 2 with Door RailCatalog: Parts: Plate, Modified4211568
",1,7903
4870,"Light Bluish Gray Plate, Modified 2 x 2 Thin with Dual Wheels Holder - Split PinsCatalog: Parts: Aircraft6296797 or 4211516
",1,7903
2444,"Light Bluish Gray Plate, Modified 2 x 2 with Pin HoleCatalog: Parts: Plate, Modified2444194 or 4211359
",1,7903
4488,"Light Bluish Gray Plate, Modified 2 x 2 with Wheel HolderCatalog: Parts: Plate, Modified6371448 or 6018081 or 4211496
",2,7903
4073,"Light Bluish Gray Plate, Round 1 x 1Catalog: Parts: Plate, Round4211525
",5,7903
3673,"Light Bluish Gray Technic, Pin without Friction Ridges LengthwiseCatalog: Parts: Technic, Pin3673194 or 4211807
",1,7903
3069bpx19,"Light Bluish Gray Tile 1 x 2 with Groove with Red 82, Yellow and White Gauges PatternCatalog: Parts: Tile, Decorated4227776
",1,7903
50943,"Light Bluish Gray Vehicle, Air Scoop Engine Top 2 x 2Catalog: Parts: Vehicle4259422
",2,7903
2436,"Red Bracket 1 x 2 - 1 x 4Catalog: Parts: Bracket243621 or 4282742
",2,7903
3010,"Red Brick 1 x 4Catalog: Parts: Brick301021
",2,7903
4070,"Red Brick, Modified 1 x 1 with HeadlightCatalog: Parts: Brick, Modified407021
",2,7903
3023,"Red Plate 1 x 2Catalog: Parts: Plate302321
",5,7903
3666,"Red Plate 1 x 6Catalog: Parts: Plate366621
",5,7903
3021,"Red Plate 2 x 3Catalog: Parts: Plate302121
",7,7903
3035,"Red Plate 4 x 8Catalog: Parts: Plate303521
",1,7903
2654,"Red Plate, Round 2 x 2 with Rounded Bottom (Boat Stud)Catalog: Parts: Plate, Round4617080 or 4248830 or 4278275
",1,7903
54200,"Red Slope 30 1 x 1 x 2/3Catalog: Parts: Slope5074621 or 4504379 or 4244371
",2,7903
6091,"Red Slope, Curved 2 x 1 x 1 1/3 with Recessed StudCatalog: Parts: Slope, Curved6184782 or 609121
",8,7903
41855,"Red Slope, Curved 2 x 2 x 2/3 with Two Studs and Curved Sides, Lip EndCatalog: Parts: Slope, Curved4185521 or 4162876
",3,7903
50950,"Red Slope, Curved 3 x 1Catalog: Parts: Slope, Curved4251162
",4,7903
4854,"Red Slope, Inverted 45 4 x 4 DoubleCatalog: Parts: Slope, Inverted4603489 or 485421
",1,7903
2431,"Red Tile 1 x 4Catalog: Parts: Tile243121
",6,7903
41748,"Red Wedge 6 x 2 LeftCatalog: Parts: Wedge6191993 or 4160127 or 4286467
",2,7903
41747,"Red Wedge 6 x 2 RightCatalog: Parts: Wedge6268534 or 4286466
",2,7903
41770,"Red Wedge, Plate 4 x 2 LeftCatalog: Parts: Wedge, Plate4161329
",3,7903
41769,"Red Wedge, Plate 4 x 2 RightCatalog: Parts: Wedge, Plate4160866
",3,7903
47407,"Red Wedge, Plate 4 x 6Catalog: Parts: Wedge, Plate6275499 or 6167849 or 4212517
",1,7903
4132,"Red Window 2 x 4 x 3 Frame - Solid StudsCatalog: Parts: Window413221 or 4528164
",2,7903
6070,"Trans-Black Windscreen 5 x 2 x 1 2/3Catalog: Parts: Windscreen4204624
",3,7903
30372,"Trans-Black Windscreen 7 x 4 x 1 2/3Catalog: Parts: Windscreen4193545
",1,7903
54200,"Trans-Dark Blue Slope 30 1 x 1 x 2/3Catalog: Parts: Slope6245256 or 4244366
",8,7903
4073,"Trans-Green Plate, Round 1 x 1Catalog: Parts: Plate, Round6240221 or 3005748
",1,7903
4073,"Trans-Red Plate, Round 1 x 1Catalog: Parts: Plate, Round6208450 or 3005741
",1,7903
4073,"Trans-Yellow Plate, Round 1 x 1Catalog: Parts: Plate, Round6240216 or 3005744
",2,7903
3005,"White Brick 1 x 1Catalog: Parts: Brick300501
",2,7903
3004,"White Brick 1 x 2Catalog: Parts: Brick4613964 or 300401
",1,7903
2465,"White Brick 1 x 16Catalog: Parts: Brick246501
",2,7903
4070,"White Brick, Modified 1 x 1 with HeadlightCatalog: Parts: Brick, Modified407001
",2,7903
4345,"White Container, Box 2 x 2 x 2Catalog: Parts: Container434501
",2,7903
4346,"White Container, Box 2 x 2 x 2 Door with SlotCatalog: Parts: Container434601
",2,7903
4714,"White Minifigure, Utensil StretcherCatalog: Parts: Minifigure, Utensil471401
",1,7903
4715,"White Minifigure, Utensil Stretcher WheelsCatalog: Parts: Minifigure, Utensil471501
",2,7903
30413,"White Panel 1 x 4 x 1Catalog: Parts: Panel6061047 or 4173477
",2,7903
3022,"White Plate 2 x 2Catalog: Parts: Plate4613976 or 302201
",5,7903
3795,"White Plate 2 x 6Catalog: Parts: Plate379501
",1,7903
2445,"White Plate 2 x 12Catalog: Parts: Plate244501
",1,7903
48336,"White Plate, Modified 1 x 2 with Bar Handle on Side - Closed EndsCatalog: Parts: Plate, Modified4222017
",12,7903
3040,"White Slope 45 2 x 1Catalog: Parts: Slope304001 or 4121932
",2,7903
3039,"White Slope 45 2 x 2Catalog: Parts: Slope303901
",2,7903
50950,"White Slope, Curved 3 x 1Catalog: Parts: Slope, Curved4249112
",2,7903
3660,"White Slope, Inverted 45 2 x 2Catalog: Parts: Slope, Inverted6366391 or 366001
",5,7903
52501,"White Slope, Inverted 45 6 x 1 Double with 1 x 4 CutoutCatalog: Parts: Slope, Inverted4259937
",2,7903
2340,"White Tail 4 x 1 x 3Catalog: Parts: Tail234001
",2,7903
6239,"White Tail ShuttleCatalog: Parts: Tail623901
",1,7903
3068b,"White Tile 2 x 2 with GrooveCatalog: Parts: Tile306801
",1,7903
48933,"White Wedge 4 x 4 Triple with Stud NotchesCatalog: Parts: Wedge6299775 or 4264026
",1,7903
41765,"White Wedge 6 x 2 Inverted LeftCatalog: Parts: Wedge6268056 or 4161275
",1,7903
41764,"White Wedge 6 x 2 Inverted RightCatalog: Parts: Wedge6268055 or 4161260
",1,7903
6153b,"White Wedge 6 x 4 Cutout with Stud NotchesCatalog: Parts: Wedge6320168 or 6110031 or 4258470 or 4289955
",1,7903
4856a,"White Wedge 6 x 4 Triple Inverted with Connections between 2 StudsCatalog: Parts: Wedge485601
",1,7903
3021,"Yellow Plate 2 x 3Catalog: Parts: Plate302124
",1,7903
3039,"Yellow Slope 45 2 x 2Catalog: Parts: Slope303924
",1,7903
cty0080(inv)," Doctor - Jacket with Zipper and EMT Star of Life - White Legs, Blue Helmet, Trans-Black Visor, Glasses and Brown EyebrowsCatalog: Minifigures: Town: City: Hospital
",1,7903
cty0081(inv)," Doctor - Jacket with Zipper and EMT Star of Life - White Legs, Blue Helmet, Trans-Black Visor, Silver SunglassesCatalog: Minifigures: Town: City: Hospital
",1,7903
cty0079(inv)," Overalls with Safety Stripe Orange, Orange Legs, Red Construction Helmet, Smirk and Stubble BeardCatalog: Minifigures: Town: City
",1,7903
48729,"Dark Bluish Gray Bar   1L with Clip Mechanical Claw (Undetermined Type)Catalog: Parts: Bar4222196 or 4289542
",1,7903
30162,"Dark Bluish Gray Minifigure, Utensil Binoculars TownCatalog: Parts: Minifigure, Utensil4587887 or 4211051
",1,7903
2412b,"Dark Bluish Gray Tile, Modified 1 x 2 Grille with Bottom Groove / LipCatalog: Parts: Tile, Modified4210631
",1,7903
4073,"Light Bluish Gray Plate, Round 1 x 1Catalog: Parts: Plate, Round4211525
",2,7903
3673,"Light Bluish Gray Technic, Pin without Friction Ridges LengthwiseCatalog: Parts: Technic, Pin3673194 or 4211807
",1,7903
2447,"Trans-Black Minifigure, Visor StandardCatalog: Parts: Minifigure, Headgear Accessory6244785 or 4571044 or 4163306
",1,7903
4073,"Trans-Green Plate, Round 1 x 1Catalog: Parts: Plate, Round6240221 or 3005748
",1,7903
4073,"Trans-Red Plate, Round 1 x 1Catalog: Parts: Plate, Round6208450 or 3005741
",1,7903
4073,"Trans-Yellow Plate, Round 1 x 1Catalog: Parts: Plate, Round6240216 or 3005744
",1,7903
2584c001(inv),"Black String Reel 2 x 2 Holder with Black String Reel 2 x 2 Drum (2584 / 2585)Catalog: Parts: String Reel / WinchPart Color Code Missing
",1,7903
50944pb01c03(inv),"Black Wheel 11mm D. x 6mm with 5 Spokes with Silver Outline Pattern with Black Tire 17.5mm D. x 6mm with Shallow Staggered Treads (50944pb01 / 42611)Catalog: Parts: Wheel & Tire AssemblyPart Color Code Missing
",4,7903
2431pb095,"Red Tile 1 x 4 with Black '7903' on Red Background Pattern (Sticker) - Set 7903Catalog: Parts: Tile, DecoratedPart Color Code Missing
",2,7903
4714c01(inv),"White Minifigure, Utensil Stretcher with Wheels (4714 / 4715)Catalog: Parts: Minifigure, UtensilPart Color Code Missing
",1,7903
6239pb031,"White Tail Shuttle with EMT Star of Life (White Snake) Pattern on Both Sides (Stickers) - Set 7903Catalog: Parts: Tail, DecoratedPart Color Code Missing
",1,7903
3068bpb0456,"White Tile 2 x 2 with Groove with Blue EMT Star of Life on White Background Pattern (Sticker) - Sets 6164 / 7903Catalog: Parts: Tile, DecoratedPart Color Code Missing
",1,7903
30350c,"Dark Bluish Gray Tile, Modified 2 x 3 with 2 U ClipsCatalog: Parts: Tile, Modified4227517
",1,7903
2465,"Light Gray Brick 1 x 16Catalog: Parts: Brick246502
",2,7903
47457,"Red Slope, Curved 2 x 2 x 2/3 with Two Studs and Curved SidesCatalog: Parts: Slope, Curved4220515
",3,7903
3701,"Red Technic, Brick 1 x 4 with HolesCatalog: Parts: Technic, Brick370121
",2,7903
