reference_number,color_and_brick,quantity,set_number
6210stk01," Sticker Sheet for Set 6210 - (55026/4287822)Catalog: Parts: Sticker Sheet4287822
",1,6210
3957,"Black Antenna 4H - Round TopCatalog: Parts: Antenna395726
",2,6210
4592c02(inv),"Black Antenna Small Base with Black LeverCatalog: Parts: Antenna73587
",1,6210
6108,"Black Arch 1 x 12 x 3Catalog: Parts: Arch610826
",2,6210
30374,"Black Bar   4L (Lightsaber Blade / Wand)Catalog: Parts: Bar6116604 or 3037426 or 4140303
",1,6210
4095,"Black Bar   6.6L with Stop Ring (Patio Umbrella Stand)Catalog: Parts: Bar409526
",1,6210
3062b,"Black Brick, Round 1 x 1 Open StudCatalog: Parts: Brick, Round306226
",12,6210
3063,"Black Brick, Round Corner 2 x 2 Macaroni with Stud NotchCatalog: Parts: Brick, Round4164471
",4,6210
30055,"Black Fence 1 x 4 x 2 Spindled with 2 StudsCatalog: Parts: Fence3005526 or 4185652
",8,6210
75c08,"Black Hose, Rigid 3mm D.  8L / 6.4cmCatalog: Parts: Hose, Rigid 3mm D.6193640 or 4612563 or 4291596
",4,6210
75c15,"Black Hose, Rigid 3mm D. 15L / 12cmCatalog: Parts: Hose, Rigid 3mm D.4579277 or 4295432
",1,6210
75c18,"Black Hose, Rigid 3mm D. 18L / 14.4cmCatalog: Parts: Hose, Rigid 3mm D.6355574 or 4291611
",5,6210
4360,"Black Minifigure, Utensil Camera with Side Sight (Space Gun)Catalog: Parts: Minifigure, Utensil436026
",2,6210
4528,"Black Minifigure, Utensil Frying PanCatalog: Parts: Minifigure, Utensil452826
",1,6210
4349,"Black Minifigure, Utensil Loudhailer / Megaphone / SW BlasterCatalog: Parts: Minifigure, Utensil434926
",3,6210
3832,"Black Plate 2 x 10Catalog: Parts: Plate383226
",4,6210
3029,"Black Plate 4 x 12Catalog: Parts: Plate302926
",1,6210
3033,"Black Plate 6 x 10Catalog: Parts: Plate303326
",6,6210
48336,"Black Plate, Modified 1 x 2 with Bar Handle on Side - Closed EndsCatalog: Parts: Plate, Modified4225201
",4,6210
2444,"Black Plate, Modified 2 x 2 with Pin HoleCatalog: Parts: Plate, Modified244426
",11,6210
6191,"Black Slope, Curved 1 x 4 x 1 1/3Catalog: Parts: Slope, Curved6019726 or 4200031
",11,6210
44126,"Black Slope, Curved 6 x 2Catalog: Parts: Slope, Curved4180548
",1,6210
2340,"Black Tail 4 x 1 x 3Catalog: Parts: Tail4651541 or 4260945
",4,6210
32474,"Black Technic Ball JointCatalog: Parts: Technic4143539 or 4290713
",2,6210
3705,"Black Technic, Axle  4LCatalog: Parts: Technic, Axle370526
",4,6210
3707,"Black Technic, Axle  8LCatalog: Parts: Technic, Axle370726
",6,6210
32192,"Black Technic, Axle and Pin Connector Angled #4 - 135 degreesCatalog: Parts: Technic, Connector6262897 or 3219226 or 4121610
",4,6210
6538b,"Black Technic, Axle Connector 2L (Ridged with x Hole x Orientation)Catalog: Parts: Technic, Connector4113805 or 653826
",5,6210
3700,"Black Technic, Brick 1 x 2 with HoleCatalog: Parts: Technic, Brick370026
",2,6210
2730,"Black Technic, Brick 1 x 10 with HolesCatalog: Parts: Technic, Brick273026
",2,6210
6558,"Black Technic, Pin 3L with Friction Ridges LengthwiseCatalog: Parts: Technic, Pin655826
",3,6210
32530,"Black Technic, Pin Connector Plate 1 x 2 x 1 2/3 with 2 Holes (Double on Top)Catalog: Parts: Technic, Connector4144024
",1,6210
6628a,"Black Technic, Pin with Friction Ridges Lengthwise and Tow Ball with Round Pin HoleCatalog: Parts: Technic, Pin4184169 or 6344752
",8,6210
