reference_number,color_and_brick,quantity,set_number
30162,"Dark Bluish Gray Minifigure, Utensil Binoculars TownCatalog: Parts: Minifigure, Utensil4587887 or 4211051
",2,4494
3005,"Light Bluish Gray Brick 1 x 1Catalog: Parts: Brick4211389
",3,4494
3001,"Light Bluish Gray Brick 2 x 4Catalog: Parts: Brick4211385
",1,4494
4589,"Light Bluish Gray Cone 1 x 1 without Top GrooveCatalog: Parts: Cone4529241 or 4518652 or 4211499
",3,4494
3023,"Light Bluish Gray Plate 1 x 2Catalog: Parts: Plate3023194 or 4211398
",4,4494
3794a,"Light Bluish Gray Plate, Modified 1 x 2 with 1 Stud without Groove (Jumper)Catalog: Parts: Plate, Modified4211451
",3,4494
4073,"Light Bluish Gray Plate, Round 1 x 1Catalog: Parts: Plate, Round4211525
",2,4494
2412b,"Light Bluish Gray Tile, Modified 1 x 2 Grille with Bottom Groove / LipCatalog: Parts: Tile, Modified4211350
",5,4494
2412b,"Trans-Light Blue Tile, Modified 1 x 2 Grille with Bottom Groove / LipCatalog: Parts: Tile, Modified6147051 or 4143190
",2,4494
3070b,"Trans-Yellow Tile 1 x 1 with GrooveCatalog: Parts: Tile3003944
",3,4494
4592c02(inv),"White Antenna Small Base with Black LeverCatalog: Parts: Antenna73737
",2,4494
4095,"White Bar   6.6L with Stop Ring (Patio Umbrella Stand)Catalog: Parts: Bar409501 or 4294998
",2,4494
3010,"White Brick 1 x 4Catalog: Parts: Brick301001
",1,4494
4070,"White Brick, Modified 1 x 1 with HeadlightCatalog: Parts: Brick, Modified407001
",2,4494
2877,"White Brick, Modified 1 x 2 with Grille / Fluted ProfileCatalog: Parts: Brick, Modified287701
",2,4494
3062b,"White Brick, Round 1 x 1 Open StudCatalog: Parts: Brick, Round306201
",4,4494
4740,"White Dish 2 x 2 Inverted (Radar)Catalog: Parts: Dish474001
",2,4494
3024,"White Plate 1 x 1Catalog: Parts: Plate302401
",2,4494
3460,"White Plate 1 x 8Catalog: Parts: Plate346001
",3,4494
3022,"White Plate 2 x 2Catalog: Parts: Plate4613976 or 302201
",1,4494
2420,"White Plate 2 x 2 CornerCatalog: Parts: Plate242001
",4,4494
3020,"White Plate 2 x 4Catalog: Parts: Plate302001
",2,4494
3032,"White Plate 4 x 6Catalog: Parts: Plate303201
",1,4494
4081b,"White Plate, Modified 1 x 1 with Light Attachment - Thick RingCatalog: Parts: Plate, Modified6281990 or 4632566 or 408101
",4,4494
6019,"White Plate, Modified 1 x 1 with U Clip (Horizontal Grip)Catalog: Parts: Plate, Modified601901
",6,4494
4073,"White Plate, Round 1 x 1Catalog: Parts: Plate, Round614101
",2,4494
2654,"White Plate, Round 2 x 2 with Rounded Bottom (Boat Stud)Catalog: Parts: Plate, Round265401 or 4278271
",1,4494
30363px10,"White Slope 18 4 x 2 with SW Imperial Shuttle Cockpit PatternCatalog: Parts: Slope, DecoratedPart Color Code Missing
",1,4494
3298,"White Slope 33 3 x 2Catalog: Parts: Slope329801
",1,4494
30249,"White Slope 55 6 x 1 x 5Catalog: Parts: Slope6108594 or 4117031 or 6223277 or 4502028
",1,4494
4460a,"White Slope 75 2 x 1 x 3 - Open StudCatalog: Parts: Slope446001
",2,4494
3665,"White Slope, Inverted 45 2 x 1Catalog: Parts: Slope, Inverted366501
",1,4494
3069b,"White Tile 1 x 2 with GrooveCatalog: Parts: Tile306901
",1,4494
2431,"White Tile 1 x 4Catalog: Parts: Tile243101
",2,4494
3068b,"White Tile 2 x 2 with GrooveCatalog: Parts: Tile306801
",1,4494
2432,"White Tile, Modified 1 x 2 with Bar HandleCatalog: Parts: Tile, Modified243201
",1,4494
3933,"White Wedge, Plate 8 x 4 Wing LeftCatalog: Parts: Wedge, PlatePart Color Code Missing
",1,4494
3934,"White Wedge, Plate 8 x 4 Wing RightCatalog: Parts: Wedge, PlatePart Color Code Missing
",1,4494
4073,"Light Bluish Gray Plate, Round 1 x 1Catalog: Parts: Plate, Round4211525
",1,4494
3070b,"Trans-Yellow Tile 1 x 1 with GrooveCatalog: Parts: Tile3003944
",1,4494
4592c02(inv),"White Antenna Small Base with Black LeverCatalog: Parts: Antenna73737
",1,4494
4073,"White Plate, Round 1 x 1Catalog: Parts: Plate, Round614101
",1,4494
