reference_number,color_and_brick,quantity,set_number
76386stk01," Sticker Sheet for Set 76386, Mirrored - (79243/6351669)Catalog: Parts: Sticker Sheet
",1,76386
4592c02(inv),"Black Antenna Small Base with Black LeverCatalog: Parts: Antenna73587
",1,76386
38320,"Black Pane for Window 1 x 2 x 2 Lattice DiamondCatalog: Parts: Window, Glass & Shutter6234994
",1,76386
18674,"Black Tile, Round 2 x 2 with Open StudCatalog: Parts: Tile, Round6195325
",1,76386
2412b,"Dark Bluish Gray Tile, Modified 1 x 2 Grille with Bottom Groove / LipCatalog: Parts: Tile, Modified4210631
",7,76386
93096,"Dark Brown Door 1 x 5 x 3 with 3 Studs and HandleCatalog: Parts: Door6349697
",1,76386
62810,"Dark Brown Minifigure, Hair Short Tousled with Side PartCatalog: Parts: Minifigure, Hair4535553
",1,76386
23186,"Dark Brown Minifigure, Hair Swept Left TousledCatalog: Parts: Minifigure, Hair6152229
",1,76386
36752c01(inv),"Dark Brown Minifigure, Utensil Wand, 2 on SprueCatalog: Parts: Minifigure, Utensil6254390 or 6270032 or 6235076
",1,76386
3068bpb1736,"Dark Purple Tile 2 x 2 with Groove with Chocolate Frog Card Bertie Bott PatternCatalog: Parts: Tile, DecoratedPart Color Code Missing
",2,76386
36752c01(inv),"Dark Tan Minifigure, Utensil Wand, 2 on SprueCatalog: Parts: Minifigure, Utensil6270031 or 6254388 or 6235074
",1,76386
4282,"Dark Tan Plate 2 x 16Catalog: Parts: Plate6316277
",1,76386
41740,"Dark Tan Plate, Modified 1 x 4 with 2 Studs with GrooveCatalog: Parts: Plate, Modified6257599
",4,76386
3069b,"Dark Tan Tile 1 x 2 with GrooveCatalog: Parts: Tile4496699
",2,76386
6636,"Dark Tan Tile 1 x 6Catalog: Parts: Tile4251129 or 4507047
",4,76386
34173,"Flat Silver Minifigure, Utensil SpoonCatalog: Parts: Minifigure, Utensil6196796
",1,76386
44728,"Light Bluish Gray Bracket 1 x 2 - 2 x 2Catalog: Parts: Bracket6117967 or 6009014 or 4211811 or 4277927
",1,76386
3245c,"Light Bluish Gray Brick 1 x 2 x 2 with Inside Stud HolderCatalog: Parts: Brick4211564
",3,76386
4081b,"Light Bluish Gray Plate, Modified 1 x 1 with Light Attachment - Thick RingCatalog: Parts: Plate, Modified6281998 or 4632575 or 4211477
",1,76386
4623b,"Light Bluish Gray Plate, Modified 1 x 2 with Bar Arm Up (Horizontal Arm 5mm)Catalog: Parts: Plate, Modified6261353 or 4611702
",4,76386
60478,"Light Bluish Gray Plate, Modified 1 x 2 with Bar Handle on End - Closed EndsCatalog: Parts: Plate, Modified4515369
",2,76386
6541,"Light Bluish Gray Technic, Brick 1 x 1 with HoleCatalog: Parts: Technic, Brick4211535
",2,76386
32000,"Light Bluish Gray Technic, Brick 1 x 2 with HolesCatalog: Parts: Technic, Brick4211541
",2,76386
3673,"Light Bluish Gray Technic, Pin without Friction Ridges LengthwiseCatalog: Parts: Technic, Pin3673194 or 4211807
",2,76386
3005,"Medium Nougat Brick 1 x 1Catalog: Parts: Brick6057986 or 4569624
",2,76386
98283,"Medium Nougat Brick, Modified 1 x 2 with Masonry ProfileCatalog: Parts: Brick, Modified4656783
",3,76386
3024,"Medium Nougat Plate 1 x 1Catalog: Parts: Plate6215606
",4,76386
3023,"Medium Nougat Plate 1 x 2Catalog: Parts: Plate6218360
",1,76386
4073,"Medium Nougat Plate, Round 1 x 1Catalog: Parts: Plate, Round6167641
",2,76386
98374,"Pearl Dark Gray Minifigure, Utensil Pot Small with Handle HoldersCatalog: Parts: Minifigure, Utensil6153593
",1,76386
36752c01(inv),"Pearl Gold Minifigure, Utensil Wand, 2 on SprueCatalog: Parts: Minifigure, Utensil6342086
",1,76386
13770,"Pearl Gold Tap 1 x 2 with Dual Handles, Small / Sink FaucetCatalog: Parts: Tap6245261 or 6170417 or 6044591
",3,76386
