reference_number,color_and_brick,quantity,set_number
2921,"Black Brick, Modified 1 x 1 with Bar HandleCatalog: Parts: Brick, Modified6170566 or 292126
",2,4490
4073,"Black Plate, Round 1 x 1Catalog: Parts: Plate, Round614126
",2,4490
2412b,"Black Tile, Modified 1 x 2 Grille with Bottom Groove / LipCatalog: Parts: Tile, Modified241226
",2,4490
43093,"Blue Technic, Axle  1L with Pin with Friction Ridges LengthwiseCatalog: Parts: Technic, Axle4309323 or 4206482
",2,4490
3004,"Dark Gray Brick 1 x 2Catalog: Parts: Brick4113909
",1,4490
3023,"Dark Gray Plate 1 x 2Catalog: Parts: Plate4111983
",3,4490
3020,"Dark Gray Plate 2 x 4Catalog: Parts: Plate4112232
",1,4490
32015,"Dark Gray Technic, Axle and Pin Connector Angled #5 - 112.5 degreesCatalog: Parts: Technic, Connector4106383
",1,4490
3062b,"Dark Red Brick, Round 1 x 1 Open StudCatalog: Parts: Brick, Round4539099 or 4183880
",4,4490
4589,"Dark Red Cone 1 x 1 without Top GrooveCatalog: Parts: Cone4529238 or 4541498 or 4183882
",2,4490
3023,"Dark Red Plate 1 x 2Catalog: Parts: Plate4162582 or 4539097
",2,4490
3710,"Dark Red Plate 1 x 4Catalog: Parts: Plate4539061 or 4164219
",1,4490
41770,"Dark Red Wedge, Plate 4 x 2 LeftCatalog: Parts: Wedge, Plate4541367 or 6008593 or 4162587
",1,4490
41769,"Dark Red Wedge, Plate 4 x 2 RightCatalog: Parts: Wedge, Plate4541364 or 6008595 or 4162586
",1,4490
4592c02(inv),"Light Gray Antenna Small Base with Black LeverCatalog: Parts: Antenna73588
",3,4490
2436,"Light Gray Bracket 1 x 2 - 1 x 4Catalog: Parts: Bracket4282741 or 243602
",2,4490
2877,"Light Gray Brick, Modified 1 x 2 with Grille / Fluted ProfileCatalog: Parts: Brick, Modified287702
",1,4490
30526,"Light Gray Brick, Modified 1 x 2 with PinsCatalog: Parts: Brick, Modified4142868
",1,4490
6232,"Light Gray Brick, Modified 2 x 2 with Pin and Axle HoleCatalog: Parts: Brick, Modified623202
",1,4490
3062b,"Light Gray Brick, Round 1 x 1 Open StudCatalog: Parts: Brick, Round306202
",2,4490
553b,"Light Gray Brick, Round 2 x 2 Dome Top - Blocked Open Stud with Bottom Axle Holder x Shape + OrientationCatalog: Parts: Brick, Round4216650
",4,4490
3022,"Light Gray Plate 2 x 2Catalog: Parts: Plate302202
",2,4490
3021,"Light Gray Plate 2 x 3Catalog: Parts: Plate302102
",2,4490
3795,"Light Gray Plate 2 x 6Catalog: Parts: Plate379502
",1,4490
3032,"Light Gray Plate 4 x 6Catalog: Parts: Plate303202
",1,4490
6019,"Light Gray Plate, Modified 1 x 1 with U Clip (Horizontal Grip)Catalog: Parts: Plate, Modified601902
",3,4490
4073,"Light Gray Plate, Round 1 x 1Catalog: Parts: Plate, RoundPart Color Code Missing
",4,4490
3665,"Light Gray Slope, Inverted 45 2 x 1Catalog: Parts: Slope, Inverted366502
",2,4490
32000,"Light Gray Technic, Brick 1 x 2 with HolesCatalog: Parts: Technic, Brick3200002
",2,4490
4274,"Light Gray Technic, Pin 1/2Catalog: Parts: Technic, Pin427402
",1,4490
2412b,"Light Gray Tile, Modified 1 x 2 Grille with Bottom Groove / LipCatalog: Parts: Tile, Modified241202
",3,4490
4070,"Lime Brick, Modified 1 x 1 with HeadlightCatalog: Parts: Brick, Modified6315194 or 6069010 or 4183879 or 4540460
",2,4490
4216,"Lime Brick, Modified 1 x 2 with GrooveCatalog: Parts: Brick, Modified4183881
",1,4490
2444,"Red Plate, Modified 2 x 2 with Pin HoleCatalog: Parts: Plate, Modified244421
",2,4490
3040,"Red Slope 45 2 x 1Catalog: Parts: Slope304021 or 4121934
",2,4490
3023,"Trans-Black Plate 1 x 2Catalog: Parts: Plate4173662 or 6240219 or 6001197
",2,4490
3070b,"Trans-Black Tile 1 x 1 with GrooveCatalog: Parts: Tile6254253 or 6038458 or 4529684
",2,4490
3003,"White Brick 2 x 2Catalog: Parts: Brick300301
",1,4490
3002,"White Brick 2 x 3Catalog: Parts: Brick300201
",2,4490
2877,"White Brick, Modified 1 x 2 with Grille / Fluted ProfileCatalog: Parts: Brick, Modified287701
",2,4490
3062b,"White Brick, Round 1 x 1 Open StudCatalog: Parts: Brick, Round306201
",2,4490
3021,"White Plate 2 x 3Catalog: Parts: Plate302101
",1,4490
3832,"White Plate 2 x 10Catalog: Parts: Plate383201
",2,4490
4081b,"White Plate, Modified 1 x 1 with Light Attachment - Thick RingCatalog: Parts: Plate, Modified6281990 or 4632566 or 408101
",2,4490
2540,"White Plate, Modified 1 x 2 with Bar Handle on Side - Free EndsCatalog: Parts: Plate, Modified254001 or 4140583
",1,4490
4073,"White Plate, Round 1 x 1Catalog: Parts: Plate, Round614101
",2,4490
30363,"White Slope 18 4 x 2Catalog: Parts: Slope4143000
",3,4490
3039,"White Slope 45 2 x 2Catalog: Parts: Slope303901
",1,4490
3678a,"White Slope 65 2 x 2 x 2 without Bottom TubeCatalog: Parts: Slope4159556 or 367801
",4,4490
3660,"White Slope, Inverted 45 2 x 2Catalog: Parts: Slope, Inverted6366391 or 366001
",1,4490
4599a,"White Tap 1 x 1 with Hole in Nozzle EndCatalog: Parts: Tap459901
",1,4490
3700,"White Technic, Brick 1 x 2 with HoleCatalog: Parts: Technic, Brick370001
",1,4490
3069b,"White Tile 1 x 2 with GrooveCatalog: Parts: Tile306901
",1,4490
2413,"White Wedge, Plate 4 x 9 without Stud NotchesCatalog: Parts: Wedge, Plate241301
",2,4490
3933,"White Wedge, Plate 8 x 4 Wing LeftCatalog: Parts: Wedge, PlatePart Color Code Missing
",1,4490
3934,"White Wedge, Plate 8 x 4 Wing RightCatalog: Parts: Wedge, PlatePart Color Code Missing
",1,4490
4073,"Black Plate, Round 1 x 1Catalog: Parts: Plate, Round614126
",1,4490
43093,"Blue Technic, Axle  1L with Pin with Friction Ridges LengthwiseCatalog: Parts: Technic, Axle4309323 or 4206482
",1,4490
4592c02(inv),"Light Gray Antenna Small Base with Black LeverCatalog: Parts: Antenna73588
",1,4490
4073,"Light Gray Plate, Round 1 x 1Catalog: Parts: Plate, RoundPart Color Code Missing
",1,4490
4274,"Light Gray Technic, Pin 1/2Catalog: Parts: Technic, Pin427402
",1,4490
3070b,"Trans-Black Tile 1 x 1 with GrooveCatalog: Parts: Tile6254253 or 6038458 or 4529684
",1,4490
4073,"White Plate, Round 1 x 1Catalog: Parts: Plate, Round614101
",1,4490
