reference_number,color_and_brick,quantity,set_number
10186stk01," Sticker Sheet for Set 10186 - (62621/4524038)Catalog: Parts: Sticker Sheet4524038
",1,10186
2357,"Black Brick 2 x 2 CornerCatalog: Parts: Brick235726
",4,10186
3001,"Black Brick 2 x 4Catalog: Parts: Brick300126
",8,10186
47905,"Black Brick, Modified 1 x 1 with Studs on 2 Sides, OppositeCatalog: Parts: Brick, Modified4214559
",7,10186
52107,"Black Brick, Modified 1 x 2 with Studs on 2 SidesCatalog: Parts: Brick, Modified4253815
",4,10186
44567,"Black Hinge Plate 1 x 2 Locking with 1 Finger on Side (Undetermined Type)Catalog: Parts: HingePart Color Code Missing
",4,10186
78c10,"Black Hose, Ribbed 7mm D. 10L / 8.0cmCatalog: Parts: Hose, Ribbed 7mm D.4287632 or 4523639
",2,10186
78c12,"Black Hose, Ribbed 7mm D. 12L / 9.6cmCatalog: Parts: Hose, Ribbed 7mm D.6253280 or 4164468 or 4523640
",1,10186
4522,"Black Minifigure, Utensil Tool Mallet / HammerCatalog: Parts: Minifigure, Utensil452226
",4,10186
3710,"Black Plate 1 x 4Catalog: Parts: Plate371026
",8,10186
3022,"Black Plate 2 x 2Catalog: Parts: Plate302226
",4,10186
3021,"Black Plate 2 x 3Catalog: Parts: Plate302126
",6,10186
3020,"Black Plate 2 x 4Catalog: Parts: Plate302026
",13,10186
3031,"Black Plate 4 x 4Catalog: Parts: Plate303126 or 4243819
",6,10186
3035,"Black Plate 4 x 8Catalog: Parts: Plate303526
",4,10186
3030,"Black Plate 4 x 10Catalog: Parts: Plate303026
",2,10186
3958,"Black Plate 6 x 6Catalog: Parts: Plate395826
",4,10186
3033,"Black Plate 6 x 10Catalog: Parts: Plate303326
",4,10186
3028,"Black Plate 6 x 12Catalog: Parts: Plate302826
",1,10186
41539,"Black Plate 8 x 8Catalog: Parts: Plate4166619
",2,10186
3794a,"Black Plate, Modified 1 x 2 with 1 Stud without Groove (Jumper)Catalog: Parts: Plate, Modified379426
",4,10186
48336,"Black Plate, Modified 1 x 2 with Bar Handle on Side - Closed EndsCatalog: Parts: Plate, Modified4225201
",2,10186
3048c,"Black Slope 45 2 x 1 Triple with Inside BarCatalog: Parts: Slope304826
",6,10186
6191,"Black Slope, Curved 1 x 4 x 1 1/3Catalog: Parts: Slope, Curved6019726 or 4200031
",20,10186
4599a,"Black Tap 1 x 1 with Hole in Nozzle EndCatalog: Parts: Tap459926
",4,10186
32062,"Black Technic, Axle  2L NotchedCatalog: Parts: Technic, Axle3206226 or 4109810
",51,10186
3705,"Black Technic, Axle  4LCatalog: Parts: Technic, Axle370526
",7,10186
3737,"Black Technic, Axle 10LCatalog: Parts: Technic, Axle373726
",1,10186
32015,"Black Technic, Axle and Pin Connector Angled #5 - 112.5 degreesCatalog: Parts: Technic, Connector6271346 or 4107084
",2,10186
32039,"Black Technic, Axle Connector with Axle HoleCatalog: Parts: Technic, Connector6331716 or 3203926 or 4107081
",9,10186
32064b,"Black Technic, Brick 1 x 2 with Axle Hole (x Shape)Catalog: Parts: Technic, Brick4233487
",15,10186
32000,"Black Technic, Brick 1 x 2 with HolesCatalog: Parts: Technic, Brick3200026
",9,10186
3703,"Black Technic, Brick 1 x 16 with HolesCatalog: Parts: Technic, Brick370326
",4,10186
32054,"Black Technic, Pin 3L with Friction Ridges Lengthwise and Stop BushCatalog: Parts: Technic, Pin6321745 or 3205426 or 4140801 or 4107742
",8,10186
