reference_number,color_and_brick,quantity,set_number
7626stk01," Sticker Sheet for Set 7626 - (63674/4529365)Catalog: Parts: Sticker Sheet4529365
",1,7626
3009,"Black Brick 1 x 6Catalog: Parts: Brick300926
",2,7626
3938,"Black Hinge Brick 1 x 2 Top PlateCatalog: Parts: Hinge393826
",2,7626
30553,"Black Hinge Cylinder 1 x 2 Locking with 2 Fingers, 9 Teeth and Axle Hole on Ends with SlotsCatalog: Parts: Hinge4143372
",1,7626
6246c01(inv),"Black Minifigure, Utensil Tool Wheel, 6 on SprueCatalog: Parts: Minifigure, Utensil4143199
",1,7626
62885,"Black Minifigure, Weapon Gun, Pistol Automatic Medium Barrel (Indiana Jones)Catalog: Parts: Minifigure, Weapon6103643 or 6052829 or 4526761
",1,7626
3623,"Black Plate 1 x 3Catalog: Parts: Plate362326
",2,7626
3666,"Black Plate 1 x 6Catalog: Parts: Plate366626
",2,7626
2420,"Black Plate 2 x 2 CornerCatalog: Parts: Plate242026
",2,7626
48336,"Black Plate, Modified 1 x 2 with Bar Handle on Side - Closed EndsCatalog: Parts: Plate, Modified4225201
",1,7626
54200,"Black Slope 30 1 x 1 x 2/3Catalog: Parts: Slope4287159 or 4504382
",4,7626
30238,"Black Spider with Round Abdomen and ClipCatalog: Parts: Animal, Land4113209
",1,7626
3706,"Black Technic, Axle  6LCatalog: Parts: Technic, Axle370626
",1,7626
3737,"Black Technic, Axle 10LCatalog: Parts: Technic, Axle373726
",1,7626
3708,"Black Technic, Axle 12LCatalog: Parts: Technic, Axle370826
",1,7626
32016,"Black Technic, Axle and Pin Connector Angled #3 - 157.5 degreesCatalog: Parts: Technic, Connector6261386 or 4107082
",2,7626
32064c,"Black Technic, Brick 1 x 2 with Axle Hole (+ Shape) and Inside Side SupportsCatalog: Parts: Technic, BrickPart Color Code Missing
",3,7626
3701,"Black Technic, Brick 1 x 4 with HolesCatalog: Parts: Technic, Brick370126
",4,7626
32270,"Black Technic, Gear 12 Tooth Double BevelCatalog: Parts: Technic, Gear4177431
",2,7626
3743,"Black Technic, Gear Rack 1 x 4Catalog: Parts: Technic, Gear4205760
",2,7626
3873,"Black Technic, Link TreadCatalog: Parts: Technic, Link6047885 or 387326
",86,7626
6636,"Black Tile 1 x 6Catalog: Parts: Tile663626
",1,7626
2412b,"Black Tile, Modified 1 x 2 Grille with Bottom Groove / LipCatalog: Parts: Tile, Modified241226
",9,7626
50945,"Black Tire 14mm D. x 6mm Solid SmoothCatalog: Parts: Tire & Tread4246901
",2,7626
2419,"Black Wedge, Plate 3 x 6 Cut CornersCatalog: Parts: Wedge, Plate241926
",1,7626
30000,"Blue Brick, Modified 2 x 2 with Pins and Axle HoleCatalog: Parts: Brick, Modified3000023
",3,7626
3937,"Blue Hinge Brick 1 x 2 BaseCatalog: Parts: Hinge393723
",4,7626
4274,"Blue Technic, Pin 1/2Catalog: Parts: Technic, Pin4143005
",4,7626
47905,"Dark Bluish Gray Brick, Modified 1 x 1 with Studs on 2 Sides, OppositeCatalog: Parts: Brick, Modified4213574
",2,7626
3062b,"Dark Bluish Gray Brick, Round 1 x 1 Open StudCatalog: Parts: Brick, Round4211090
",6,7626
30141,"Dark Bluish Gray Minifigure, Weapon Gun, RifleCatalog: Parts: Minifigure, Weapon6035094 or 4523773
",1,7626
3710,"Dark Bluish Gray Plate 1 x 4Catalog: Parts: Plate4211001
",3,7626
2420,"Dark Bluish Gray Plate 2 x 2 CornerCatalog: Parts: Plate4210635
",2,7626
3832,"Dark Bluish Gray Plate 2 x 10Catalog: Parts: Plate4210678
",1,7626
3032,"Dark Bluish Gray Plate 4 x 6Catalog: Parts: Plate3032199 or 4211115
",2,7626
