reference_number,color_and_brick,quantity,set_number
99780,"Black Bracket 1 x 2 - 1 x 2 InvertedCatalog: Parts: Bracket6020193
",2,75277
41682,"Black Bracket 2 x 2 - 1 x 2 CenteredCatalog: Parts: Bracket6250020
",2,75277
3245c,"Black Brick 1 x 2 x 2 with Inside Stud HolderCatalog: Parts: Brick4618852
",4,75277
3010,"Black Brick 1 x 4Catalog: Parts: Brick301026
",1,75277
3008,"Black Brick 1 x 8Catalog: Parts: Brick300826
",1,75277
6154,"Black Door, Frame 1 x 4 x 4 LiftCatalog: Parts: Door, Frame6254519 or 6187157
",1,75277
3937,"Black Hinge Brick 1 x 2 BaseCatalog: Parts: Hinge393726
",1,75277
6134,"Black Hinge Brick 2 x 2 Top PlateCatalog: Parts: Hinge4124096
",1,75277
44567a,"Black Hinge Plate 1 x 2 Locking with 1 Finger on Side with Bottom GrooveCatalog: Parts: Hinge4185620
",1,75277
3024,"Black Plate 1 x 1Catalog: Parts: Plate302426
",3,75277
3023,"Black Plate 1 x 2Catalog: Parts: Plate302326
",8,75277
3623,"Black Plate 1 x 3Catalog: Parts: Plate362326
",2,75277
3666,"Black Plate 1 x 6Catalog: Parts: Plate366626
",6,75277
3460,"Black Plate 1 x 8Catalog: Parts: Plate346026
",4,75277
4477,"Black Plate 1 x 10Catalog: Parts: Plate447726
",4,75277
3022,"Black Plate 2 x 2Catalog: Parts: Plate302226
",1,75277
3021,"Black Plate 2 x 3Catalog: Parts: Plate302126
",2,75277
3020,"Black Plate 2 x 4Catalog: Parts: Plate302026
",2,75277
3032,"Black Plate 4 x 6Catalog: Parts: Plate303226
",1,75277
3958,"Black Plate 6 x 6Catalog: Parts: Plate395826
",1,75277
32028,"Black Plate, Modified 1 x 2 with Door RailCatalog: Parts: Plate, Modified4107761
",2,75277
10247,"Black Plate, Modified 2 x 2 with Pin Hole - Full Cross Support UnderneathCatalog: Parts: Plate, Modified6061032
",4,75277
64799,"Black Plate, Modified 4 x 4 with 2 x 2 Open CenterCatalog: Parts: Plate, Modified6058118
",1,75277
35044,"Black Plate, Modified 4 x 4 with 3 x 3 Curved CutoutCatalog: Parts: Plate, Modified6208787
",2,75277
4073,"Black Plate, Round 1 x 1Catalog: Parts: Plate, Round614126
",4,75277
4032,"Black Plate, Round 2 x 2 with Axle HoleCatalog: Parts: Plate, Round403226
",1,75277
30363,"Black Slope 18 4 x 2Catalog: Parts: Slope4185583
",1,75277
3675,"Black Slope 33 3 x 3 Double Convex CornerCatalog: Parts: Slope367526
",4,75277
3297,"Black Slope 33 3 x 4Catalog: Parts: Slope329726
",4,75277
3045,"Black Slope 45 2 x 2 Double Convex CornerCatalog: Parts: Slope304526 or 4189064
",4,75277
3684c,"Black Slope 75 2 x 2 x 3 - Solid StudsCatalog: Parts: Slope6007896
",4,75277
50950,"Black Slope, Curved 3 x 1Catalog: Parts: Slope, Curved4251161
",2,75277
61678,"Black Slope, Curved 4 x 1Catalog: Parts: Slope, Curved6037746 or 4522034
",2,75277
93273,"Black Slope, Curved 4 x 1 DoubleCatalog: Parts: Slope, Curved4613153
",3,75277
32324,"Black Technic, Brick 4 x 4 Open CenterCatalog: Parts: Technic, Brick6222427 or 4226981
",2,75277
2780,"Black Technic, Pin with Friction Ridges Lengthwise, Staggered, with or without Center SlotsCatalog: Parts: Technic, Pin6279875 or 4121715 or 278026
",3,75277
3070b,"Black Tile 1 x 1 with GrooveCatalog: Parts: Tile307026
",2,75277
87079,"Black Tile 2 x 4Catalog: Parts: Tile4560182
",2,75277
11203,"Black Tile, Modified 2 x 2 InvertedCatalog: Parts: Tile, Modified6013867
",1,75277
6180pb127,"Black Tile, Modified 4 x 6 with Studs on Edges with Star Wars Logo and 'BOBA FETT' PatternCatalog: Parts: Tile, Modified, Decorated6296997
",1,75277
24246,"Black Tile, Round 1 x 1 Half Circle Extended (Stadium)Catalog: Parts: Tile, Round6256435
",1,75277
29120,"Black Wedge 2 x 1 x 2/3 with Stud Notch LeftCatalog: Parts: Wedge6181720
",1,75277
29119,"Black Wedge 2 x 1 x 2/3 with Stud Notch RightCatalog: Parts: Wedge6181713
",1,75277
87087,"Blue Brick, Modified 1 x 1 with Stud on SideCatalog: Parts: Brick, Modified4583862
",7,75277
3710,"Blue Plate 1 x 4Catalog: Parts: Plate371023
",6,75277
4085d,"Blue Plate, Modified 1 x 1 with Open O Clip Thick (Vertical Grip)Catalog: Parts: Plate, Modified6352221 or 4613257
",2,75277
34103,"Blue Plate, Modified 1 x 3 with 2 Studs (Double Jumper)Catalog: Parts: Plate, Modified6231513
",1,75277
6558,"Blue Technic, Pin 3L with Friction Ridges LengthwiseCatalog: Parts: Technic, Pin6299413 or 4514553
",2,75277
3024,"Bright Light Orange Plate 1 x 1Catalog: Parts: Plate6073040
",6,75277
3023,"Bright Light Orange Plate 1 x 2Catalog: Parts: Plate6028736
",7,75277
3022,"Bright Light Orange Plate 2 x 2Catalog: Parts: Plate6003033 or 4243776
",1,75277
15573,"Bright Light Orange Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper)Catalog: Parts: Plate, Modified6122504
",13,75277
3069b,"Bright Light Orange Tile 1 x 2 with GrooveCatalog: Parts: Tile4622062
",1,75277
4073,"Bright Pink Plate, Round 1 x 1Catalog: Parts: Plate, Round4517996
",4,75277
3023,"Dark Bluish Gray Plate 1 x 2Catalog: Parts: Plate4211063
",2,75277
3036,"Dark Bluish Gray Plate 6 x 8Catalog: Parts: Plate4210794
",2,75277
87083,"Dark Bluish Gray Technic, Axle  4L with StopCatalog: Parts: Technic, Axle6083620 or 4560177
",1,75277
27925,"Dark Bluish Gray Tile, Round Corner 2 x 2 MacaroniCatalog: Parts: Tile, Round6265306
",2,75277
3024,"Dark Green Plate 1 x 1Catalog: Parts: Plate6055169
",1,75277
3023,"Dark Green Plate 1 x 2Catalog: Parts: Plate6013102 or 4264404
",3,75277
3623,"Dark Green Plate 1 x 3Catalog: Parts: Plate6013975 or 4245567
",5,75277
3666,"Dark Green Plate 1 x 6Catalog: Parts: Plate4245566
",12,75277
3021,"Dark Green Plate 2 x 3Catalog: Parts: Plate4650244 or 4297717
",3,75277
3020,"Dark Green Plate 2 x 4Catalog: Parts: Plate4245560 or 4586057
",2,75277
11477,"Dark Green Slope, Curved 2 x 1Catalog: Parts: Slope, Curved6055225
",6,75277
15068,"Dark Green Slope, Curved 2 x 2Catalog: Parts: Slope, Curved6101285
",8,75277
50950,"Dark Green Slope, Curved 3 x 1Catalog: Parts: Slope, Curved4267850
",6,75277
2431,"Dark Green Tile 1 x 4Catalog: Parts: Tile4248267 or 4543949
",1,75277
41770,"Dark Green Wedge, Plate 4 x 2 LeftCatalog: Parts: Wedge, Plate4648340
",2,75277
41769,"Dark Green Wedge, Plate 4 x 2 RightCatalog: Parts: Wedge, Plate6214291 or 4648342
",2,75277
2456,"Dark Red Brick 2 x 6Catalog: Parts: Brick6089268
",1,75277
3024,"Dark Red Plate 1 x 1Catalog: Parts: Plate4539114 or 4183901
",10,75277
3023,"Dark Red Plate 1 x 2Catalog: Parts: Plate4162582 or 4539097
",10,75277
3623,"Dark Red Plate 1 x 3Catalog: Parts: Plate4164223 or 4539076
",11,75277
3710,"Dark Red Plate 1 x 4Catalog: Parts: Plate4539061 or 4164219
",3,75277
3666,"Dark Red Plate 1 x 6Catalog: Parts: Plate4539062 or 4164108
",8,75277
3460,"Dark Red Plate 1 x 8Catalog: Parts: Plate4541507 or 4162205 or 4529027
",2,75277
3022,"Dark Red Plate 2 x 2Catalog: Parts: Plate4585479 or 4163160
",1,75277
3020,"Dark Red Plate 2 x 4Catalog: Parts: Plate4248803 or 4539071 or 4528320
",5,75277
15573,"Dark Red Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper)Catalog: Parts: Plate, Modified6092597
",8,75277
30166,"Dark Red Plate, Modified 2 x 3 Inverted with 4 Studs and Bar Handle on Bottom - Closed Ends (Rocker Plate)Catalog: Parts: Plate, Modified6220561
",2,75277
85984,"Dark Red Slope 30 1 x 2 x 2/3Catalog: Parts: Slope6083977
",1,75277
11477,"Dark Red Slope, Curved 2 x 1Catalog: Parts: Slope, Curved6173168
",2,75277
50950,"Dark Red Slope, Curved 3 x 1Catalog: Parts: Slope, Curved4541546 or 4258311
",4,75277
61678,"Dark Red Slope, Curved 4 x 1Catalog: Parts: Slope, Curved6042953 or 4551604
",4,75277
3070b,"Dark Red Tile 1 x 1 with GrooveCatalog: Parts: Tile4187196 or 4550169
",9,75277
3069b,"Dark Red Tile 1 x 2 with GrooveCatalog: Parts: Tile4165783 or 4529548 or 4539090
",1,75277
4162,"Dark Red Tile 1 x 8Catalog: Parts: Tile4261701 or 4509951 or 4539083
",2,75277
87079,"Dark Red Tile 2 x 4Catalog: Parts: Tile6186003
",2,75277
2412b,"Dark Red Tile, Modified 1 x 2 Grille with Bottom Groove / LipCatalog: Parts: Tile, Modified4162204 or 4541506 or 4528969
",5,75277
41770,"Dark Red Wedge, Plate 4 x 2 LeftCatalog: Parts: Wedge, Plate4541367 or 6008593 or 4162587
",2,75277
