reference_number,color_and_brick,quantity,set_number
7235.1stk01," Sticker Sheet for Set 7235-1 - (52799/4261742)Catalog: Parts: Sticker Sheet4261742
",1,7235
50859a,"Black Motorcycle Chassis, Short Fairing Mounts and Foot PegsCatalog: Parts: Riding Cycle4242385
",1,7235
50861,"Black Tire 21mm D. x 6mm City MotorcycleCatalog: Parts: Tire & Tread6064174 or 4244953
",2,7235
3962b,"Dark Bluish Gray Minifigure, Utensil Radio with Extended HandleCatalog: Parts: Minifigure, Utensil4211116
",1,7235
4697b,"Light Bluish Gray Pneumatic T Piece Second Version (T Bar with Ball in Center)Catalog: Parts: Pneumatic4211508
",2,7235
50862,"Light Bluish Gray Wheel 15mm D. x 6mm City MotorcycleCatalog: Parts: Wheel6410997 or 4590443 or 4259653
",2,7235
54200,"Trans-Dark Blue Slope 30 1 x 1 x 2/3Catalog: Parts: Slope6245256 or 4244366
",2,7235
54200,"Trans-Red Slope 30 1 x 1 x 2/3Catalog: Parts: Slope6245252 or 4244363
",2,7235
54200,"Trans-Yellow Slope 30 1 x 1 x 2/3Catalog: Parts: Slope6245272 or 4244367 or 4260942
",1,7235
4592c02(inv),"White Antenna Small Base with Black LeverCatalog: Parts: Antenna73737
",1,7235
52035,"White Motorcycle Fairing, CityCatalog: Parts: Riding Cycle4579412 or 4256657
",1,7235
3023,"White Plate 1 x 2Catalog: Parts: Plate302301
",4,7235
3021,"White Plate 2 x 3Catalog: Parts: Plate302101
",1,7235
4085c,"White Plate, Modified 1 x 1 with U Clip Thick (Vertical Grip)Catalog: Parts: Plate, Modified408501
",1,7235
3069b,"White Tile 1 x 2 with GrooveCatalog: Parts: Tile306901
",2,7235
cty0006(inv)," Police - City Leather Jacket with Gold Badge, White Helmet, Trans-Black Visor, Dark Blue SunglassesCatalog: Minifigures: Town: City: Police
",1,7235
4697b,"Light Bluish Gray Pneumatic T Piece Second Version (T Bar with Ball in Center)Catalog: Parts: Pneumatic4211508
",1,7235
2447,"Trans-Black Minifigure, Visor StandardCatalog: Parts: Minifigure, Headgear Accessory6244785 or 4571044 or 4163306
",1,7235
54200,"Trans-Dark Blue Slope 30 1 x 1 x 2/3Catalog: Parts: Slope6245256 or 4244366
",1,7235
54200,"Trans-Red Slope 30 1 x 1 x 2/3Catalog: Parts: Slope6245252 or 4244363
",1,7235
54200,"Trans-Yellow Slope 30 1 x 1 x 2/3Catalog: Parts: Slope6245272 or 4244367 or 4260942
",1,7235
4592c02(inv),"White Antenna Small Base with Black LeverCatalog: Parts: Antenna73737
",1,7235
50862c01(inv),"Light Bluish Gray Wheel 15mm D. x 6mm City Motorcycle with Black Tire 21mm D. x 6mm City Motorcycle (50862 / 50861)Catalog: Parts: Wheel & Tire AssemblyPart Color Code Missing
",2,7235
52035c01(inv),"White Motorcycle City with Black Chassis (Short Fairing Mounts) and Light Bluish Gray WheelsCatalog: Parts: Riding CyclePart Color Code Missing
",1,7235
52035c01pb06(inv),"White Motorcycle City with Black Chassis, LBG Wheels and Fairing with 'POLICE' on Black Background Pattern (Sticker) - Sets 7235 / 7237Catalog: Parts: Riding CyclePart Color Code Missing
",1,7235
52035c01pb03(inv),"White Motorcycle City with Black Chassis, LBG Wheels and Fairing with 'POLIZEI' on Green Background Pattern (Sticker) - Sets 7235 / 7237Catalog: Parts: Riding CyclePart Color Code Missing
",1,7235
52035pb06,"White Motorcycle Fairing, City with 'POLICE' White on Black Background Pattern (Sticker) - Sets 7235 / 7237Catalog: Parts: Riding CyclePart Color Code Missing
",1,7235
52035pb03,"White Motorcycle Fairing, City with 'POLIZEI' White on Green Background Pattern (Sticker) - Sets 7235 / 7237Catalog: Parts: Riding CyclePart Color Code Missing
",1,7235
3069bpb0080,"White Tile 1 x 2 with Groove with White 'POLICE' on Black Background Pattern (Sticker) - Sets 7235 / 7236 / 7237Catalog: Parts: Tile, DecoratedPart Color Code Missing
",2,7235
3069bpb0156,"White Tile 1 x 2 with Groove with White 'POLIZEI' on Green Background Pattern (Sticker) - Sets 7235-1 / 7236-1 / 7237Catalog: Parts: Tile, DecoratedPart Color Code Missing
",2,7235
4085d,"White Plate, Modified 1 x 1 with Open O Clip Thick (Vertical Grip)Catalog: Parts: Plate, Modified6330191 or 4613256
",1,7235
