reference_number,color_and_brick,quantity,set_number
x346,"Black Bionicle 1 x 3 Tooth with Axle HoleCatalog: Parts: Bionicle6288220 or 4177441 or 4540065
",2,6209
3004,"Black Brick 1 x 2Catalog: Parts: Brick300426
",9,6209
2465,"Black Brick 1 x 16Catalog: Parts: Brick246526
",2,6209
3001,"Black Brick 2 x 4Catalog: Parts: Brick300126
",7,6209
3941,"Black Brick, Round 2 x 2 with Axle HoleCatalog: Parts: Brick, Round614326
",2,6209
4360,"Black Minifigure, Utensil Camera with Side Sight (Space Gun)Catalog: Parts: Minifigure, Utensil436026
",1,6209
4349,"Black Minifigure, Utensil Loudhailer / Megaphone / SW BlasterCatalog: Parts: Minifigure, Utensil434926
",3,6209
4865,"Black Panel 1 x 2 x 1Catalog: Parts: Panel6146220 or 486526
",1,6209
3034,"Black Plate 2 x 8Catalog: Parts: Plate303426
",1,6209
48336,"Black Plate, Modified 1 x 2 with Bar Handle on Side - Closed EndsCatalog: Parts: Plate, Modified4225201
",5,6209
32074c01,"Black Projectile Launcher, Cannon, Round BottomCatalog: Parts: Projectile Launcher4118816 or 4118815
",1,6209
32062,"Black Technic, Axle  2L NotchedCatalog: Parts: Technic, Axle3206226 or 4109810
",4,6209
3705,"Black Technic, Axle  4LCatalog: Parts: Technic, Axle370526
",1,6209
6538b,"Black Technic, Axle Connector 2L (Ridged with x Hole x Orientation)Catalog: Parts: Technic, Connector4113805 or 653826
",2,6209
40490,"Black Technic, Liftarm Thick 1 x 9Catalog: Parts: Technic, Liftarm4049026 or 4542788 or 4645732 or 4154767
",2,6209
2780,"Black Technic, Pin with Friction Ridges Lengthwise, Staggered, with or without Center SlotsCatalog: Parts: Technic, Pin6279875 or 4121715 or 278026
",7,6209
6179,"Black Tile, Modified 4 x 4 with Studs on EdgeCatalog: Parts: Tile, Modified617926
",1,6209
43093,"Blue Technic, Axle  1L with Pin with Friction Ridges LengthwiseCatalog: Parts: Technic, Axle4309323 or 4206482
",9,6209
30359b,"Dark Bluish Gray Bar 1 x 8 with Brick 1 x 2 Curved Top End (Axle Holder Inside Small End)Catalog: Parts: Bar6273322 or 4210815
",4,6209
3009,"Dark Bluish Gray Brick 1 x 6Catalog: Parts: Brick4211100
",4,6209
2357,"Dark Bluish Gray Brick 2 x 2 CornerCatalog: Parts: Brick4211109
",2,6209
47905,"Dark Bluish Gray Brick, Modified 1 x 1 with Studs on 2 Sides, OppositeCatalog: Parts: Brick, Modified4213574
",4,6209
2877,"Dark Bluish Gray Brick, Modified 1 x 2 with Grille / Fluted ProfileCatalog: Parts: Brick, Modified4210636
",4,6209
3062b,"Dark Bluish Gray Brick, Round 1 x 1 Open StudCatalog: Parts: Brick, Round4211090
",8,6209
4588,"Dark Bluish Gray Brick, Round 1 x 1 with FinsCatalog: Parts: Brick, Round6331222 or 6321195 or 6276026 or 4212352
",2,6209
553b,"Dark Bluish Gray Brick, Round 2 x 2 Dome Top - Blocked Open Stud with Bottom Axle Holder x Shape + OrientationCatalog: Parts: Brick, Round4161674
",1,6209
4533,"Dark Bluish Gray Container, Cupboard 2 x 3 x 2 DoorCatalog: Parts: Container4210811
",2,6209
3193,"Dark Bluish Gray Door 1 x 3 x 3 LeftCatalog: Parts: Door4261563
",1,6209
3192,"Dark Bluish Gray Door 1 x 3 x 3 RightCatalog: Parts: Door4261562
",1,6209
3937,"Dark Bluish Gray Hinge Brick 1 x 2 BaseCatalog: Parts: Hinge4211066
",12,6209
30553,"Dark Bluish Gray Hinge Cylinder 1 x 2 Locking with 2 Fingers, 9 Teeth and Axle Hole on Ends with SlotsCatalog: Parts: Hinge4210695
",2,6209
44822,"Dark Bluish Gray Hinge Tile 1 x 4 Locking Dual 1 Fingers on TopCatalog: Parts: Hinge4622569 or 4193107
",4,6209
30413,"Dark Bluish Gray Panel 1 x 4 x 1Catalog: Parts: Panel4267940 or 6092649 or 4210844
",2,6209
3710,"Dark Bluish Gray Plate 1 x 4Catalog: Parts: Plate4211001
",11,6209
3666,"Dark Bluish Gray Plate 1 x 6Catalog: Parts: Plate4211056
",2,6209
3460,"Dark Bluish Gray Plate 1 x 8Catalog: Parts: Plate4210998
",3,6209
3022,"Dark Bluish Gray Plate 2 x 2Catalog: Parts: Plate4211094
",2,6209
2420,"Dark Bluish Gray Plate 2 x 2 CornerCatalog: Parts: Plate4210635
",4,6209
3021,"Dark Bluish Gray Plate 2 x 3Catalog: Parts: Plate4211043
",3,6209
3795,"Dark Bluish Gray Plate 2 x 6Catalog: Parts: Plate4211002
",5,6209
3032,"Dark Bluish Gray Plate 4 x 6Catalog: Parts: Plate3032199 or 4211115
",3,6209
3029,"Dark Bluish Gray Plate 4 x 12Catalog: Parts: Plate4210706
",2,6209
30363,"Dark Bluish Gray Slope 18 4 x 2Catalog: Parts: Slope4210637
",1,6209
54200,"Dark Bluish Gray Slope 30 1 x 1 x 2/3Catalog: Parts: Slope4244373 or 4504378
",2,6209
4286,"Dark Bluish Gray Slope 33 3 x 1Catalog: Parts: Slope4211045
",2,6209
3684a,"Dark Bluish Gray Slope 75 2 x 2 x 3 - Hollow StudsCatalog: Parts: Slope4210696
",2,6209
6091,"Dark Bluish Gray Slope, Curved 2 x 1 x 1 1/3 with Recessed StudCatalog: Parts: Slope, Curved6411327 or 4210797
",4,6209
42022,"Dark Bluish Gray Slope, Curved 6 x 1Catalog: Parts: Slope, Curved6058858 or 4210778
",2,6209
41766,"Dark Bluish Gray Slope, Curved 8 x 2 x 2Catalog: Parts: Slope, Curved4210787
",2,6209
3747a,"Dark Bluish Gray Slope, Inverted 33 3 x 2 without Connections between StudsCatalog: Parts: Slope, Inverted4500464 or 4211064
",8,6209
3665,"Dark Bluish Gray Slope, Inverted 45 2 x 1Catalog: Parts: Slope, Inverted4211096
",6,6209
6587,"Dark Bluish Gray Technic, Axle  3L with StudCatalog: Parts: Technic, Axle6129590 or 6587199 or 4211086
",6,6209
32192,"Dark Bluish Gray Technic, Axle and Pin Connector Angled #4 - 135 degreesCatalog: Parts: Technic, Connector6262899 or 4210688
",4,6209
3069b,"Dark Bluish Gray Tile 1 x 2 with GrooveCatalog: Parts: Tile4211052
",1,6209
3069bpa2,"Dark Bluish Gray Tile 1 x 2 with Groove with Copper and White Circuitry, Red Rectangle and 4 Squares PatternCatalog: Parts: Tile, Decorated4272142
",1,6209
2431,"Dark Bluish Gray Tile 1 x 4Catalog: Parts: Tile4211053
",4,6209
6636,"Dark Bluish Gray Tile 1 x 6Catalog: Parts: Tile4210651
",2,6209
2412b,"Dark Bluish Gray Tile, Modified 1 x 2 Grille with Bottom Groove / LipCatalog: Parts: Tile, Modified4210631
",10,6209
41748,"Dark Bluish Gray Wedge 6 x 2 LeftCatalog: Parts: Wedge6063681 or 4210772
",2,6209
41747,"Dark Bluish Gray Wedge 6 x 2 RightCatalog: Parts: Wedge6063685 or 4210771
",2,6209
2419,"Dark Bluish Gray Wedge, Plate 3 x 6 Cut CornersCatalog: Parts: Wedge, Plate4210984
",1,6209
41770,"Dark Bluish Gray Wedge, Plate 4 x 2 LeftCatalog: Parts: Wedge, Plate4210788
",3,6209
41769,"Dark Bluish Gray Wedge, Plate 4 x 2 RightCatalog: Parts: Wedge, Plate4210782
",3,6209
30503,"Dark Bluish Gray Wedge, Plate 4 x 4 Cut CornerCatalog: Parts: Wedge, Plate4210728
",2,6209
4735,"Light Bluish Gray Bar 1 x 3 with Clip and Stud Receptacle (Robot Arm)Catalog: Parts: Bar4211644
",4,6209
3956,"Light Bluish Gray Bracket 2 x 2 - 2 x 2 with 2 HolesCatalog: Parts: Bracket6254807 or 6019212 or 4211472
",8,6209
3622,"Light Bluish Gray Brick 1 x 3Catalog: Parts: Brick4211428
",2,6209
3010,"Light Bluish Gray Brick 1 x 4Catalog: Parts: Brick4211394
",8,6209
3008,"Light Bluish Gray Brick 1 x 8Catalog: Parts: Brick4211392
",6,6209
3003,"Light Bluish Gray Brick 2 x 2Catalog: Parts: Brick4211387
",3,6209
3001,"Light Bluish Gray Brick 2 x 4Catalog: Parts: Brick4211385
",2,6209
3063,"Light Bluish Gray Brick, Round Corner 2 x 2 Macaroni with Stud NotchCatalog: Parts: Brick, Round4567448 or 4215385
",18,6209
48092,"Light Bluish Gray Brick, Round Corner 4 x 4 Macaroni Wide with 3 StudsCatalog: Parts: Brick, Round4215472
",8,6209
4532a,"Light Bluish Gray Container, Cupboard 2 x 3 x 2 - Solid StudsCatalog: Parts: Container4265746
",2,6209
4740,"Light Bluish Gray Dish 2 x 2 Inverted (Radar)Catalog: Parts: Dish4211512
",2,6209
44375a,"Light Bluish Gray Dish 6 x 6 Inverted (Radar) - Hollow StudsCatalog: Parts: Dish4211796
",1,6209
30364,"Light Bluish Gray Hinge Brick 1 x 2 Locking with 1 Finger Vertical EndCatalog: Parts: Hinge4211693
",2,6209
30387,"Light Bluish Gray Hinge Brick 1 x 4 Locking with 1 Finger Vertical End and 2 Fingers Vertical End, 9 TeethCatalog: Parts: Hinge4211695
",2,6209
6134,"Light Bluish Gray Hinge Brick 2 x 2 Top PlateCatalog: Parts: Hinge4211881
",14,6209
44567,"Light Bluish Gray Hinge Plate 1 x 2 Locking with 1 Finger on Side (Undetermined Type)Catalog: Parts: HingePart Color Code Missing
",2,6209
44568,"Light Bluish Gray Hinge Plate 1 x 4 Locking Dual 1 Fingers on SideCatalog: Parts: Hinge6276045 or 4211840
",4,6209
