reference_number,color_and_brick,quantity,set_number
3623,"Black Plate 1 x 3Catalog: Parts: Plate362326
",2,4475
32001,"Black Technic, Plate 2 x 6 with 5 HolesCatalog: Parts: Technic, Plate3200126
",1,4475
3005,"Brown Brick 1 x 1Catalog: Parts: Brick4160990
",2,4475
3004,"Brown Brick 1 x 2Catalog: Parts: Brick300425
",1,4475
2458,"Brown Brick, Modified 1 x 2 with PinCatalog: Parts: Brick, Modified4163227
",1,4475
3040,"Brown Slope 45 2 x 1Catalog: Parts: Slope4121971
",6,4475
3070b,"Brown Tile 1 x 1 with GrooveCatalog: Parts: Tile4181973
",2,4475
2431,"Brown Tile 1 x 4Catalog: Parts: Tile4116732
",2,4475
4162,"Brown Tile 1 x 8Catalog: Parts: Tile4176634
",2,4475
32474pb001,"Dark Gray Technic Ball Joint with Black and Silver TT-8L/Y7 Gatekeeper Droid PatternCatalog: Parts: TechnicPart Color Code Missing
",1,4475
6587,"Dark Gray Technic, Axle  3L with StudCatalog: Parts: Technic, Axle4113884
",1,4475
3062b,"Light Gray Brick, Round 1 x 1 Open StudCatalog: Parts: Brick, Round306202
",1,4475
3308,"Tan Arch 1 x 8 x 2Catalog: Parts: Arch4596319 or 4159554 or 4541743
",1,4475
2454,"Tan Brick 1 x 2 x 5 - Blocked Open Studs or Hollow StudsCatalog: Parts: Brick4114064
",4,4475
3034,"Tan Plate 2 x 8Catalog: Parts: Plate4113988
",2,4475
41539,"Tan Plate 8 x 8Catalog: Parts: Plate4178317 or 4624223
",1,4475
4073,"Trans-Neon Orange Plate, Round 1 x 1Catalog: Parts: Plate, Round6240218 or 3005747
",2,4475
2412b,"Trans-Neon Orange Tile, Modified 1 x 2 Grille with Bottom Groove / LipCatalog: Parts: Tile, Modified6250159 or 6124829 or 4141741
",2,4475
sw0028(inv)," Astromech Droid, R2-D2Catalog: Minifigures: Star Wars
",1,4475
sw0076(inv)," Bib FortunaCatalog: Minifigures: Star Wars: Star Wars Episode 4/5/6
",1,4475
sw0010(inv)," C-3PO - Pearl Light GoldCatalog: Minifigures: Star Wars: Star Wars Episode 4/5/6
",1,4475
3070b,"Brown Tile 1 x 1 with GrooveCatalog: Parts: Tile4181973
",1,4475
4073,"Trans-Neon Orange Plate, Round 1 x 1Catalog: Parts: Plate, Round6240218 or 3005747
",2,4475
2412b,"Trans-Neon Orange Tile, Modified 1 x 2 Grille with Bottom Groove / LipCatalog: Parts: Tile, Modified6250159 or 6124829 or 4141741
",1,4475
