reference_number,color_and_brick,quantity,set_number
3938,"Black Hinge Brick 1 x 2 Top PlateCatalog: Parts: Hinge393826
",1,6698
3023,"Black Plate 1 x 2Catalog: Parts: Plate302326
",3,6698
3022,"Black Plate 2 x 2Catalog: Parts: Plate302226
",1,6698
3730,"Black Plate, Modified 2 x 2 with Tow Ball Socket, Short, 4 SlotsCatalog: Parts: Plate, Modified373026
",1,6698
122c02assy2(inv),"Black Plate, Modified 2 x 2 with White Wheels with Black Tires 15mm D. x 6mm Offset Tread Small (122c02 / 3641)Catalog: Parts: Wheel & Tire AssemblyPart Color Code Missing
",1,6698
122c02assy3(inv),"Black Plate, Modified 2 x 2 with White Wheels with Black Tires 21mm D. x 9mm Offset Tread Medium (122c02 / 4084)Catalog: Parts: Wheel & Tire AssemblyPart Color Code Missing
",2,6698
4073,"Black Plate, Round 1 x 1Catalog: Parts: Plate, Round614126
",2,6698
4070,"Blue Brick, Modified 1 x 1 with HeadlightCatalog: Parts: Brick, Modified407023
",2,6698
3822,"Blue Door 1 x 3 x 1 LeftCatalog: Parts: Door4586544
",1,6698
3821,"Blue Door 1 x 3 x 1 RightCatalog: Parts: Door4586547
",1,6698
3937,"Blue Hinge Brick 1 x 2 BaseCatalog: Parts: Hinge393723
",1,6698
3938,"Blue Hinge Brick 1 x 2 Top PlateCatalog: Parts: HingePart Color Code Missing
",1,6698
4865,"Blue Panel 1 x 2 x 1Catalog: Parts: Panel486523
",1,6698
3024,"Blue Plate 1 x 1Catalog: Parts: Plate302423
",4,6698
3023,"Blue Plate 1 x 2Catalog: Parts: Plate302323
",4,6698
3623,"Blue Plate 1 x 3Catalog: Parts: Plate362323
",2,6698
3710,"Blue Plate 1 x 4Catalog: Parts: Plate371023
",4,6698
3666,"Blue Plate 1 x 6Catalog: Parts: Plate366623
",2,6698
4081a,"Blue Plate, Modified 1 x 1 with Light Attachment - Thin RingCatalog: Parts: Plate, ModifiedPart Color Code Missing
",2,6698
3069b,"Blue Tile 1 x 2 with GrooveCatalog: Parts: Tile306923
",4,6698
3788,"Blue Vehicle, Mudguard 2 x 4 with Arch StuddedCatalog: Parts: Vehicle, Mudguard378823 or 4500520
",2,6698
3829c01,"Blue Vehicle, Steering Stand 1 x 2 with Black Steering WheelCatalog: Parts: Vehicle9566
",2,6698
4859,"Blue Wedge, Plate 3 x 4 without Stud NotchesCatalog: Parts: Wedge, Plate4199394
",1,6698
4863,"Blue Window 1 x 4 x 2 PlaneCatalog: Parts: WindowPart Color Code Missing
",2,6698
4081a,"Light Gray Plate, Modified 1 x 1 with Light Attachment - Thin RingCatalog: Parts: Plate, ModifiedPart Color Code Missing
",1,6698
4276,"Red Hinge Plate 1 x 2 with 2 Fingers (Undetermined Type)Catalog: Parts: HingePart Color Code Missing
",2,6698
