reference_number,color_and_brick,quantity,set_number
3004,"Black Brick 1 x 2Catalog: Parts: Brick300426
",11,21006
3003,"Black Brick 2 x 2Catalog: Parts: Brick300326
",1,21006
2357,"Black Brick 2 x 2 CornerCatalog: Parts: Brick235726
",2,21006
2921,"Black Brick, Modified 1 x 1 with Bar HandleCatalog: Parts: Brick, Modified6170566 or 292126
",4,21006
4589b,"Black Cone 1 x 1 with Top GrooveCatalog: Parts: Cone458926 or 4529236 or 4518219
",1,21006
4865,"Black Panel 1 x 2 x 1Catalog: Parts: Panel6146220 or 486526
",2,21006
3024,"Black Plate 1 x 1Catalog: Parts: Plate302426
",72,21006
3023,"Black Plate 1 x 2Catalog: Parts: Plate302326
",9,21006
60479,"Black Plate 1 x 12Catalog: Parts: Plate4514845
",2,21006
3022,"Black Plate 2 x 2Catalog: Parts: Plate302226
",2,21006
2420,"Black Plate 2 x 2 CornerCatalog: Parts: Plate242026
",12,21006
3795,"Black Plate 2 x 6Catalog: Parts: Plate379526
",2,21006
2445,"Black Plate 2 x 12Catalog: Parts: Plate244526
",7,21006
4282,"Black Plate 2 x 16Catalog: Parts: Plate428226
",4,21006
3794a,"Black Plate, Modified 1 x 2 with 1 Stud without Groove (Jumper)Catalog: Parts: Plate, Modified379426
",1,21006
60474,"Black Plate, Round 4 x 4 with HoleCatalog: Parts: Plate, Round4515350
",1,21006
54200,"Black Slope 30 1 x 1 x 2/3Catalog: Parts: Slope4287159 or 4504382
",8,21006
4286,"Black Slope 33 3 x 1Catalog: Parts: Slope428626
",6,21006
3675,"Black Slope 33 3 x 3 Double Convex CornerCatalog: Parts: Slope367526
",4,21006
3297,"Black Slope 33 3 x 4Catalog: Parts: Slope329726
",6,21006
6541,"Black Technic, Brick 1 x 1 with HoleCatalog: Parts: Technic, Brick654126
",51,21006
3070b,"Black Tile 1 x 1 with GrooveCatalog: Parts: Tile307026
",5,21006
3069b,"Black Tile 1 x 2 with GrooveCatalog: Parts: Tile306926
",5,21006
4162,"Black Tile 1 x 8Catalog: Parts: Tile416226
",9,21006
4162pb051,"Black Tile 1 x 8 with 'The White House' PatternCatalog: Parts: Tile, Decorated4613282
",1,21006
87079,"Black Tile 2 x 4Catalog: Parts: Tile4560182
",5,21006
3005,"Dark Green Brick 1 x 1Catalog: Parts: Brick4521915
",10,21006
3666,"Dark Green Plate 1 x 6Catalog: Parts: Plate4245566
",8,21006
3033,"Dark Green Plate 6 x 10Catalog: Parts: Plate4549214
",6,21006
87087,"Light Bluish Gray Brick, Modified 1 x 1 with Stud on SideCatalog: Parts: Brick, Modified4558953
",4,21006
3024,"Light Bluish Gray Plate 1 x 1Catalog: Parts: Plate4211399
",2,21006
3023,"Light Bluish Gray Plate 1 x 2Catalog: Parts: Plate3023194 or 4211398
",1,21006
3031,"Light Bluish Gray Plate 4 x 4Catalog: Parts: Plate4211403 or 4243797
",2,21006
3070b,"Light Bluish Gray Tile 1 x 1 with GrooveCatalog: Parts: Tile4211415
",6,21006
3069b,"Light Bluish Gray Tile 1 x 2 with GrooveCatalog: Parts: Tile4211414
",1,21006
2431,"Light Bluish Gray Tile 1 x 4Catalog: Parts: Tile2431194 or 4211356
",1,21006
87079,"Light Bluish Gray Tile 2 x 4Catalog: Parts: Tile4560183
",1,21006
4073,"Reddish Brown Plate, Round 1 x 1Catalog: Parts: Plate, Round4216581
",14,21006
3626b,"Trans-Clear Minifigure, Head (Plain) - Blocked Open StudCatalog: Parts: Minifigure, Head3001140
",1,21006
4490,"White Arch 1 x 3Catalog: Parts: Arch4164211 or 4520970
",1,21006
3659,"White Arch 1 x 4Catalog: Parts: Arch365901
",2,21006
30377,"White Arm Mechanical, Battle DroidCatalog: Parts: Minifigure, Body Part6321345 or 4260649
",4,21006
30374,"White Bar   4L (Lightsaber Blade / Wand)Catalog: Parts: Bar6116602 or 4129836
",15,21006
3005,"White Brick 1 x 1Catalog: Parts: Brick300501
",24,21006
2453a,"White Brick 1 x 1 x 5 - Blocked Open Stud or Hollow StudCatalog: Parts: Brick245301
",4,21006
3004,"White Brick 1 x 2Catalog: Parts: Brick4613964 or 300401
",9,21006
2454,"White Brick 1 x 2 x 5 - Blocked Open Studs or Hollow StudsCatalog: Parts: Brick245401
",12,21006
3010,"White Brick 1 x 4Catalog: Parts: Brick301001
",4,21006
3008,"White Brick 1 x 8Catalog: Parts: Brick300801
",1,21006
3002,"White Brick 2 x 3Catalog: Parts: Brick300201
",2,21006
3001,"White Brick 2 x 4Catalog: Parts: Brick300101
",2,21006
3007,"White Brick 2 x 8Catalog: Parts: Brick6033776 or 300701
",1,21006
85080,"White Brick, Round Corner 2 x 2 Macaroni with Stud Notch and Reinforced UndersideCatalog: Parts: Brick, Round4567449
",2,21006
48092,"White Brick, Round Corner 4 x 4 Macaroni Wide with 3 StudsCatalog: Parts: Brick, Round6337627 or 4215470
",2,21006
3633,"White Fence 1 x 4 x 1Catalog: Parts: Fence363301 or 4550171
",15,21006
6231,"White Panel 1 x 1 x 1 CornerCatalog: Parts: Panel623101
",4,21006
3024,"White Plate 1 x 1Catalog: Parts: Plate302401
",36,21006
3023,"White Plate 1 x 2Catalog: Parts: Plate302301
",12,21006
3666,"White Plate 1 x 6Catalog: Parts: Plate366601
",2,21006
3460,"White Plate 1 x 8Catalog: Parts: Plate346001
",12,21006
2420,"White Plate 2 x 2 CornerCatalog: Parts: Plate242001
",10,21006
3020,"White Plate 2 x 4Catalog: Parts: Plate302001
",1,21006
3036,"White Plate 6 x 8Catalog: Parts: Plate303601
",4,21006
6019,"White Plate, Modified 1 x 1 with U Clip (Horizontal Grip)Catalog: Parts: Plate, Modified601901
",1,21006
4085c,"White Plate, Modified 1 x 1 with U Clip Thick (Vertical Grip)Catalog: Parts: Plate, Modified408501
",2,21006
3794a,"White Plate, Modified 1 x 2 with 1 Stud without Groove (Jumper)Catalog: Parts: Plate, Modified379401
",64,21006
30357,"White Plate, Round Corner 3 x 3Catalog: Parts: Plate, Round4550745
",2,21006
30565,"White Plate, Round Corner 4 x 4Catalog: Parts: Plate, Round4178429
",4,21006
54200,"White Slope 30 1 x 1 x 2/3Catalog: Parts: Slope4244370 or 4504369
",2,21006
4286,"White Slope 33 3 x 1Catalog: Parts: Slope428601
",2,21006
3070b,"White Tile 1 x 1 with GrooveCatalog: Parts: Tile307001
",6,21006
3069b,"White Tile 1 x 2 with GrooveCatalog: Parts: Tile306901
",2,21006
6636,"White Tile 1 x 6Catalog: Parts: Tile663601
",2,21006
87079,"White Tile 2 x 4Catalog: Parts: Tile4560178
",2,21006
3024,"Black Plate 1 x 1Catalog: Parts: Plate302426
",1,21006
54200,"Black Slope 30 1 x 1 x 2/3Catalog: Parts: Slope4287159 or 4504382
",1,21006
3070b,"Black Tile 1 x 1 with GrooveCatalog: Parts: Tile307026
",1,21006
3024,"Light Bluish Gray Plate 1 x 1Catalog: Parts: Plate4211399
",1,21006
3070b,"Light Bluish Gray Tile 1 x 1 with GrooveCatalog: Parts: Tile4211415
",1,21006
4073,"Reddish Brown Plate, Round 1 x 1Catalog: Parts: Plate, Round4216581
",1,21006
30377,"White Arm Mechanical, Battle DroidCatalog: Parts: Minifigure, Body Part6321345 or 4260649
",1,21006
3024,"White Plate 1 x 1Catalog: Parts: Plate302401
",1,21006
54200,"White Slope 30 1 x 1 x 2/3Catalog: Parts: Slope4244370 or 4504369
",1,21006
3070b,"White Tile 1 x 1 with GrooveCatalog: Parts: Tile307001
",1,21006
4865b,"Black Panel 1 x 2 x 1 with Rounded CornersCatalog: Parts: Panel6146220 or 486526
",2,21006
3794b,"Black Plate, Modified 1 x 2 with 1 Stud with Groove (Jumper)Catalog: Parts: Plate, Modified379426
",1,21006
3626c,"Trans-Clear Minifigure, Head (Plain) - Hollow StudCatalog: Parts: Minifigure, Head3001140
",1,21006
2453b,"White Brick 1 x 1 x 5 - Solid StudCatalog: Parts: Brick245301
",4,21006
3020,"White Plate 2 x 4Catalog: Parts: Plate302001
",2,21006
61252,"White Plate, Modified 1 x 1 with Open O Clip (Horizontal Grip)Catalog: Parts: Plate, Modified6347293 or 4538353
",1,21006
4085d,"White Plate, Modified 1 x 1 with Open O Clip Thick (Vertical Grip)Catalog: Parts: Plate, Modified6330191 or 4613256
",2,21006
3794b,"White Plate, Modified 1 x 2 with 1 Stud with Groove (Jumper)Catalog: Parts: Plate, Modified379401
",64,21006
