reference_number,color_and_brick,quantity,set_number
4592c03(inv),"Black Antenna Small Base with Light Gray LeverCatalog: Parts: Antenna73667
",4,7171
2436,"Black Bracket 1 x 2 - 1 x 4Catalog: Parts: Bracket243626 or 4282746
",12,7171
3009,"Black Brick 1 x 6Catalog: Parts: Brick300926
",6,7171
3003,"Black Brick 2 x 2Catalog: Parts: Brick300326
",4,7171
3002,"Black Brick 2 x 3Catalog: Parts: Brick300226
",1,7171
3001,"Black Brick 2 x 4Catalog: Parts: Brick300126
",8,7171
3007,"Black Brick 2 x 8Catalog: Parts: Brick6037390 or 300726
",2,7171
4070,"Black Brick, Modified 1 x 1 with HeadlightCatalog: Parts: Brick, Modified407026
",16,7171
4285b,"Black Dish 6 x 6 Inverted (Radar) Webbed - Type 2 (underside attachment positions at 90 degrees)Catalog: Parts: Dish4189129 or 4509865
",2,7171
4495a,"Black Flag 4 x 1 Wave LeftCatalog: Parts: FlagPart Color Code Missing
",2,7171
75c19,"Black Hose, Rigid 3mm D. 19L / 15.2cmCatalog: Parts: Hose, Rigid 3mm D.6024272
",2,7171
75c29,"Black Hose, Rigid 3mm D. 29L / 23.2cmCatalog: Parts: Hose, Rigid 3mm D.4541953
",2,7171
75c34,"Black Hose, Rigid 3mm D. 34L / 27.2cmCatalog: Parts: Hose, Rigid 3mm D.Part Color Code Missing
",2,7171
30034,"Black Panel 3 x 5 Solar / Deltoid with ClipCatalog: Parts: PanelPart Color Code Missing
",2,7171
3710,"Black Plate 1 x 4Catalog: Parts: Plate371026
",8,7171
3022,"Black Plate 2 x 2Catalog: Parts: Plate302226
",5,7171
2420,"Black Plate 2 x 2 CornerCatalog: Parts: Plate242026
",14,7171
3020,"Black Plate 2 x 4Catalog: Parts: Plate302026
",2,7171
3795,"Black Plate 2 x 6Catalog: Parts: Plate379526
",4,7171
3031,"Black Plate 4 x 4Catalog: Parts: Plate303126 or 4243819
",6,7171
3032,"Black Plate 4 x 6Catalog: Parts: Plate303226
",6,7171
4085c,"Black Plate, Modified 1 x 1 with U Clip Thick (Vertical Grip)Catalog: Parts: Plate, Modified408526
",8,7171
3794a,"Black Plate, Modified 1 x 2 with 1 Stud without Groove (Jumper)Catalog: Parts: Plate, Modified379426
",1,7171
4073,"Black Plate, Round 1 x 1Catalog: Parts: Plate, Round614126
",6,7171
2654,"Black Plate, Round 2 x 2 with Rounded Bottom (Boat Stud)Catalog: Parts: Plate, Round4617551 or 265426 or 4278359
",2,7171
3039,"Black Slope 45 2 x 2Catalog: Parts: Slope303926
",7,7171
30165,"Black Slope, Curved 2 x 2 x 1 Double with 2 StudsCatalog: Parts: Slope, Curved4113231 or 4200023
",10,7171
3660,"Black Slope, Inverted 45 2 x 2Catalog: Parts: Slope, Inverted366026
",6,7171
3940b,"Black Support 2 x 2 x 2 Stand with Complete HoleCatalog: Parts: Support6106280 or 394026
",2,7171
32062,"Black Technic, Axle  2L NotchedCatalog: Parts: Technic, Axle3206226 or 4109810
",2,7171
4519,"Black Technic, Axle  3LCatalog: Parts: Technic, Axle451926
",2,7171
3700,"Black Technic, Brick 1 x 2 with HoleCatalog: Parts: Technic, Brick370026
",4,7171
2780,"Black Technic, Pin with Friction Ridges Lengthwise, Staggered, with or without Center SlotsCatalog: Parts: Technic, Pin6279875 or 4121715 or 278026
",4,7171
3709b,"Black Technic, Plate 2 x 4 with 3 HolesCatalog: Parts: Technic, Plate370926
",2,7171
3068b,"Black Tile 2 x 2 with GrooveCatalog: Parts: Tile306826
",4,7171
3068bpx8,"Black Tile 2 x 2 with Groove with SW White and Orange PatternCatalog: Parts: Tile, DecoratedPart Color Code Missing
",4,7171
2432,"Black Tile, Modified 1 x 2 with Bar HandleCatalog: Parts: Tile, Modified243226
",1,7171
2376,"Black Tile, Round 2 x 2 with Lifting Ring ThinCatalog: Parts: Tile, Round237626
",2,7171
2450,"Black Wedge, Plate 3 x 3 Cut CornerCatalog: Parts: Wedge, Plate245026 or 4227684
",4,7171
3941,"Blue Brick, Round 2 x 2 with Axle HoleCatalog: Parts: Brick, Round614323
",6,7171
3822px1,"Blue Door 1 x 3 x 1 Left with Silver and Red PatternCatalog: Parts: Door, DecoratedPart Color Code Missing
",1,7171
3821px1,"Blue Door 1 x 3 x 1 Right with Silver and Red PatternCatalog: Parts: Door, DecoratedPart Color Code Missing
",1,7171
4495a,"Blue Flag 4 x 1 Wave LeftCatalog: Parts: Flag449523
",1,7171
4865,"Blue Panel 1 x 2 x 1Catalog: Parts: Panel486523
",3,7171
3623,"Blue Plate 1 x 3Catalog: Parts: Plate362323
",2,7171
2420,"Blue Plate 2 x 2 CornerCatalog: Parts: Plate242023
",2,7171
6019,"Blue Plate, Modified 1 x 1 with U Clip (Horizontal Grip)Catalog: Parts: Plate, Modified601923
",4,7171
3794a,"Blue Plate, Modified 1 x 2 with 1 Stud without Groove (Jumper)Catalog: Parts: Plate, Modified379423
",2,7171
4286,"Blue Slope 33 3 x 1Catalog: Parts: Slope428623
",1,7171
3298px7,"Blue Slope 33 3 x 2 with SW Crisscross PatternCatalog: Parts: Slope, DecoratedPart Color Code Missing
",1,7171
3048c,"Blue Slope 45 2 x 1 Triple with Inside BarCatalog: Parts: Slope4542403 or 4174262
",2,7171
3660,"Blue Slope, Inverted 45 2 x 2Catalog: Parts: Slope, Inverted366023
",1,7171
4871,"Blue Slope, Inverted 45 4 x 2 Double with 2 x 2 CutoutCatalog: Parts: Slope, Inverted4656767 or 4189119
",1,7171
4859,"Blue Wedge, Plate 3 x 4 without Stud NotchesCatalog: Parts: Wedge, Plate4199394
",1,7171
71075,"Chrome Silver Brick, Round 1 x 1 d. 90 Degree Elbow - No Stud - Type 1Catalog: Parts: Brick, Round71076
",1,7171
30209,"Dark Gray Bracket 1 x 2 - 4 x 4 Round DishCatalog: Parts: BracketPart Color Code Missing
",2,7171
6222,"Dark Gray Brick, Round 4 x 4 with 4 Side Pin Holes and Center Axle HoleCatalog: Parts: Brick, Round4114075
",6,7171
4589,"Dark Gray Cone 1 x 1 without Top GrooveCatalog: Parts: Cone4125260
",2,7171
30360,"Dark Gray Cylinder 3 x 6 x 2 2/3 Horizontal - Round Connections Between Interior StudsCatalog: Parts: Cylinder4124487
",2,7171
3937,"Dark Gray Hinge Brick 1 x 2 BaseCatalog: Parts: Hinge4112234
",4,7171
30365,"Dark Gray Hinge Brick 1 x 2 Locking with 2 Fingers Vertical End, 9 TeethCatalog: Parts: Hinge4144501
",8,7171
30383,"Dark Gray Hinge Plate 1 x 2 Locking with 1 Finger On TopCatalog: Parts: Hinge4144572
",6,7171
30194,"Dark Gray Minifigure, Utensil Tool Circular Blade SawCatalog: Parts: Minifigure, Utensil4113834
",2,7171
6246c01(inv),"Dark Gray Minifigure, Utensil Tool Wheel, 6 on SprueCatalog: Parts: Minifigure, UtensilPart Color Code Missing
",2,7171
3849,"Dark Gray Minifigure, Weapon LanceCatalog: Parts: Minifigure, WeaponPart Color Code Missing
",3,7171
3460,"Dark Gray Plate 1 x 8Catalog: Parts: Plate346027
",4,7171
3020,"Dark Gray Plate 2 x 4Catalog: Parts: Plate4112232
",11,7171
6019,"Dark Gray Plate, Modified 1 x 1 with U Clip (Horizontal Grip)Catalog: Parts: Plate, ModifiedPart Color Code Missing
",8,7171
4032,"Dark Gray Plate, Round 2 x 2 with Axle HoleCatalog: Parts: Plate, Round4107763
",2,7171
2854,"Dark Gray Technic Engine Crankshaft CenterCatalog: Parts: Technic285427
",2,7171
32015,"Dark Gray Technic, Axle and Pin Connector Angled #5 - 112.5 degreesCatalog: Parts: Technic, Connector4106383
",2,7171
2431px2,"Dark Gray Tile 1 x 4 with Black, Silver, Copper Circuitry PatternCatalog: Parts: Tile, DecoratedPart Color Code Missing
",6,7171
