reference_number,color_and_brick,quantity,set_number
7899stk01," Sticker Sheet for Set 7899 - (55544/4290765)Catalog: Parts: Sticker Sheet4290765
",1,7899
30359b,"Black Bar 1 x 8 with Brick 1 x 2 Curved Top End (Axle Holder Inside Small End)Catalog: Parts: Bar4164067
",2,7899
54100c01(inv),"Black Boat, Hull Unitary 51 x 12 x 6 with Light Bluish Gray Top (54100 / 54101)Catalog: Parts: Boat4285331
",1,7899
3004,"Black Brick 1 x 2Catalog: Parts: Brick300426
",1,7899
4733,"Black Brick, Modified 1 x 1 with Studs on 4 SidesCatalog: Parts: Brick, Modified473326
",1,7899
3633,"Black Fence 1 x 4 x 1Catalog: Parts: Fence4187209
",2,7899
30055,"Black Fence 1 x 4 x 2 Spindled with 2 StudsCatalog: Parts: Fence3005526 or 4185652
",4,7899
30248,"Black Helicopter Sled Rails 12 x 6Catalog: Parts: Aircraft4546206 or 4116839
",1,7899
3938,"Black Hinge Brick 1 x 2 Top PlateCatalog: Parts: Hinge393826
",1,7899
30031,"Black Minifigure, Utensil HandlebarsCatalog: Parts: Minifigure, Utensil3003126
",1,7899
3962b,"Black Minifigure, Utensil Radio with Extended HandleCatalog: Parts: Minifigure, Utensil396226
",2,7899
3020,"Black Plate 2 x 4Catalog: Parts: Plate302026
",2,7899
3034,"Black Plate 2 x 8Catalog: Parts: Plate303426
",2,7899
4617,"Black Propeller 3 Blade 5.5 DiameterCatalog: Parts: Propeller4536184 or 461726
",1,7899
2479,"Black Propeller 4 Blade 5 Diameter with Rounded Ends and Open HubCatalog: Parts: Propeller247926
",1,7899
2555,"Black Tile, Modified 1 x 1 with ClipCatalog: Parts: Tile, Modified6030718 or 255526
",1,7899
3002,"Blue Brick 2 x 3Catalog: Parts: Brick300223
",4,7899
4079,"Blue Minifigure, Utensil Seat (Chair) 2 x 2Catalog: Parts: Minifigure, Utensil407923
",2,7899
3710,"Blue Plate 1 x 4Catalog: Parts: Plate371023
",1,7899
