reference_number,color_and_brick,quantity,set_number
4504stk01," Sticker Sheet for Set 4504 - (48980/4221406)Catalog: Parts: Sticker Sheet4221406
",1,4504
3455,"Black Arch 1 x 6Catalog: Parts: Arch345526
",1,4504
3001,"Black Brick 2 x 4Catalog: Parts: Brick300126
",27,4504
4733,"Black Brick, Modified 1 x 1 with Studs on 4 SidesCatalog: Parts: Brick, Modified473326
",3,4504
3062b,"Black Brick, Round 1 x 1 Open StudCatalog: Parts: Brick, Round306226
",3,4504
4740,"Black Dish 2 x 2 Inverted (Radar)Catalog: Parts: Dish474026
",2,4504
3937,"Black Hinge Brick 1 x 2 BaseCatalog: Parts: Hinge393726
",1,4504
30541,"Black Hinge Brick 1 x 2 Locking with 1 Finger Horizontal EndCatalog: Parts: Hinge6263485 or 4143751
",1,4504
30553,"Black Hinge Cylinder 1 x 2 Locking with 2 Fingers, 9 Teeth and Axle Hole on Ends with SlotsCatalog: Parts: Hinge4143372
",2,4504
30383,"Black Hinge Plate 1 x 2 Locking with 1 Finger On TopCatalog: Parts: Hinge6338799 or 3038326 or 4142992 or 4144575
",2,4504
30031,"Black Minifigure, Utensil HandlebarsCatalog: Parts: Minifigure, Utensil3003126
",1,4504
6246c01(inv),"Black Minifigure, Utensil Tool Wheel, 6 on SprueCatalog: Parts: Minifigure, Utensil4143199
",1,4504
3666,"Black Plate 1 x 6Catalog: Parts: Plate366626
",5,4504
4623a,"Black Plate, Modified 1 x 2 with Bar Arm Up (Horizontal Arm 6mm)Catalog: Parts: Plate, Modified462326
",6,4504
4032,"Black Plate, Round 2 x 2 with Axle HoleCatalog: Parts: Plate, Round403226
",1,4504
3039ps1,"Black Slope 45 2 x 2 with Screen with SW Trench Computer PatternCatalog: Parts: Slope, Decorated6032086 or 4215149
",1,4504
3713,"Black Technic BushCatalog: Parts: Technic6332148 or 6210506 or 4177421 or 659026
",1,4504
44,"Black Technic, Axle and Pin Connector Toggle Joint SmoothCatalog: Parts: Technic, Connector6322045 or 4660886
",1,4504
2991,"Black Technic, Brick 1 x 2 - 1 x 2 Angled with Bumper HolderCatalog: Parts: Technic, Brick4216378
",10,4504
32064c,"Black Technic, Brick 1 x 2 with Axle Hole (+ Shape) and Inside Side SupportsCatalog: Parts: Technic, BrickPart Color Code Missing
",6,4504
3701,"Black Technic, Brick 1 x 4 with HolesCatalog: Parts: Technic, Brick370126
",1,4504
3702,"Black Technic, Brick 1 x 8 with HolesCatalog: Parts: Technic, Brick370226
",2,4504
2958,"Black Technic, Disk 3 x 3Catalog: Parts: Technic, Disk4218868
",10,4504
3709b,"Black Technic, Plate 2 x 4 with 3 HolesCatalog: Parts: Technic, Plate370926
",1,4504
3069bpx32,"Black Tile 1 x 2 with Groove with Silver, Orange, Yellow Circuitry & Display PatternCatalog: Parts: Tile, DecoratedPart Color Code Missing
",1,4504
2431,"Black Tile 1 x 4Catalog: Parts: Tile243126
",1,4504
6179,"Black Tile, Modified 4 x 4 with Studs on EdgeCatalog: Parts: Tile, Modified617926
",1,4504
4150ps3,"Black Tile, Round 2 x 2 with Dejarik Hologameboard PatternCatalog: Parts: Tile, Round, DecoratedPart Color Code Missing
",1,4504
2376,"Black Tile, Round 2 x 2 with Lifting Ring ThinCatalog: Parts: Tile, Round237626
",1,4504
3680c02(inv),"Black Turntable 2 x 2 Plate with Light Bluish Gray Top (3680 / 3679)Catalog: Parts: Turntable4221774
",3,4504
30526,"Blue Brick, Modified 1 x 2 with PinsCatalog: Parts: Brick, Modified4158266 or 4522302
",4,4504
43093,"Blue Technic, Axle  1L with Pin with Friction Ridges LengthwiseCatalog: Parts: Technic, Axle4309323 or 4206482
",10,4504
4274,"Blue Technic, Pin 1/2Catalog: Parts: Technic, Pin4143005
",6,4504
x205pb01,"Dark Blue Minifigure, Headgear Hood Fur-lined with Tan and Brown Fur PatternCatalog: Parts: Minifigure, Headgear4221770 or 4552592
",1,4504
44728,"Dark Bluish Gray Bracket 1 x 2 - 2 x 2Catalog: Parts: Bracket6117972 or 6048854 or 4210893 or 4277928
",6,4504
3010,"Dark Bluish Gray Brick 1 x 4Catalog: Parts: Brick4211103
",6,4504
3008,"Dark Bluish Gray Brick 1 x 8Catalog: Parts: Brick4211099
",8,4504
4589,"Dark Bluish Gray Cone 1 x 1 without Top GrooveCatalog: Parts: Cone4518486 or 4529240 or 4210647
",4,4504
43898,"Dark Bluish Gray Dish 3 x 3 Inverted (Radar)Catalog: Parts: Dish4210865
",1,4504
44375a,"Dark Bluish Gray Dish 6 x 6 Inverted (Radar) - Hollow StudsCatalog: Parts: Dish4210880
",1,4504
3822,"Dark Bluish Gray Door 1 x 3 x 1 LeftCatalog: Parts: Door4219205
",1,4504
3821,"Dark Bluish Gray Door 1 x 3 x 1 RightCatalog: Parts: Door4219204
",1,4504
30304,"Dark Bluish Gray Minifigure, Utensil Binoculars SpaceCatalog: Parts: Minifigure, Utensil4211124
",1,4504
30162,"Dark Bluish Gray Minifigure, Utensil Binoculars TownCatalog: Parts: Minifigure, Utensil4587887 or 4211051
",2,4504
30154,"Dark Bluish Gray Minifigure, Utensil Sextant / QuadrantCatalog: Parts: Minifigure, Utensil6269999 or 4217675
",2,4504
3023,"Dark Bluish Gray Plate 1 x 2Catalog: Parts: Plate4211063
",2,4504
3710,"Dark Bluish Gray Plate 1 x 4Catalog: Parts: Plate4211001
",12,4504
3460,"Dark Bluish Gray Plate 1 x 8Catalog: Parts: Plate4210998
",4,4504
2420,"Dark Bluish Gray Plate 2 x 2 CornerCatalog: Parts: Plate4210635
",11,4504
3021,"Dark Bluish Gray Plate 2 x 3Catalog: Parts: Plate4211043
",33,4504
3031,"Dark Bluish Gray Plate 4 x 4Catalog: Parts: Plate4211089 or 4243831
",16,4504
