reference_number,color_and_brick,quantity,set_number
3957,"Black Antenna 4H - Round TopCatalog: Parts: Antenna395726
",5,6267
4318,"Black Boat, Mast 2 x 2 x 9 2/3 Bar with Slot on Top and 2 Finger Hinge on Two SidesCatalog: Parts: BoatPart Color Code Missing
",1,6267
3004,"Black Brick 1 x 2Catalog: Parts: Brick300426
",6,6267
3009,"Black Brick 1 x 6Catalog: Parts: Brick300926
",1,6267
3008,"Black Brick 1 x 8Catalog: Parts: Brick300826
",2,6267
2357,"Black Brick 2 x 2 CornerCatalog: Parts: Brick235726
",1,6267
3062b,"Black Brick, Round 1 x 1 Open StudCatalog: Parts: Brick, Round306226
",6,6267
4319,"Black Hinge Bar 8L with 3 Fingers and Open End StudCatalog: Parts: HingePart Color Code Missing
",1,6267
3959,"Black Minifigure, Utensil Space Gun / TorchCatalog: Parts: Minifigure, Utensil395926 or 4254942
",1,6267
3024,"Black Plate 1 x 1Catalog: Parts: Plate302426
",1,6267
3023,"Black Plate 1 x 2Catalog: Parts: Plate302326
",4,6267
3020,"Black Plate 2 x 4Catalog: Parts: Plate302026
",2,6267
3027,"Black Plate 6 x 16Catalog: Parts: Plate302726
",1,6267
3026,"Black Plate 6 x 24Catalog: Parts: PlatePart Color Code Missing
",1,6267
4600,"Black Plate, Modified 2 x 2 with Wheels HolderCatalog: Parts: Plate, Modified6371406 or 460026
",2,6267
3680c01(inv),"Black Turntable 2 x 2 Plate with Light Gray Top (3680 / 3679)Catalog: Parts: TurntablePart Color Code Missing
",1,6267
3857,"Blue Baseplate 16 x 32Catalog: Parts: Baseplate4226002
",1,6267
4286,"Blue Slope 33 3 x 1Catalog: Parts: Slope428623
",2,6267
2551,"Brown Boat, 14 x 5 x 2 with Oarlocks and 2 Hollow Inside StudsCatalog: Parts: BoatPart Color Code Missing
",1,6267
2489,"Brown Container, Barrel 2 x 2 x 2Catalog: Parts: Container248925
",1,6267
2554,"Brown Door 1 x 3 x 6 Curved TopCatalog: Parts: DoorPart Color Code Missing
",2,6267
2561,"Brown Minifigure, Weapon Gun, Pirate Flintlock MusketCatalog: Parts: Minifigure, Weapon4188174
",3,6267
2562,"Brown Minifigure, Weapon Gun, Pirate Flintlock PistolCatalog: Parts: Minifigure, WeaponPart Color Code Missing
",1,6267
2563,"Brown Plant, Tree Palm BaseCatalog: Parts: Plant, TreePart Color Code Missing
",1,6267
2536b,"Brown Plant, Tree Palm Trunk - Short Connector, no Axle HoleCatalog: Parts: Plant, TreePart Color Code Missing
",6,6267
4624,"Brown Wheel  8mm D. x 6mmCatalog: Parts: WheelPart Color Code Missing
",4,6267
4611,"Dark Gray Door 1 x 6 x 7 BarredCatalog: Parts: DoorPart Color Code Missing
",1,6267
