reference_number,color_and_brick,quantity,set_number
3957,"Black Antenna 4H - Round TopCatalog: Parts: Antenna395726
",2,9376
3308,"Black Arch 1 x 8 x 2Catalog: Parts: Arch4159141 or 4218982
",4,9376
6108,"Black Arch 1 x 12 x 3Catalog: Parts: Arch610826
",2,9376
3004,"Black Brick 1 x 2Catalog: Parts: Brick300426
",2,9376
3010,"Black Brick 1 x 4Catalog: Parts: Brick301026
",6,9376
3008,"Black Brick 1 x 8Catalog: Parts: Brick300826
",4,9376
2465,"Black Brick 1 x 16Catalog: Parts: Brick246526
",2,9376
3003,"Black Brick 2 x 2Catalog: Parts: Brick300326
",12,9376
3001,"Black Brick 2 x 4Catalog: Parts: Brick300126
",8,9376
3007,"Black Brick 2 x 8Catalog: Parts: Brick6037390 or 300726
",4,9376
6072,"Black Castle Turret Top 7 x 7 CornerCatalog: Parts: RoofPart Color Code Missing
",4,9376
4071,"Black Door, Frame 2 x 6 x 7Catalog: Parts: Door, FramePart Color Code Missing
",2,9376
4493c01pb02,"Black Horse with Black Eyes Circled with White, Brown Bridle PatternCatalog: Parts: Animal, Land4225611
",2,9376
3849,"Black Minifigure, Weapon LanceCatalog: Parts: Minifigure, Weapon6345264 or 384926
",2,9376
4497,"Black Minifigure, Weapon Pike / Spear - Round EndCatalog: Parts: Minifigure, Weapon449726
",2,9376
4444pb04,"Black Panel 2 x 5 x 6 Wall with Window with Window Stones and 2 Columns PatternCatalog: Parts: Panel, Decorated82339
",4,9376
6055,"Black Panel 6 x 6 x 6 Corner with WindowCatalog: Parts: PanelPart Color Code Missing
",4,9376
30277,"Black Vehicle, Base 2 x 8 x 1 1/3Catalog: Parts: Vehicle, BasePart Color Code Missing
",2,9376
4491b,"Blue Horse Saddle with Two ClipsCatalog: Parts: Animal, AccessoryPart Color Code Missing
",2,9376
3004,"Brown Brick 1 x 2Catalog: Parts: Brick300425
",2,9376
30139,"Brown Container, Barrel 4 x 4 x 3.5Catalog: Parts: ContainerPart Color Code Missing
",2,9376
4738a,"Brown Container, Treasure Chest Bottom - Slots in BackCatalog: Parts: ContainerPart Color Code Missing
",2,9376
4739a,"Brown Container, Treasure Chest Lid - Thick HingeCatalog: Parts: ContainerPart Color Code Missing
",2,9376
2554,"Brown Door 1 x 3 x 6 Curved TopCatalog: Parts: DoorPart Color Code Missing
",2,9376
2400,"Brown Door 1 x 5 x 10 Curved TopCatalog: Parts: DoorPart Color Code Missing
",2,9376
4493c01pb01,"Brown Horse with Black Eyes, Red Bridle, Black Mane PatternCatalog: Parts: Animal, LandPart Color Code Missing
",2,9376
4332,"Brown Minifigure, Utensil BroomCatalog: Parts: Minifigure, Utensil4159283
",2,9376
4497,"Brown Minifigure, Weapon Pike / Spear - Round EndCatalog: Parts: Minifigure, WeaponPart Color Code Missing
",2,9376
2470,"Brown Wheel Wagon Small (27mm D.)Catalog: Parts: WheelPart Color Code Missing
",8,9376
70501c01(inv),"Chrome Gold Minifigure, Utensil Coins on Sprue (10, 20, 30, 40) Type 1Catalog: Parts: Minifigure, Utensil70501
",2,9376
59,"Chrome Silver Minifigure, Weapon Sword, Greatsword RoundCatalog: Parts: Minifigure, Weapon4649842 or 71014
",2,9376
30104,"Dark Gray Chain 21 Links (16-17L)Catalog: Parts: Chain4106728
",2,9376
4611,"Dark Gray Door 1 x 6 x 7 BarredCatalog: Parts: DoorPart Color Code Missing
",2,9376
30102,"Dark Gray Door 2 x 5 x 5 Swivel, Flat BaseCatalog: Parts: DoorPart Color Code Missing
",2,9376
30101,"Dark Gray Door, Frame 2 x 8 x 6 Swivel with Bottom NotchesCatalog: Parts: Door, FramePart Color Code Missing
",2,9376
2570,"Dark Gray Minifigure, Weapon CrossbowCatalog: Parts: Minifigure, Weapon257027
",2,9376
6123,"Dark Gray Minifigure, Weapon Halberd / Axe ElaborateCatalog: Parts: Minifigure, WeaponPart Color Code Missing
",4,9376
3849,"Dark Gray Minifigure, Weapon LanceCatalog: Parts: Minifigure, WeaponPart Color Code Missing
",2,9376
3847,"Dark Gray Minifigure, Weapon Sword, ShortswordCatalog: Parts: Minifigure, Weapon384727 or 4106926
",2,9376
30100,"Dark Gray Panel 3 x 6 x 6 Double Wall with WindowCatalog: Parts: PanelPart Color Code Missing
",4,9376
