reference_number,color_and_brick,quantity,set_number
4070,"Black Brick, Modified 1 x 1 with HeadlightCatalog: Parts: Brick, Modified407026
",2,7103
4531,"Black Hinge Tile 1 x 2 1/2 with 2 Fingers on TopCatalog: Parts: HingePart Color Code Missing
",1,7103
30031,"Black Minifigure, Utensil HandlebarsCatalog: Parts: Minifigure, Utensil3003126
",1,7103
6157,"Black Plate, Modified 2 x 2 with Wheels Holder Wide and HoleCatalog: Parts: Plate, Modified615726
",1,7103
32474,"Black Technic Ball JointCatalog: Parts: Technic4143539 or 4290713
",2,7103
32073,"Black Technic, Axle  5LCatalog: Parts: Technic, Axle4114740
",1,7103
3706,"Black Technic, Axle  6LCatalog: Parts: Technic, Axle370626
",1,7103
2412b,"Black Tile, Modified 1 x 2 Grille with Bottom Groove / LipCatalog: Parts: Tile, Modified241226
",2,7103
4274,"Blue Technic, Pin 1/2Catalog: Parts: Technic, Pin4143005
",1,7103
3794a,"Brown Plate, Modified 1 x 2 with 1 Stud without Groove (Jumper)Catalog: Parts: Plate, Modified4164445
",1,7103
32013,"Brown Technic, Axle and Pin Connector Angled #1Catalog: Parts: Technic, Connector4141431
",1,7103
32015,"Brown Technic, Axle and Pin Connector Angled #5 - 112.5 degreesCatalog: Parts: Technic, Connector4162505
",2,7103
x156,"Chrome Silver Minifigure, Weapon Lightsaber Hilt AngledCatalog: Parts: Minifigure, Weapon4541966
",1,7103
64567,"Chrome Silver Minifigure, Weapon Lightsaber Hilt StraightCatalog: Parts: Minifigure, Weapon4124050
",1,7103
30374,"Dark Gray Bar   4L (Lightsaber Blade / Wand)Catalog: Parts: BarPart Color Code Missing
",1,7103
30000,"Dark Gray Brick, Modified 2 x 2 with Pins and Axle HoleCatalog: Parts: Brick, Modified3000027
",1,7103
4275b," Dark Gray Hinge Plate 1 x 2 with 3 Fingers - Hollow StudsCatalog: Parts: HingePart Color Code Missing
",1,7103
3023,"Dark Gray Plate 1 x 2Catalog: Parts: Plate4111983
",3,7103
3710,"Dark Gray Plate 1 x 4Catalog: Parts: Plate371027
",1,7103
3022,"Dark Gray Plate 2 x 2Catalog: Parts: Plate4114003
",2,7103
6019,"Dark Gray Plate, Modified 1 x 1 with U Clip (Horizontal Grip)Catalog: Parts: Plate, ModifiedPart Color Code Missing
",5,7103
2540,"Dark Gray Plate, Modified 1 x 2 with Bar Handle on Side - Free EndsCatalog: Parts: Plate, Modified4140589
",2,7103
32530,"Dark Gray Technic, Pin Connector Plate 1 x 2 x 1 2/3 with 2 Holes (Double on Top)Catalog: Parts: Technic, Connector4157827
",2,7103
4859,"Dark Gray Wedge, Plate 3 x 4 without Stud NotchesCatalog: Parts: Wedge, Plate4199401
",1,7103
3941,"Dark Red Brick, Round 2 x 2 with Axle HoleCatalog: Parts: Brick, Round4163465 or 6052785
",2,7103
3839b,"Dark Red Plate, Modified 1 x 2 with Bar Handles - Flat Ends, Low AttachmentCatalog: Parts: Plate, Modified4165435
",1,7103
75535,"Dark Red Technic, Pin Connector Round 2L without Slot (Pin Joiner Round)Catalog: Parts: Technic, Connector4167805
",1,7103
30377,"Light Gray Arm Mechanical, Battle DroidCatalog: Parts: Minifigure, Body PartPart Color Code Missing
",2,7103
3034,"Light Gray Plate 2 x 8Catalog: Parts: Plate303402
",1,7103
3039,"Light Gray Slope 45 2 x 2Catalog: Parts: Slope303902
",2,7103
42023,"Light Gray Slope, Curved 6 x 1 InvertedCatalog: Parts: Slope, Curved4160404
",2,7103
3660,"Light Gray Slope, Inverted 45 2 x 2Catalog: Parts: Slope, Inverted366002
",2,7103
2907,"Light Gray Technic Ball with GroovesCatalog: Parts: TechnicPart Color Code Missing
",1,7103
2432,"Light Gray Tile, Modified 1 x 2 with Bar HandleCatalog: Parts: Tile, Modified243202
",3,7103
32062,"Red Technic, Axle  2L NotchedCatalog: Parts: Technic, Axle4142865
",2,7103
3062b,"Sand Blue Brick, Round 1 x 1 Open StudCatalog: Parts: Brick, Round4165656
",1,7103
4589,"Sand Blue Cone 1 x 1 without Top GrooveCatalog: Parts: ConePart Color Code Missing
",1,7103
3846,"Sand Blue Minifigure, Shield TriangularCatalog: Parts: Minifigure, Shield4165657
",2,7103
3794a,"Sand Blue Plate, Modified 1 x 2 with 1 Stud without Groove (Jumper)Catalog: Parts: Plate, Modified4165658
",1,7103
6091,"Sand Blue Slope, Curved 2 x 1 x 1 1/3 with Recessed StudCatalog: Parts: Slope, Curved4165660
",2,7103
30602,"Sand Blue Slope, Curved 2 x 2 LipCatalog: Parts: Slope, Curved6329372 or 4165661
",1,7103
32530,"Sand Blue Technic, Pin Connector Plate 1 x 2 x 1 2/3 with 2 Holes (Double on Top)Catalog: Parts: Technic, Connector4165663
",1,7103
41748pb003,"Sand Blue Wedge 6 x 2 Left with SW Speeder PatternCatalog: Parts: Wedge, DecoratedPart Color Code Missing
",1,7103
41747pb003,"Sand Blue Wedge 6 x 2 Right with SW Speeder PatternCatalog: Parts: Wedge, DecoratedPart Color Code Missing
",1,7103
2540,"Sand Red Plate, Modified 1 x 2 with Bar Handle on Side - Free EndsCatalog: Parts: Plate, ModifiedPart Color Code Missing
",2,7103
3031,"Tan Plate 4 x 4Catalog: Parts: Plate4113919 or 4243824
",1,7103
32174,"Tan Technic, Axle Connector 2 x 3 with Ball Joint Socket, Open SidesCatalog: Parts: Technic, Connector4119329
",1,7103
30374,"Trans-Neon Green Bar   4L (Lightsaber Blade / Wand)Catalog: Parts: Bar6170186 or 4124054
",1,7103
30374,"Trans-Red Bar   4L (Lightsaber Blade / Wand)Catalog: Parts: Bar6167284 or 4124108
",1,7103
3022,"Yellow Plate 2 x 2Catalog: Parts: Plate4613978 or 302224
",1,7103
sw0060(inv)," Count DookuCatalog: Minifigures: Star Wars: Star Wars Episode 2
",1,7103
sw0051(inv)," YodaCatalog: Minifigures: Star Wars
",1,7103
4274,"Blue Technic, Pin 1/2Catalog: Parts: Technic, Pin4143005
",1,7103
