reference_number,color_and_brick,quantity,set_number
2436,"Black Bracket 1 x 2 - 1 x 4Catalog: Parts: Bracket243626 or 4282746
",4,7659
6134,"Black Hinge Brick 2 x 2 Top PlateCatalog: Parts: Hinge4124096
",1,7659
57899,"Black Minifigure, Weapon Gun, Blaster Long (SW)Catalog: Parts: Minifigure, Weapon4498712
",2,7659
58247,"Black Minifigure, Weapon Gun, Blaster Short (SW)Catalog: Parts: Minifigure, Weapon4498713
",2,7659
57029c01,"Black Projectile Launcher, Cannon, Flat BottomCatalog: Parts: Projectile Launcher4518409 or 4499434
",2,7659
3705,"Black Technic, Axle  4LCatalog: Parts: Technic, Axle370526
",9,7659
3706,"Black Technic, Axle  6LCatalog: Parts: Technic, Axle370626
",1,7659
32192,"Black Technic, Axle and Pin Connector Angled #4 - 135 degreesCatalog: Parts: Technic, Connector6262897 or 3219226 or 4121610
",2,7659
45590,"Black Technic, Axle Connector Double - Flexible RubberCatalog: Parts: Technic, Connector4198367
",2,7659
32270,"Black Technic, Gear 12 Tooth Double BevelCatalog: Parts: Technic, Gear4177431
",1,7659
4716,"Black Technic, Gear Worm Screw, LongCatalog: Parts: Technic, Gear6037533 or 471626
",1,7659
6558,"Black Technic, Pin 3L with Friction Ridges LengthwiseCatalog: Parts: Technic, Pin655826
",4,7659
2780,"Black Technic, Pin with Friction Ridges Lengthwise, Staggered, with or without Center SlotsCatalog: Parts: Technic, Pin6279875 or 4121715 or 278026
",10,7659
3069bps2,"Black Tile 1 x 2 with Groove with Avionics SW Copper, Red & Silver PatternCatalog: Parts: Tile, Decorated6021512 or 4162982
",1,7659
4079,"Blue Minifigure, Utensil Seat (Chair) 2 x 2Catalog: Parts: Minifigure, Utensil407923
",2,7659
2420,"Blue Plate 2 x 2 CornerCatalog: Parts: Plate242023
",4,7659
43093,"Blue Technic, Axle  1L with Pin with Friction Ridges LengthwiseCatalog: Parts: Technic, Axle4309323 or 4206482
",4,7659
4274,"Blue Technic, Pin 1/2Catalog: Parts: Technic, Pin4143005
",4,7659
2454,"Dark Bluish Gray Brick 1 x 2 x 5 - Blocked Open Studs or Hollow StudsCatalog: Parts: Brick4211075
",3,7659
47905,"Dark Bluish Gray Brick, Modified 1 x 1 with Studs on 2 Sides, OppositeCatalog: Parts: Brick, Modified4213574
",6,7659
3062b,"Dark Bluish Gray Brick, Round 1 x 1 Open StudCatalog: Parts: Brick, Round4211090
",7,7659
3937,"Dark Bluish Gray Hinge Brick 1 x 2 BaseCatalog: Parts: Hinge4211066
",1,7659
3666,"Dark Bluish Gray Plate 1 x 6Catalog: Parts: Plate4211056
",4,7659
3021,"Dark Bluish Gray Plate 2 x 3Catalog: Parts: Plate4211043
",3,7659
3035,"Dark Bluish Gray Plate 4 x 8Catalog: Parts: Plate4211061
",2,7659
3794a,"Dark Bluish Gray Plate, Modified 1 x 2 with 1 Stud without Groove (Jumper)Catalog: Parts: Plate, Modified4211119
",9,7659
30165,"Dark Bluish Gray Slope, Curved 2 x 2 x 1 Double with 2 StudsCatalog: Parts: Slope, Curved4211093
",2,7659
42003,"Dark Bluish Gray Technic, Axle and Pin Connector Perpendicular 3L with 2 Pin HolesCatalog: Parts: Technic, Connector6273715 or 4210857
",4,7659
32064b,"Dark Bluish Gray Technic, Brick 1 x 2 with Axle Hole (x Shape)Catalog: Parts: Technic, Brick4210935
",4,7659
32250,"Dark Bluish Gray Technic, Liftarm, Modified L-Shape Quarter Ellipse Thin 3 x 5Catalog: Parts: Technic, Liftarm6327165 or 32250199 or 4239896
",2,7659
30350c,"Dark Bluish Gray Tile, Modified 2 x 3 with 2 U ClipsCatalog: Parts: Tile, Modified4227517
",1,7659
44728,"Light Bluish Gray Bracket 1 x 2 - 2 x 2Catalog: Parts: Bracket6117967 or 6009014 or 4211811 or 4277927
",5,7659
3754,"Light Bluish Gray Brick 1 x 6 x 5Catalog: Parts: Brick4211587
",1,7659
3003,"Light Bluish Gray Brick 2 x 2Catalog: Parts: Brick4211387
",2,7659
30237,"Light Bluish Gray Brick, Modified 1 x 2 with Clip (Vertical Grip)Catalog: Parts: Brick, Modified4641682 or 4211598
",2,7659
30592,"Light Bluish Gray Brick, Modified 2 x 2 with Top Pin and 1 x 2 Side PlatesCatalog: Parts: Brick, Modified6301425 or 4211666
",2,7659
75c03,"Light Bluish Gray Hose, Rigid 3mm D.  3L / 2.4cmCatalog: Parts: Hose, Rigid 3mm D.4502039
",2,7659
3710,"Light Bluish Gray Plate 1 x 4Catalog: Parts: Plate4211445
",16,7659
3460,"Light Bluish Gray Plate 1 x 8Catalog: Parts: Plate4211425
",3,7659
3035,"Light Bluish Gray Plate 4 x 8Catalog: Parts: Plate4211407
",3,7659
3028,"Light Bluish Gray Plate 6 x 12Catalog: Parts: Plate4211400
",2,7659
6019,"Light Bluish Gray Plate, Modified 1 x 1 with U Clip (Horizontal Grip)Catalog: Parts: Plate, Modified4211518
",12,7659
48336,"Light Bluish Gray Plate, Modified 1 x 2 with Bar Handle on Side - Closed EndsCatalog: Parts: Plate, Modified4244627
",1,7659
4032,"Light Bluish Gray Plate, Round 2 x 2 with Axle HoleCatalog: Parts: Plate, Round4211475
",3,7659
3040,"Light Bluish Gray Slope 45 2 x 1Catalog: Parts: Slope4211614
",6,7659
3045,"Light Bluish Gray Slope 45 2 x 2 Double Convex CornerCatalog: Parts: Slope4216250
",2,7659
2449,"Light Bluish Gray Slope, Inverted 75 2 x 1 x 3Catalog: Parts: Slope, Inverted4216248
",1,7659
3713,"Light Bluish Gray Technic BushCatalog: Parts: Technic6275844 or 4211622
",3,7659
6553,"Light Bluish Gray Technic, Axle  2L with Reverser Handle Axle ConnectorCatalog: Parts: Technic, Axle4211536
",3,7659
4519,"Light Bluish Gray Technic, Axle  3LCatalog: Parts: Technic, Axle4211815
",7,7659
32073,"Light Bluish Gray Technic, Axle  5LCatalog: Parts: Technic, Axle32073194 or 4211639
",4,7659
6538b,"Light Bluish Gray Technic, Axle Connector 2L (Ridged with x Hole x Orientation)Catalog: Parts: Technic, Connector4211543
",1,7659
6541,"Light Bluish Gray Technic, Brick 1 x 1 with HoleCatalog: Parts: Technic, Brick4211535
",8,7659
32000,"Light Bluish Gray Technic, Brick 1 x 2 with HolesCatalog: Parts: Technic, Brick4211541
",4,7659
3702,"Light Bluish Gray Technic, Brick 1 x 8 with HolesCatalog: Parts: Technic, Brick4211442
",1,7659
3647,"Light Bluish Gray Technic, Gear 8 ToothCatalog: Parts: Technic, Gear3647194 or 4211432
",1,7659
32269,"Light Bluish Gray Technic, Gear 20 Tooth Double BevelCatalog: Parts: Technic, Gear32269194 or 4211635
",2,7659
3650b,"Light Bluish Gray Technic, Gear 24 Tooth Crown (2nd Version - Reinforced)Catalog: Parts: Technic, Gear4211434
",1,7659
32498,"Light Bluish Gray Technic, Gear 36 Tooth Double BevelCatalog: Parts: Technic, Gear4502077
",2,7659
32140,"Light Bluish Gray Technic, Liftarm, Modified Bent Thick L-Shape 2 x 4Catalog: Parts: Technic, Liftarm6271831 or 4211610
",2,7659
2905,"Light Bluish Gray Technic, Liftarm, Modified Triangle ThinCatalog: Parts: Technic, Liftarm4211653
",2,7659
2431,"Light Bluish Gray Tile 1 x 4Catalog: Parts: Tile2431194 or 4211356
",4,7659
32059,"Light Bluish Gray Wedge, Plate 4 x 6 Cut CornersCatalog: Parts: Wedge, Plate4211725
",2,7659
57028c01,"Red Projectile Arrow, Liftarm Shaft with Hollow Black Rubber EndCatalog: Parts: Projectile Launcher4504409
",2,7659
32062,"Red Technic, Axle  2L NotchedCatalog: Parts: Technic, Axle4142865
",5,7659
41677,"Red Technic, Liftarm Thin 1 x 2 - Axle HolesCatalog: Parts: Technic, Liftarm6371442 or 4186678
",2,7659
