reference_number,color_and_brick,quantity,set_number
8666stk01," Sticker Sheet for Set 8666 - (54395/4284043)Catalog: Parts: Sticker Sheet4284043
",1,8666
6231,"Black Panel 1 x 1 x 1 CornerCatalog: Parts: Panel4106347
",2,8666
3024,"Black Plate 1 x 1Catalog: Parts: Plate302426
",4,8666
3023,"Black Plate 1 x 2Catalog: Parts: Plate302326
",1,8666
3021,"Black Plate 2 x 3Catalog: Parts: Plate302126
",1,8666
3020,"Black Plate 2 x 4Catalog: Parts: Plate302026
",1,8666
3795,"Black Plate 2 x 6Catalog: Parts: Plate379526
",1,8666
6157,"Black Plate, Modified 2 x 2 with Wheels Holder Wide and HoleCatalog: Parts: Plate, Modified615726
",2,8666
44675,"Black Slope, Curved 2 x 2 with 3 Side Ports RecessedCatalog: Parts: Slope, Curved6021752 or 4185272
",1,8666
50950,"Black Slope, Curved 3 x 1Catalog: Parts: Slope, Curved4251161
",8,8666
50945,"Black Tire 14mm D. x 6mm Solid SmoothCatalog: Parts: Tire & Tread4246901
",4,8666
50944pb01,"Black Wheel 11mm D. x 6mm with 5 Spokes with Silver Outline PatternCatalog: Parts: Wheel6022424 or 4248538
",4,8666
3031,"Dark Bluish Gray Plate 4 x 4Catalog: Parts: Plate4211089 or 4243831
",1,8666
4073,"Dark Bluish Gray Plate, Round 1 x 1Catalog: Parts: Plate, Round4210633
",2,8666
2412b,"Metallic Silver Tile, Modified 1 x 2 Grille with Bottom Groove / LipCatalog: Parts: Tile, Modified6051422 or 51815301 or 4249040
",1,8666
3023,"Red Plate 1 x 2Catalog: Parts: Plate302321
",1,8666
3024,"Trans-Red Plate 1 x 1Catalog: Parts: Plate6252042 or 3000841
",2,8666
2436,"Yellow Bracket 1 x 2 - 1 x 4Catalog: Parts: Bracket243624 or 4282745
",4,8666
3001,"Yellow Brick 2 x 4Catalog: Parts: Brick300124
",2,8666
4070,"Yellow Brick, Modified 1 x 1 with HeadlightCatalog: Parts: Brick, Modified407024
",2,8666
2420,"Yellow Plate 2 x 2 CornerCatalog: Parts: Plate242024
",4,8666
50949,"Yellow Plate, Modified 1 x 2 with Racers Car GrilleCatalog: Parts: Plate, Modified4248536
",1,8666
54200,"Yellow Slope 30 1 x 1 x 2/3Catalog: Parts: Slope4283095 or 4504381
",6,8666
2431,"Yellow Tile 1 x 4Catalog: Parts: Tile243124
",3,8666
3788,"Yellow Vehicle, Mudguard 2 x 4 with Arch StuddedCatalog: Parts: Vehicle, Mudguard378824
",1,8666
44674,"Yellow Vehicle, Mudguard 2 x 4 with Headlights OverhangCatalog: Parts: Vehicle, Mudguard6327696 or 6172120 or 4283123
",1,8666
4073,"Dark Bluish Gray Plate, Round 1 x 1Catalog: Parts: Plate, Round4210633
",1,8666
BA166pb03,"Black Stickered Assembly 4 x 3 x 1 with 'NITRO GRAFIX' on Yellow Background Pattern (Sticker) - Set 8666 - 4 Slope, Curved 3 x 1Catalog: Parts: Stickered AssemblyPart Color Code Missing
",1,8666
BA166pb02,"Black Stickered Assembly 4 x 3 x 1 with 'OXIDE' and 'KYOTO' on Red and Yellow Background Pattern (Sticker) - Set 8666 - 4 Slope, Curved 3 x 1Catalog: Parts: Stickered AssemblyPart Color Code Missing
",1,8666
50944pb01c01(inv),"Black Wheel 11mm D. x 6mm with 5 Spokes with Silver Outline Pattern with Black Tire 14mm D. x 6mm Solid Smooth (50944pb01 / 50945)Catalog: Parts: Wheel & Tire AssemblyPart Color Code Missing
",4,8666
3001pb104L,"Yellow Brick 2 x 4 with Light Purple Flames and 'NITRO' on Yellow Background Pattern Model Left Side (Sticker) - Set 8666Catalog: Parts: Brick, DecoratedPart Color Code Missing
",1,8666
3001pb104R,"Yellow Brick 2 x 4 with Light Purple Flames and 'NITRO' on Yellow Background Pattern Model Right Side (Sticker) - Set 8666Catalog: Parts: Brick, DecoratedPart Color Code Missing
",1,8666
54200pb074L,"Yellow Slope 30 1 x 1 x 2/3 with Fender / Bumper End on Yellow Background Pattern Model Left Side (Sticker) - Set 8666Catalog: Parts: Slope, DecoratedPart Color Code Missing
",1,8666
54200pb074R,"Yellow Slope 30 1 x 1 x 2/3 with Fender / Bumper End on Yellow Background Pattern Model Right Side (Sticker) - Set 8666Catalog: Parts: Slope, DecoratedPart Color Code Missing
",1,8666
BA136pb03,"Yellow Stickered Assembly 2 x 1 x 2/3 with 'NITRO' on Yellow Background Pattern (Sticker) - Set 8666 - 2 Slope 30 1 x 1 x 2/3Catalog: Parts: Stickered AssemblyPart Color Code Missing
",1,8666
2431pb143L,"Yellow Tile 1 x 4 with 'Kyoto Oxide' and Intake Pattern Model Left Side (Sticker) - Set 8666Catalog: Parts: Tile, DecoratedPart Color Code Missing
",1,8666
2431pb143R,"Yellow Tile 1 x 4 with 'Kyoto Oxide' and Intake Pattern Model Right Side (Sticker) - Set 8666Catalog: Parts: Tile, DecoratedPart Color Code Missing
",1,8666
2431pb140,"Yellow Tile 1 x 4 with Yellow and Light Purple Checkered Pattern (Sticker) - Set 8666Catalog: Parts: Tile, DecoratedPart Color Code Missing
",1,8666
44674pb14,"Yellow Vehicle, Mudguard 2 x 4 with Headlights Overhang with Light Purple Flame on Yellow Background Pattern on Both Sides (Stickers) - Set 8666Catalog: Parts: Vehicle, Mudguard, DecoratedPart Color Code Missing
",1,8666
