reference_number,color_and_brick,quantity,set_number
30374,"Black Bar   4L (Lightsaber Blade / Wand)Catalog: Parts: Bar6116604 or 3037426 or 4140303
",4,6206
3938,"Black Hinge Brick 1 x 2 Top PlateCatalog: Parts: Hinge393826
",1,6206
4864b,"Black Panel 1 x 2 x 2 - Hollow StudsCatalog: Parts: Panel486426 or 4113021
",1,6206
3623,"Black Plate 1 x 3Catalog: Parts: Plate362326
",2,6206
3020,"Black Plate 2 x 4Catalog: Parts: Plate302026
",1,6206
3031,"Black Plate 4 x 4Catalog: Parts: Plate303126 or 4243819
",1,6206
3033,"Black Plate 6 x 10Catalog: Parts: Plate303326
",2,6206
2817,"Black Plate, Modified 2 x 2 with Pin HolesCatalog: Parts: Plate, Modified281726
",4,6206
3660,"Black Slope, Inverted 45 2 x 2Catalog: Parts: Slope, Inverted366026
",2,6206
3701,"Black Technic, Brick 1 x 4 with HolesCatalog: Parts: Technic, Brick370126
",3,6206
32054,"Black Technic, Pin 3L with Friction Ridges Lengthwise and Stop BushCatalog: Parts: Technic, Pin6321745 or 3205426 or 4140801 or 4107742
",4,6206
2555,"Black Tile, Modified 1 x 1 with ClipCatalog: Parts: Tile, Modified6030718 or 255526
",2,6206
6179,"Black Tile, Modified 4 x 4 with Studs on EdgeCatalog: Parts: Tile, Modified617926
",1,6206
54384,"Black Wedge, Plate 6 x 3 LeftCatalog: Parts: Wedge, Plate4283047
",2,6206
54383,"Black Wedge, Plate 6 x 3 RightCatalog: Parts: Wedge, Plate4283046
",2,6206
6106,"Black Wedge, Plate 6 x 6 Cut CornerCatalog: Parts: Wedge, Plate4106977
",4,6206
30355,"Black Wedge, Plate 12 x 6 LeftCatalog: Parts: Wedge, Plate4143180
",2,6206
30356,"Black Wedge, Plate 12 x 6 RightCatalog: Parts: Wedge, Plate4143181
",2,6206
3003,"Blue Brick 2 x 2Catalog: Parts: Brick300323
",2,6206
3023,"Blue Plate 1 x 2Catalog: Parts: Plate302323
",3,6206
3020,"Blue Plate 2 x 4Catalog: Parts: Plate302023
",5,6206
30363,"Blue Slope 18 4 x 2Catalog: Parts: Slope6254675 or 6065880 or 4124107
",2,6206
3040,"Blue Slope 45 2 x 1Catalog: Parts: Slope304023 or 4121936
",2,6206
3747a,"Blue Slope, Inverted 33 3 x 2 without Connections between StudsCatalog: Parts: Slope, Inverted374723 or 4500460 or 4509443
",6,6206
4871,"Blue Slope, Inverted 45 4 x 2 Double with 2 x 2 CutoutCatalog: Parts: Slope, Inverted4656767 or 4189119
",4,6206
2431,"Blue Tile 1 x 4Catalog: Parts: Tile243123
",12,6206
6636,"Blue Tile 1 x 6Catalog: Parts: Tile4118785
",4,6206
4162,"Blue Tile 1 x 8Catalog: Parts: Tile416223
",16,6206
2412b,"Blue Tile, Modified 1 x 2 Grille with Bottom Groove / LipCatalog: Parts: Tile, Modified241223
",4,6206
2357,"Dark Bluish Gray Brick 2 x 2 CornerCatalog: Parts: Brick4211109
",4,6206
6249,"Dark Bluish Gray Brick, Modified 2 x 4 with PinsCatalog: Parts: Brick, Modified6321740 or 6249199 or 4210718
",4,6206
3960px4,"Dark Bluish Gray Dish 4 x 4 Inverted (Radar) with Solid Stud with Star Wars TIE Hatch Black and White PatternCatalog: Parts: Dish, Decorated4542571 or 4225832
",1,6206
3937,"Dark Bluish Gray Hinge Brick 1 x 2 BaseCatalog: Parts: Hinge4211066
",1,6206
30364,"Dark Bluish Gray Hinge Brick 1 x 2 Locking with 1 Finger Vertical EndCatalog: Parts: Hinge4210723
",8,6206
3710,"Dark Bluish Gray Plate 1 x 4Catalog: Parts: Plate4211001
",6,6206
3021,"Dark Bluish Gray Plate 2 x 3Catalog: Parts: Plate4211043
",2,6206
3832,"Dark Bluish Gray Plate 2 x 10Catalog: Parts: Plate4210678
",8,6206
30033,"Dark Bluish Gray Plate, Modified 2 x 2 with Bar Frame OctagonalCatalog: Parts: Plate, Modified4211025
",2,6206
54200,"Dark Bluish Gray Slope 30 1 x 1 x 2/3Catalog: Parts: Slope4244373 or 4504378
",4,6206
3046a,"Dark Bluish Gray Slope 45 2 x 2 Double ConcaveCatalog: Parts: Slope4210702
",2,6206
30373,"Dark Bluish Gray Slope, Inverted 65 6 x 6 x 2 Quad with CutoutsCatalog: Parts: Slope, Inverted4210640
",2,6206
43723,"Dark Bluish Gray Wedge, Plate 3 x 2 LeftCatalog: Parts: Wedge, Plate4210872
",2,6206
43722,"Dark Bluish Gray Wedge, Plate 3 x 2 RightCatalog: Parts: Wedge, Plate4210869
",2,6206
43719,"Dark Bluish Gray Wedge, Plate 4 x 4Catalog: Parts: Wedge, Plate4561036 or 6275402 or 4234938
",2,6206
2436,"Light Bluish Gray Bracket 1 x 2 - 1 x 4Catalog: Parts: Bracket4211358 or 4282740
",2,6206
3002,"Light Bluish Gray Brick 2 x 3Catalog: Parts: Brick4211386
",2,6206
3960,"Light Bluish Gray Dish 4 x 4 Inverted (Radar) with Solid StudCatalog: Parts: Dish4211664
",1,6206
30365,"Light Bluish Gray Hinge Brick 1 x 2 Locking with 2 Fingers Vertical End, 9 TeethCatalog: Parts: Hinge4211694
",8,6206
3022,"Light Bluish Gray Plate 2 x 2Catalog: Parts: Plate4211397
",4,6206
3020,"Light Bluish Gray Plate 2 x 4Catalog: Parts: Plate4211395
",12,6206
30283,"Light Bluish Gray Slope, Inverted 45 6 x 4 Double with 4 x 4 CutoutCatalog: Parts: Slope, Inverted4549997 or 4211602
",1,6206
4274,"Light Bluish Gray Technic, Pin 1/2Catalog: Parts: Technic, Pin4211483 or 4274194
",1,6206
3070b,"Light Bluish Gray Tile 1 x 1 with GrooveCatalog: Parts: Tile4211415
",4,6206
3069bps1,"Light Bluish Gray Tile 1 x 2 with Groove with SW Computer PatternCatalog: Parts: Tile, Decorated4212363
",1,6206
2412b,"Light Bluish Gray Tile, Modified 1 x 2 Grille with Bottom Groove / LipCatalog: Parts: Tile, Modified4211350
",8,6206
4150ps5,"Light Bluish Gray Tile, Round 2 x 2 with SW Imperial Logo PatternCatalog: Parts: Tile, Round, Decorated4225835
",2,6206
3004,"Tan Brick 1 x 2Catalog: Parts: Brick30045 or 4109995
",3,6206
48336,"Tan Plate, Modified 1 x 2 with Bar Handle on Side - Closed EndsCatalog: Parts: Plate, Modified4217562
",1,6206
30366pb03,"Trans-Black Windscreen 3 x 6 x 5 Bubble with SW 8 Spoke Radial Light Bluish Gray Thick Lines PatternCatalog: Parts: Windscreen, Decorated4124140
",1,6206
