reference_number,color_and_brick,quantity,set_number
4733,"Black Brick, Modified 1 x 1 with Studs on 4 SidesCatalog: Parts: Brick, Modified473326
",1,7654
4349,"Black Minifigure, Utensil Loudhailer / Megaphone / SW BlasterCatalog: Parts: Minifigure, Utensil434926
",2,7654
2654,"Black Plate, Round 2 x 2 with Rounded Bottom (Boat Stud)Catalog: Parts: Plate, Round4617551 or 265426 or 4278359
",5,7654
32530,"Black Technic, Pin Connector Plate 1 x 2 x 1 2/3 with 2 Holes (Double on Top)Catalog: Parts: Technic, Connector4144024
",2,7654
2780,"Black Technic, Pin with Friction Ridges Lengthwise, Staggered, with or without Center SlotsCatalog: Parts: Technic, Pin6279875 or 4121715 or 278026
",2,7654
2412b,"Black Tile, Modified 1 x 2 Grille with Bottom Groove / LipCatalog: Parts: Tile, Modified241226
",5,7654
3680,"Black Turntable 2 x 2 Plate, BaseCatalog: Parts: Turntable368026
",1,7654
47905,"Dark Bluish Gray Brick, Modified 1 x 1 with Studs on 2 Sides, OppositeCatalog: Parts: Brick, Modified4213574
",4,7654
6222,"Dark Bluish Gray Brick, Round 4 x 4 with 4 Side Pin Holes and Center Axle HoleCatalog: Parts: Brick, Round4211097
",1,7654
4742,"Dark Bluish Gray Cone 4 x 4 x 2 Hollow No StudsCatalog: Parts: Cone4222113
",1,7654
4349,"Dark Bluish Gray Minifigure, Utensil Loudhailer / Megaphone / SW BlasterCatalog: Parts: Minifigure, Utensil4210698
",2,7654
3666,"Dark Bluish Gray Plate 1 x 6Catalog: Parts: Plate4211056
",2,7654
2540,"Dark Bluish Gray Plate, Modified 1 x 2 with Bar Handle on Side - Free EndsCatalog: Parts: Plate, Modified4210660
",1,7654
3839b,"Dark Bluish Gray Plate, Modified 1 x 2 with Bar Handles - Flat Ends, Low AttachmentCatalog: Parts: Plate, Modified4263176
",1,7654
54200,"Dark Bluish Gray Slope 30 1 x 1 x 2/3Catalog: Parts: Slope4244373 or 4504378
",1,7654
50950,"Dark Bluish Gray Slope, Curved 3 x 1Catalog: Parts: Slope, Curved4246896
",3,7654
3070b,"Dark Bluish Gray Tile 1 x 1 with GrooveCatalog: Parts: Tile4210848
",1,7654
30374,"Light Bluish Gray Bar   4L (Lightsaber Blade / Wand)Catalog: Parts: Bar6116608 or 4211628
",2,7654
3956,"Light Bluish Gray Bracket 2 x 2 - 2 x 2 with 2 HolesCatalog: Parts: Bracket6254807 or 6019212 or 4211472
",1,7654
64567,"Light Bluish Gray Minifigure, Weapon Lightsaber Hilt StraightCatalog: Parts: Minifigure, Weapon4581155 or 4539481 or 4212074
",4,7654
3023,"Light Bluish Gray Plate 1 x 2Catalog: Parts: Plate3023194 or 4211398
",1,7654
