reference_number,color_and_brick,quantity,set_number
4733,"Black Brick, Modified 1 x 1 with Studs on 4 SidesCatalog: Parts: Brick, Modified473326
",9,21013
3024,"Black Plate 1 x 1Catalog: Parts: Plate302426
",1,21013
3033,"Black Plate 6 x 10Catalog: Parts: Plate303326
",2,21013
3069b,"Black Tile 1 x 2 with GrooveCatalog: Parts: Tile306926
",4,21013
4162,"Black Tile 1 x 8Catalog: Parts: Tile416226
",3,21013
4162pb080,"Black Tile 1 x 8 with 'Big Ben' PatternCatalog: Parts: Tile, Decorated6011634
",1,21013
4589b,"Dark Bluish Gray Cone 1 x 1 with Top GrooveCatalog: Parts: Cone4518486 or 4210647 or 4529240
",1,21013
3024,"Dark Bluish Gray Plate 1 x 1Catalog: Parts: Plate4210719
",6,21013
3623,"Dark Bluish Gray Plate 1 x 3Catalog: Parts: Plate4211133
",1,21013
4073,"Dark Bluish Gray Plate, Round 1 x 1Catalog: Parts: Plate, Round4210633
",4,21013
3044c,"Dark Bluish Gray Slope 45 2 x 1 Double with Bottom Stud HolderCatalog: Parts: Slope4226221
",4,21013
3688,"Dark Bluish Gray Slope 75 2 x 2 x 2 Quadruple Convex - Blocked Open Stud or Hollow StudCatalog: Parts: Slope4645099
",1,21013
3070b,"Dark Bluish Gray Tile 1 x 1 with GrooveCatalog: Parts: Tile4210848
",8,21013
3069b,"Dark Bluish Gray Tile 1 x 2 with GrooveCatalog: Parts: Tile4211052
",1,21013
3021,"Dark Green Plate 2 x 3Catalog: Parts: Plate4650244 or 4297717
",2,21013
47905,"Light Bluish Gray Brick, Modified 1 x 1 with Studs on 2 Sides, OppositeCatalog: Parts: Brick, Modified4213567
",3,21013
3794,"Light Bluish Gray Plate, Modified 1 x 2 with 1 Stud, Jumper (Undetermined Type)Catalog: Parts: Plate, ModifiedPart Color Code Missing
",16,21013
2431,"Light Bluish Gray Tile 1 x 4Catalog: Parts: Tile2431194 or 4211356
",3,21013
4162,"Light Bluish Gray Tile 1 x 8Catalog: Parts: Tile4211481
",3,21013
3005,"Tan Brick 1 x 1Catalog: Parts: Brick4113915
",27,21013
3004,"Tan Brick 1 x 2Catalog: Parts: Brick30045 or 4109995
",4,21013
3622,"Tan Brick 1 x 3Catalog: Parts: Brick4162465
",4,21013
3062b,"Tan Brick, Round 1 x 1 Open StudCatalog: Parts: Brick, Round306205 or 4117070
",57,21013
4589b,"Tan Cone 1 x 1 with Top GrooveCatalog: Parts: Cone4529237
",5,21013
3023,"Tan Plate 1 x 2Catalog: Parts: Plate4113917
",38,21013
3623,"Tan Plate 1 x 3Catalog: Parts: Plate4121921
",14,21013
3022,"Tan Plate 2 x 2Catalog: Parts: Plate4114084
",5,21013
3021,"Tan Plate 2 x 3Catalog: Parts: Plate30215 or 4118790
",18,21013
4073,"Tan Plate, Round 1 x 1Catalog: Parts: Plate, Round4161734
",24,21013
3070b,"Tan Tile 1 x 1 with GrooveCatalog: Parts: Tile4125253
",34,21013
3069b,"Tan Tile 1 x 2 with GrooveCatalog: Parts: Tile30695 or 4114026
",2,21013
2412b,"Tan Tile, Modified 1 x 2 Grille with Bottom Groove / LipCatalog: Parts: Tile, Modified4124456
",32,21013
87087,"White Brick, Modified 1 x 1 with Stud on SideCatalog: Parts: Brick, Modified4558952
",5,21013
4150px1,"White Tile, Round 2 x 2 with Clock PatternCatalog: Parts: Tile, Round, Decorated4142872 or 4507355
",4,21013
3024,"Black Plate 1 x 1Catalog: Parts: Plate302426
",1,21013
3024,"Dark Bluish Gray Plate 1 x 1Catalog: Parts: Plate4210719
",1,21013
4073,"Dark Bluish Gray Plate, Round 1 x 1Catalog: Parts: Plate, Round4210633
",1,21013
3070b,"Dark Bluish Gray Tile 1 x 1 with GrooveCatalog: Parts: Tile4210848
",1,21013
4073,"Tan Plate, Round 1 x 1Catalog: Parts: Plate, Round4161734
",1,21013
3070b,"Tan Tile 1 x 1 with GrooveCatalog: Parts: Tile4125253
",1,21013
3794b,"Light Bluish Gray Plate, Modified 1 x 2 with 1 Stud with Groove (Jumper)Catalog: Parts: Plate, Modified4211451
",16,21013
14769pb001,"White Tile, Round 2 x 2 with Bottom Stud Holder with Clock PatternCatalog: Parts: Tile, Round, Decorated6052201
",4,21013
