reference_number,color_and_brick,quantity,set_number
4617,"Black Propeller 3 Blade 5.5 DiameterCatalog: Parts: Propeller4536184 or 461726
",1,4417
47676,"Blue Container, X-Pod Bottom Cap 9 x 9 x 1Catalog: Parts: Container4218545
",1,4417
47675,"Blue Container, X-Pod Top Cap 9 x 9 x 1 1/3Catalog: Parts: Container4218540
",1,4417
3023,"Blue Plate 1 x 2Catalog: Parts: Plate302323
",1,4417
3710,"Blue Plate 1 x 4Catalog: Parts: Plate371023
",2,4417
3022,"Blue Plate 2 x 2Catalog: Parts: Plate4613973 or 302223
",4,4417
3021,"Blue Plate 2 x 3Catalog: Parts: Plate302123
",1,4417
3020,"Blue Plate 2 x 4Catalog: Parts: Plate302023
",1,4417
3794a,"Blue Plate, Modified 1 x 2 with 1 Stud without Groove (Jumper)Catalog: Parts: Plate, Modified379423
",4,4417
2444,"Blue Plate, Modified 2 x 2 with Pin HoleCatalog: Parts: Plate, Modified244423 or 4529003
",1,4417
4286,"Blue Slope 33 3 x 1Catalog: Parts: Slope428623
",2,4417
2450,"Blue Wedge, Plate 3 x 3 Cut CornerCatalog: Parts: Wedge, Plate4609330 or 4246977
",4,4417
49668,"Dark Bluish Gray Plate, Modified 1 x 1 with Tooth HorizontalCatalog: Parts: Plate, Modified4225356
",2,4417
3710,"Light Bluish Gray Plate 1 x 4Catalog: Parts: Plate4211445
",2,4417
2420,"Light Bluish Gray Plate 2 x 2 CornerCatalog: Parts: Plate4211353
",2,4417
3020,"Light Bluish Gray Plate 2 x 4Catalog: Parts: Plate4211395
",1,4417
4081b,"Light Bluish Gray Plate, Modified 1 x 1 with Light Attachment - Thick RingCatalog: Parts: Plate, Modified6281998 or 4632575 or 4211477
",2,4417
4488,"Light Bluish Gray Plate, Modified 2 x 2 with Wheel HolderCatalog: Parts: Plate, Modified6371448 or 6018081 or 4211496
",1,4417
4073,"Light Bluish Gray Plate, Round 1 x 1Catalog: Parts: Plate, Round4211525
",2,4417
3673,"Light Bluish Gray Technic, Pin without Friction Ridges LengthwiseCatalog: Parts: Technic, Pin3673194 or 4211807
",1,4417
30027b,"Light Bluish Gray Wheel  8mm D. x 9mm for Slicks, Hole Notched for Wheels Holder PinCatalog: Parts: Wheel4211765
",1,4417
54200,"Trans-Black Slope 30 1 x 1 x 2/3Catalog: Parts: Slope6245263 or 4244368
",1,4417
30602,"Trans-Black Slope, Curved 2 x 2 LipCatalog: Parts: Slope, Curved6171717 or 47904111 or 4217722
",1,4417
54200,"Trans-Dark Blue Slope 30 1 x 1 x 2/3Catalog: Parts: Slope6245256 or 4244366
",1,4417
4073,"Trans-Neon Orange Plate, Round 1 x 1Catalog: Parts: Plate, Round6240218 or 3005747
",2,4417
47674,"Trans-Yellow Container, X-Pod Barrel Section 10 x 10 x 3 1/3Catalog: Parts: Container4255296
",1,4417
54200,"Trans-Yellow Slope 30 1 x 1 x 2/3Catalog: Parts: Slope6245272 or 4244367 or 4260942
",1,4417
30374,"Yellow Bar   4L (Lightsaber Blade / Wand)Catalog: Parts: Bar6116606 or 4193511
",2,4417
3024,"Yellow Plate 1 x 1Catalog: Parts: Plate302424
",1,4417
3023,"Yellow Plate 1 x 2Catalog: Parts: Plate302324
",2,4417
3710,"Yellow Plate 1 x 4Catalog: Parts: Plate371024
",1,4417
6019,"Yellow Plate, Modified 1 x 1 with U Clip (Horizontal Grip)Catalog: Parts: Plate, Modified4107445
",2,4417
3794a,"Yellow Plate, Modified 1 x 2 with 1 Stud without Groove (Jumper)Catalog: Parts: Plate, Modified379424
",3,4417
4286,"Yellow Slope 33 3 x 1Catalog: Parts: Slope428624
",1,4417
3069b,"Yellow Tile 1 x 2 with GrooveCatalog: Parts: Tile306924
",2,4417
41770,"Yellow Wedge, Plate 4 x 2 LeftCatalog: Parts: Wedge, Plate4161331
",1,4417
41769,"Yellow Wedge, Plate 4 x 2 RightCatalog: Parts: Wedge, Plate4160868
",1,4417
4073,"Light Bluish Gray Plate, Round 1 x 1Catalog: Parts: Plate, Round4211525
",1,4417
3673,"Light Bluish Gray Technic, Pin without Friction Ridges LengthwiseCatalog: Parts: Technic, Pin3673194 or 4211807
",1,4417
4073,"Trans-Neon Orange Plate, Round 1 x 1Catalog: Parts: Plate, Round6240218 or 3005747
",1,4417
2780,"Black Technic, Pin with Friction Ridges Lengthwise, Staggered, with or without Center SlotsCatalog: Parts: Technic, Pin6279875 or 4121715 or 278026
",1,4417
2780,"Black Technic, Pin with Friction Ridges Lengthwise, Staggered, with or without Center SlotsCatalog: Parts: Technic, Pin6279875 or 4121715 or 278026
",1,4417
4624,"Light Bluish Gray Wheel  8mm D. x 6mmCatalog: Parts: Wheel6194808 or 4211506
",1,4417
