reference_number,color_and_brick,quantity,set_number
6211stk01," Sticker Sheet for Set 6211 - (55664/4291721)Catalog: Parts: Sticker Sheet4291721
",1,6211
4070,"Black Brick, Modified 1 x 1 with HeadlightCatalog: Parts: Brick, Modified407026
",12,6211
52107,"Black Brick, Modified 1 x 2 with Studs on 2 SidesCatalog: Parts: Brick, Modified4253815
",4,6211
3941,"Black Brick, Round 2 x 2 with Axle HoleCatalog: Parts: Brick, Round614326
",3,6211
6134,"Black Hinge Brick 2 x 2 Top PlateCatalog: Parts: Hinge4124096
",6,6211
44302a,"Black Hinge Plate 1 x 2 Locking with 2 Fingers on End and 9 Teeth with Bottom GrooveCatalog: Parts: Hinge4183060
",4,6211
2429c01(inv),"Black Hinge Plate 1 x 4 Swivel (2429 / 2430)Catalog: Parts: Hinge6102782 or 74011
",14,6211
4360,"Black Minifigure, Utensil Camera with Side Sight (Space Gun)Catalog: Parts: Minifigure, Utensil436026
",2,6211
4349,"Black Minifigure, Utensil Loudhailer / Megaphone / SW BlasterCatalog: Parts: Minifigure, Utensil434926
",4,6211
4497,"Black Minifigure, Weapon Pike / Spear - Round EndCatalog: Parts: Minifigure, Weapon449726
",2,6211
32028,"Black Plate, Modified 1 x 2 with Door RailCatalog: Parts: Plate, Modified4107761
",2,6211
54200,"Black Slope 30 1 x 1 x 2/3Catalog: Parts: Slope4287159 or 4504382
",11,6211
3040,"Black Slope 45 2 x 1Catalog: Parts: Slope304026 or 4121966
",6,6211
47456,"Black Slope, Curved 3 x 2 x 2/3 with Two Studs, Wing EndCatalog: Parts: Slope, Curved4285883
",2,6211
3660,"Black Slope, Inverted 45 2 x 2Catalog: Parts: Slope, Inverted366026
",4,6211
32474,"Black Technic Ball JointCatalog: Parts: Technic4143539 or 4290713
",1,6211
3705,"Black Technic, Axle  4LCatalog: Parts: Technic, Axle370526
",31,6211
3706,"Black Technic, Axle  6LCatalog: Parts: Technic, Axle370626
",5,6211
3707,"Black Technic, Axle  8LCatalog: Parts: Technic, Axle370726
",1,6211
3708,"Black Technic, Axle 12LCatalog: Parts: Technic, Axle370826
",2,6211
32291,"Black Technic, Axle and Pin Connector Perpendicular DoubleCatalog: Parts: Technic, Connector6280394 or 4140430
",3,6211
32064b,"Black Technic, Brick 1 x 2 with Axle Hole (x Shape)Catalog: Parts: Technic, Brick4233487
",6,6211
3702,"Black Technic, Brick 1 x 8 with HolesCatalog: Parts: Technic, Brick370226
",1,6211
32018,"Black Technic, Brick 1 x 14 with HolesCatalog: Parts: Technic, Brick4107558
",4,6211
32009,"Black Technic, Liftarm, Modified Bent Thick 1 x 11.5 DoubleCatalog: Parts: Technic, Liftarm6271152 or 4111998
",4,6211
32250,"Black Technic, Liftarm, Modified L-Shape Quarter Ellipse Thin 3 x 5Catalog: Parts: Technic, Liftarm6327162 or 3225026 or 4128557
",4,6211
2825,"Black Technic, Liftarm, Modified Stud Connector Thin 1 x 4Catalog: Parts: Technic, Liftarm6331570 or 3200626 or 4107136
",2,6211
6558,"Black Technic, Pin 3L with Friction Ridges LengthwiseCatalog: Parts: Technic, Pin655826
",8,6211
32054,"Black Technic, Pin 3L with Friction Ridges Lengthwise and Stop BushCatalog: Parts: Technic, Pin6321745 or 3205426 or 4140801 or 4107742
",2,6211
48496,"Black Technic, Pin Connector Toggle Joint Smooth Double with 2 PinsCatalog: Parts: Technic, Connector6328175 or 4236640 or 4849626 or 4238840
",14,6211
47994,"Black Technic, Pin Double Triangle 1 x 3 with 2 Clips with Round Pin HolesCatalog: Parts: Technic, Pin4220098
",8,6211
2780,"Black Technic, Pin with Friction Ridges Lengthwise, Staggered, with or without Center SlotsCatalog: Parts: Technic, Pin6279875 or 4121715 or 278026
",51,6211
32195b,"Black Technic, Steering Arm 6.5 x 2 with Tow Ball Socket Rounded, ChamferedCatalog: Parts: Technic, Steering4204025
",1,6211
3069b,"Black Tile 1 x 2 with GrooveCatalog: Parts: Tile306926
",9,6211
3680c02(inv),"Black Turntable 2 x 2 Plate with Light Bluish Gray Top (3680 / 3679)Catalog: Parts: Turntable4221774
",6,6211
30505,"Black Wedge 3 x 3 FacetCatalog: Parts: Wedge4159550
",2,6211
2419,"Black Wedge, Plate 3 x 6 Cut CornersCatalog: Parts: Wedge, Plate241926
",2,6211
30503,"Black Wedge, Plate 4 x 4 Cut CornerCatalog: Parts: Wedge, Plate4160025
",10,6211
