reference_number,color_and_brick,quantity,set_number
2569,"Black Antenna Whip 8HCatalog: Parts: Antenna6265148 or 6164379 or 256926
",2,4501
3008,"Black Brick 1 x 8Catalog: Parts: Brick300826
",2,4501
2456,"Black Brick 2 x 6Catalog: Parts: Brick245626 or 4181144
",1,4501
3063,"Black Brick, Round Corner 2 x 2 Macaroni with Stud NotchCatalog: Parts: Brick, Round4164471
",2,4501
6134,"Black Hinge Brick 2 x 2 Top PlateCatalog: Parts: Hinge4124096
",1,4501
4349,"Black Minifigure, Utensil Loudhailer / Megaphone / SW BlasterCatalog: Parts: Minifigure, Utensil434926
",1,4501
4079,"Black Minifigure, Utensil Seat (Chair) 2 x 2Catalog: Parts: Minifigure, Utensil407926
",2,4501
4599a,"Black Tap 1 x 1 with Hole in Nozzle EndCatalog: Parts: Tap459926
",1,4501
3069b,"Black Tile 1 x 2 with GrooveCatalog: Parts: Tile306926
",1,4501
3069bps2,"Black Tile 1 x 2 with Groove with Avionics SW Copper, Red & Silver PatternCatalog: Parts: Tile, Decorated6021512 or 4162982
",1,4501
3829c01,"Black Vehicle, Steering Stand 1 x 2 with Black Steering WheelCatalog: Parts: Vehicle73081
",1,4501
64567,"Chrome Silver Minifigure, Weapon Lightsaber Hilt StraightCatalog: Parts: Minifigure, Weapon4124050
",1,4501
30358,"Dark Bluish Gray Engine, Strakes, 2 Top Studs, 2 x 2 Bottom TileCatalog: Parts: Aircraft4215228
",2,4501
3937,"Dark Bluish Gray Hinge Brick 1 x 2 BaseCatalog: Parts: Hinge4211066
",3,4501
75c22,"Dark Bluish Gray Hose, Rigid 3mm D. 22L / 17.6cmCatalog: Parts: Hose, Rigid 3mm D.4218844
",2,4501
30304,"Dark Bluish Gray Minifigure, Utensil Binoculars SpaceCatalog: Parts: Minifigure, Utensil4211124
",1,4501
30413,"Dark Bluish Gray Panel 1 x 4 x 1Catalog: Parts: Panel4267940 or 6092649 or 4210844
",3,4501
3666,"Dark Bluish Gray Plate 1 x 6Catalog: Parts: Plate4211056
",3,4501
3020,"Dark Bluish Gray Plate 2 x 4Catalog: Parts: Plate4211065
",3,4501
3795,"Dark Bluish Gray Plate 2 x 6Catalog: Parts: Plate4211002
",1,4501
3032,"Dark Bluish Gray Plate 4 x 6Catalog: Parts: Plate3032199 or 4211115
",1,4501
3033,"Dark Bluish Gray Plate 6 x 10Catalog: Parts: Plate4211114
",1,4501
2476,"Dark Bluish Gray Plate, Modified 2 x 2 with Pin on BottomCatalog: Parts: Plate, Modified4210836
",2,4501
3037,"Dark Bluish Gray Slope 45 2 x 4Catalog: Parts: Slope4211127
",1,4501
2412b,"Dark Bluish Gray Tile, Modified 1 x 2 Grille with Bottom Groove / LipCatalog: Parts: Tile, Modified4210631
",2,4501
6231,"Dark Red Panel 1 x 1 x 1 CornerCatalog: Parts: Panel4164227
",2,4501
4865,"Dark Red Panel 1 x 2 x 1Catalog: Parts: Panel4163462
",2,4501
3023,"Dark Red Plate 1 x 2Catalog: Parts: Plate4162582 or 4539097
",5,4501
3623,"Dark Red Plate 1 x 3Catalog: Parts: Plate4164223 or 4539076
",2,4501
3710,"Dark Red Plate 1 x 4Catalog: Parts: Plate4539061 or 4164219
",1,4501
3666,"Dark Red Plate 1 x 6Catalog: Parts: Plate4539062 or 4164108
",2,4501
3022,"Dark Red Plate 2 x 2Catalog: Parts: Plate4585479 or 4163160
",2,4501
3029,"Dark Red Plate 4 x 12Catalog: Parts: Plate4585483 or 4164218
",2,4501
30565,"Dark Red Plate, Round Corner 4 x 4Catalog: Parts: Plate, Round4164230 or 4613267
",2,4501
3298,"Dark Red Slope 33 3 x 2Catalog: Parts: Slope6366021 or 4162215 or 4569379
",1,4501
2431,"Dark Red Tile 1 x 4Catalog: Parts: Tile4539060 or 4164220
",4,4501
3068b,"Dark Red Tile 2 x 2 with GrooveCatalog: Parts: Tile4539105 or 4177046
",1,4501
2412b,"Dark Red Tile, Modified 1 x 2 Grille with Bottom Groove / LipCatalog: Parts: Tile, Modified4162204 or 4541506 or 4528969
",1,4501
2432,"Dark Red Tile, Modified 1 x 2 with Bar HandleCatalog: Parts: Tile, Modified4163461
",1,4501
6565,"Dark Red Wedge 3 x 2 LeftCatalog: Parts: Wedge6253648 or 4164225
",1,4501
6564,"Dark Red Wedge 3 x 2 RightCatalog: Parts: Wedge6253641 or 4164226
",1,4501
3001,"Light Bluish Gray Brick 2 x 4Catalog: Parts: Brick4211385
",2,4501
30358,"Light Bluish Gray Engine, Strakes, 2 Top Studs, 2 x 2 Bottom TileCatalog: Parts: AircraftPart Color Code Missing
",1,4501
x169,"Light Bluish Gray Minifigure, Utensil Stretcher Holder FlexibleCatalog: Parts: Minifigure, Utensil4217283 or 6192730 or 6083029 or 4528624
",1,4501
64567,"Light Bluish Gray Minifigure, Weapon Lightsaber Hilt StraightCatalog: Parts: Minifigure, Weapon4581155 or 4539481 or 4212074
",1,4501
4865,"Light Bluish Gray Panel 1 x 2 x 1Catalog: Parts: Panel6146223 or 4211515
",3,4501
2654,"Light Bluish Gray Plate, Round 2 x 2 with Rounded Bottom (Boat Stud)Catalog: Parts: Plate, Round4211372 or 4278273
",3,4501
4274,"Light Bluish Gray Technic, Pin 1/2Catalog: Parts: Technic, Pin4211483 or 4274194
",1,4501
3068b,"Light Bluish Gray Tile 2 x 2 with GrooveCatalog: Parts: Tile4211413
",1,4501
2555,"Light Bluish Gray Tile, Modified 1 x 1 with ClipCatalog: Parts: Tile, Modified6030711 or 2555194 or 4211369
",2,4501
3004,"Reddish Brown Brick 1 x 2Catalog: Parts: Brick4613963 or 4211149
",4,4501
3831,"Reddish Brown Hinge Brick 1 x 4 Swivel BaseCatalog: Parts: Hinge4215449
",3,4501
3830,"Reddish Brown Hinge Brick 1 x 4 Swivel TopCatalog: Parts: Hinge6345000 or 6011460 or 4215448
",3,4501
2524,"Reddish Brown Minifigure Backpack Non-OpeningCatalog: Parts: Minifigure, Body Wear6268828 or 4215414 or 4598713 or 4522646
",2,4501
4079,"Reddish Brown Minifigure, Utensil Seat (Chair) 2 x 2Catalog: Parts: Minifigure, Utensil4211206
",2,4501
2420,"Reddish Brown Plate 2 x 2 CornerCatalog: Parts: Plate4211257
",2,4501
3023,"Sand Blue Plate 1 x 2Catalog: Parts: Plate6198156 or 4167468
",5,4501
3623,"Sand Blue Plate 1 x 3Catalog: Parts: Plate6142245 or 4153606
",2,4501
3794a,"Sand Blue Plate, Modified 1 x 2 with 1 Stud without Groove (Jumper)Catalog: Parts: Plate, Modified4165658
",6,4501
47396,"Sand Green Dewback HeadCatalog: Parts: Animal, Body Part4217265
",1,4501
40380c01,"Sand Green Dinosaur Legs ShortCatalog: Parts: Animal, Body Part4217363
",2,4501
40373,"Sand Green Dinosaur Middle Quarter with Pin HolesCatalog: Parts: Animal, Body Part4217280
",2,4501
40374,"Sand Green Dinosaur Middle Quarter with PinsCatalog: Parts: Animal, Body Part4217279
",2,4501
40375,"Sand Green Dinosaur Neck / Tail RingCatalog: Parts: Animal, Body Part4152935
",2,4501
40395c01,"Sand Green Dinosaur Tail / Neck Base Section with Black Technic PinCatalog: Parts: Animal, Body Part4153890
",1,4501
40379,"Sand Green Dinosaur Tail End Section / HornCatalog: Parts: Animal, Body Part4508459 or 4174998 or 4291634
",1,4501
2357,"Sand Red Brick 2 x 2 CornerCatalog: Parts: Brick4158920
",2,4501
3795,"Sand Red Plate 2 x 6Catalog: Parts: PlatePart Color Code Missing
",2,4501
3031,"Sand Red Plate 4 x 4Catalog: Parts: Plate4243832
",3,4501
30565,"Sand Red Plate, Round Corner 4 x 4Catalog: Parts: Plate, Round4164235
",2,4501
6636,"Sand Red Tile 1 x 6Catalog: Parts: TilePart Color Code Missing
",2,4501
3307,"Tan Arch 1 x 6 x 2 - Thick Top with Reinforced UndersideCatalog: Parts: Arch4114073
",1,4501
6183,"Tan Arch 1 x 6 x 2 Curved TopCatalog: Parts: Arch4208792
",1,4501
3245b,"Tan Brick 1 x 2 x 2 with Inside Axle HolderCatalog: Parts: Brick4159279
",3,4501
30136,"Tan Brick, Modified 1 x 2 with Log ProfileCatalog: Parts: Brick, Modified4114053 or 4218749
",7,4501
30562,"Tan Cylinder Quarter 4 x 4 x 6Catalog: Parts: Cylinder6056230 or 4158716
",2,4501
6134,"Tan Hinge Brick 2 x 2 Top PlateCatalog: Parts: Hinge4143703
",2,4501
3023,"Tan Plate 1 x 2Catalog: Parts: Plate4113917
",5,4501
3020,"Tan Plate 2 x 4Catalog: Parts: Plate4114309
",2,4501
32474,"Tan Technic Ball JointCatalog: Parts: Technic6097508 or 4182223 or 4290715
",2,4501
3941,"Trans-Clear Brick, Round 2 x 2 with Axle HoleCatalog: Parts: Brick, Round6273152 or 4143346
",1,4501
3899,"Trans-Clear Minifigure, Utensil CupCatalog: Parts: Minifigure, Utensil6238856 or 626440
",1,4501
3939,"Trans-Clear Slope 33 3 x 6 with Inner WallsCatalog: Parts: Slope4190513
",1,4501
30374,"Trans-Light Blue Bar   4L (Lightsaber Blade / Wand)Catalog: Parts: Bar6170187 or 4124073
",1,4501
4073,"Trans-Red Plate, Round 1 x 1Catalog: Parts: Plate, Round6208450 or 3005741
",2,4501
3062b,"Trans-Yellow Brick, Round 1 x 1 Open StudCatalog: Parts: Brick, Round7777777 or 6238674 or 306844 or 3006844
",1,4501
3700,"White Technic, Brick 1 x 2 with HoleCatalog: Parts: Technic, Brick370001
",2,4501
sw0110(inv)," GreedoCatalog: Minifigures: Star Wars: Star Wars Episode 4/5/6
",1,4501
sw0111(inv)," Han Solo, Dark Blue LegsCatalog: Minifigures: Star Wars: Star Wars Episode 4/5/6
",1,4501
sw0021(inv)," Luke Skywalker (Tatooine)Catalog: Minifigures: Star Wars: Star Wars Episode 4/5/6
",1,4501
sw0023a(inv)," Obi-Wan Kenobi (Old with Light Bluish Gray Hair)Catalog: Minifigures: Star Wars: Star Wars Episode 4/5/6
",1,4501
sw0109(inv)," Sandtrooper - Orange Pauldron (Solid), Survival Backpack, No Dirt Stains, Helmet with Solid Mouth Pattern and Solid Yellow HeadCatalog: Minifigures: Star Wars: Star Wars Episode 4/5/6
",1,4501
4274,"Light Bluish Gray Technic, Pin 1/2Catalog: Parts: Technic, Pin4211483 or 4274194
",1,4501
4073,"Trans-Red Plate, Round 1 x 1Catalog: Parts: Plate, Round6208450 or 3005741
",1,4501
dewback(inv),"Sand Green Dewback, Long Tail - Star WarsCatalog: Parts: Animal, LandPart Color Code Missing
",1,4501
2476b,"Dark Bluish Gray Plate, Modified 2 x 2 with Pin on Bottom, Small Holes in Plate and Locking Fingers on UndersideCatalog: Parts: Plate, ModifiedPart Color Code Missing
",2,4501
