reference_number,color_and_brick,quantity,set_number
4589,"Black Cone 1 x 1 without Top GrooveCatalog: Parts: Cone4518219 or 4529236 or 458926
",10,7000
4073,"Black Plate, Round 1 x 1Catalog: Parts: Plate, Round614126
",4,7000
3795,"Dark Gray Plate 2 x 6Catalog: Parts: Plate379527
",1,7000
30183,"Dark Gray Slope, Inverted 45 6 x 4 Double with Recessed CenterCatalog: Parts: Slope, Inverted4155710
",1,7000
3700,"Dark Gray Technic, Brick 1 x 2 with HoleCatalog: Parts: Technic, Brick4114529
",2,7000
3040,"Light Gray Slope 45 2 x 1Catalog: Parts: Slope4121933
",4,7000
3665,"Light Gray Slope, Inverted 45 2 x 1Catalog: Parts: Slope, Inverted366502
",4,7000
4274,"Light Gray Technic, Pin 1/2Catalog: Parts: Technic, Pin427402
",1,7000
x158,"Sand Green Dinosaur Head SmallCatalog: Parts: Animal, Body Part4175044
",1,7000
40396c01,"Sand Green Dinosaur Tail / Neck Base Section S-Curve with Black Technic PinCatalog: Parts: Animal, Body Part4152999 or 4291640
",1,7000
40379,"Sand Green Dinosaur Tail End Section / HornCatalog: Parts: Animal, Body Part4508459 or 4174998 or 4291634
",1,7000
3039,"Sand Green Slope 45 2 x 2Catalog: Parts: Slope4598055 or 4153763
",4,7000
4733,"Tan Brick, Modified 1 x 1 with Studs on 4 SidesCatalog: Parts: Brick, Modified4155709 or 6189167 or 4238184
",1,7000
3794a,"Tan Plate, Modified 1 x 2 with 1 Stud without Groove (Jumper)Catalog: Parts: Plate, Modified4155708
",2,7000
4073,"Black Plate, Round 1 x 1Catalog: Parts: Plate, Round614126
",1,7000
4274,"Light Gray Technic, Pin 1/2Catalog: Parts: Technic, Pin427402
",1,7000
