reference_number,color_and_brick,quantity,set_number
3659,"Black Arch 1 x 4Catalog: Parts: Arch365926
",2,6155
4221,"Black Arm Grab JawCatalog: Parts: ArmPart Color Code Missing
",2,6155
30014,"Black Arm Holder Brick 1 x 2 with 2 Horizontal FingersCatalog: Parts: ArmPart Color Code Missing
",2,6155
3612,"Black Arm Piece Straight with 2 and 3 FingersCatalog: Parts: ArmPart Color Code Missing
",2,6155
6058,"Black Cockpit 11 x 4 x 2 2/3 Inverted SlopeCatalog: Parts: CockpitPart Color Code Missing
",1,6155
4315,"Black Hinge Vehicle Roof Holder 1 x 4Catalog: Parts: HingePart Color Code Missing
",2,6155
73092,"Black Magnet CylindricalCatalog: Parts: Magnet73092
",2,6155
2607,"Black Magnet Holder 2 x 3 with Clips and Pin HoleCatalog: Parts: Magnet260726
",1,6155
3024,"Black Plate 1 x 1Catalog: Parts: Plate302426
",4,6155
3023,"Black Plate 1 x 2Catalog: Parts: Plate302326
",5,6155
3623,"Black Plate 1 x 3Catalog: Parts: Plate362326
",2,6155
3710,"Black Plate 1 x 4Catalog: Parts: Plate371026
",3,6155
3022,"Black Plate 2 x 2Catalog: Parts: Plate302226
",1,6155
4282,"Black Plate 2 x 16Catalog: Parts: Plate428226
",1,6155
3031,"Black Plate 4 x 4Catalog: Parts: Plate303126 or 4243819
",1,6155
4081b,"Black Plate, Modified 1 x 1 with Light Attachment - Thick RingCatalog: Parts: Plate, Modified4632571 or 6281993 or 408126
",2,6155
6040,"Black Propeller HousingCatalog: Parts: PropellerPart Color Code Missing
",1,6155
3038,"Black Slope 45 2 x 3Catalog: Parts: Slope303826
",2,6155
4854,"Black Slope, Inverted 45 4 x 4 DoubleCatalog: Parts: Slope, Inverted4643321 or 4603490 or 485426
",2,6155
3587pb02,"Black Tail with Rounded Top, Aquazone Aquashark Blue Shark with Red 'X' PatternCatalog: Parts: Tail, DecoratedPart Color Code Missing
",1,6155
4855,"Black Wedge 4 x 4 Triple Inverted with Connections between 2 StudsCatalog: Parts: Wedge4550004
",1,6155
2419,"Black Wedge, Plate 3 x 6 Cut CornersCatalog: Parts: Wedge, Plate241926
",1,6155
3936,"Black Wedge, Plate 4 x 4 Wing LeftCatalog: Parts: Wedge, PlatePart Color Code Missing
",1,6155
3935,"Black Wedge, Plate 4 x 4 Wing RightCatalog: Parts: Wedge, PlatePart Color Code Missing
",1,6155
2507pb04,"Black Windscreen 10 x 4 x 2 1/3 Canopy with Blue Outlines and Red Square PatternCatalog: Parts: Windscreen, DecoratedPart Color Code Missing
",1,6155
4220,"Blue Arm Grab Jaw HolderCatalog: Parts: ArmPart Color Code Missing
",1,6155
3612,"Blue Arm Piece Straight with 2 and 3 FingersCatalog: Parts: ArmPart Color Code Missing
",6,6155
6217,"Blue Arm Piece with Pin, 3 FingersCatalog: Parts: ArmPart Color Code Missing
",1,6155
3004,"Blue Brick 1 x 2Catalog: Parts: Brick4613959 or 300423
",1,6155
3622,"Blue Brick 1 x 3Catalog: Parts: Brick362223
",2,6155
3008,"Blue Brick 1 x 8Catalog: Parts: Brick300823
",2,6155
4589,"Blue Cone 1 x 1 without Top GrooveCatalog: Parts: Cone458923 or 4520957 or 4529235
",4,6155
2609a,"Blue Magnet Holder Tile 2 x 2 - Short ArmsCatalog: Parts: MagnetPart Color Code Missing
",1,6155
3024,"Blue Plate 1 x 1Catalog: Parts: Plate302423
",2,6155
3623,"Blue Plate 1 x 3Catalog: Parts: Plate362323
",2,6155
3710,"Blue Plate 1 x 4Catalog: Parts: Plate371023
",2,6155
3020,"Blue Plate 2 x 4Catalog: Parts: Plate302023
",1,6155
4085c,"Blue Plate, Modified 1 x 1 with U Clip Thick (Vertical Grip)Catalog: Parts: Plate, Modified408523
",2,6155
4623,"Blue Plate, Modified 1 x 2 with Bar Arm Up (Undetermined Type)Catalog: Parts: Plate, Modified4280139
",2,6155
3298,"Blue Slope 33 3 x 2Catalog: Parts: Slope6294307 or 6141996 or 329823
",1,6155
3039pb019,"Blue Slope 45 2 x 2 with Aquazone PatternCatalog: Parts: Slope, DecoratedPart Color Code Missing
",1,6155
2432,"Blue Tile, Modified 1 x 2 with Bar HandleCatalog: Parts: Tile, Modified243223
",1,6155
57467c01(inv),"Chrome Silver Minifigure, Weapon Harpoons, 2 on SprueCatalog: Parts: Minifigure, Weapon70750
",1,6155
44658c01(inv),"Chrome Silver Minifigure, Weapon Knives, 2 on SprueCatalog: Parts: Minifigure, Weapon70749
",1,6155
52,"Chrome Silver Rock 1 x 1 Crystal 5 PointCatalog: Parts: Rock4119342
",1,6155
2547,"Dark Gray Shark BodyCatalog: Parts: Animal, Body PartPart Color Code Missing
",1,6155
2548,"Dark Gray Shark HeadCatalog: Parts: Animal, Body PartPart Color Code Missing
",1,6155
6064,"Green Plant Prickly Bush 2 x 2 x 4Catalog: Parts: Plant6269009 or 606428
",1,6155
3749,"Light Gray Technic, Axle  1L with Pin without Friction Ridges LengthwiseCatalog: Parts: Technic, Axle4184168 or 656202
",1,6155
6065,"Red Plant Prickly Bush 2 x 2 x 3 Extension with 2 x 2 centerCatalog: Parts: PlantPart Color Code Missing
",1,6155
3023,"Red Plate 1 x 2Catalog: Parts: Plate302321
",2,6155
4859,"Red Wedge, Plate 3 x 4 without Stud NotchesCatalog: Parts: Wedge, Plate4181032
",1,6155
412,"Trans-Neon Orange Arm Piece Turned with 2 and 3 FingersCatalog: Parts: ArmPart Color Code Missing
",4,6155
4345,"Trans-Neon Orange Container, Box 2 x 2 x 2Catalog: Parts: ContainerPart Color Code Missing
",1,6155
4346,"Trans-Neon Orange Container, Box 2 x 2 x 2 Door with SlotCatalog: Parts: ContainerPart Color Code Missing
",1,6155
6041,"Trans-Neon Orange Propeller 3 Blade 3 Diameter with Axle HoleCatalog: Parts: Propeller4165521
",1,6155
2507pb01,"Trans-Neon Orange Windscreen 10 x 4 x 2 1/3 Canopy with Black Aquasharks PatternCatalog: Parts: Windscreen, DecoratedPart Color Code Missing
",1,6155
aqu006a(inv)," Aquashark 1 with Black FlippersCatalog: Minifigures: Aquazone: Aquasharks
",1,6155
p95aqua," Aquazone Poster, Large 1995 A2 (4.100.094/4.100.095-EU)Catalog: Gear: Poster: Aquazone
",1,6155
2547c01(inv),"Dark Gray SharkCatalog: Parts: Animal, WaterPart Color Code Missing
",1,6155
