reference_number,color_and_brick,quantity,set_number
3023,"Black Plate 1 x 2Catalog: Parts: Plate302326
",2,4415
3021,"Black Plate 2 x 3Catalog: Parts: Plate302126
",2,4415
3020,"Black Plate 2 x 4Catalog: Parts: Plate302026
",1,4415
4073,"Black Plate, Round 1 x 1Catalog: Parts: Plate, Round614126
",2,4415
30028,"Black Tire 14mm D. x 9mm Smooth Small Wide SlickCatalog: Parts: Tire & Tread3002826 or 4508215
",4,4415
4600,"Light Bluish Gray Plate, Modified 2 x 2 with Wheels HolderCatalog: Parts: Plate, Modified6408022 or 4211504
",2,4415
2412b,"Light Bluish Gray Tile, Modified 1 x 2 Grille with Bottom Groove / LipCatalog: Parts: Tile, Modified4211350
",1,4415
30027b,"Light Bluish Gray Wheel  8mm D. x 9mm for Slicks, Hole Notched for Wheels Holder PinCatalog: Parts: Wheel4211765
",4,4415
47676,"Orange Container, X-Pod Bottom Cap 9 x 9 x 1Catalog: Parts: Container4255418
",1,4415
47675,"Orange Container, X-Pod Top Cap 9 x 9 x 1 1/3Catalog: Parts: Container4255424
",1,4415
3022,"Orange Plate 2 x 2Catalog: Parts: Plate4613982 or 4159007
",2,4415
54200,"Orange Slope 30 1 x 1 x 2/3Catalog: Parts: Slope4248195 or 4504371
",2,4415
3069b,"Orange Tile 1 x 2 with GrooveCatalog: Parts: Tile4188771
",2,4415
2412b,"Orange Tile, Modified 1 x 2 Grille with Bottom Groove / LipCatalog: Parts: Tile, Modified4125254
",1,4415
4592c02(inv),"Red Antenna Small Base with Black LeverCatalog: Parts: Antenna74335
",2,4415
2436,"Red Bracket 1 x 2 - 1 x 4Catalog: Parts: Bracket243621 or 4282742
",1,4415
3023,"Red Plate 1 x 2Catalog: Parts: Plate302321
",4,4415
3710,"Red Plate 1 x 4Catalog: Parts: Plate371021
",2,4415
3020,"Red Plate 2 x 4Catalog: Parts: Plate302021
",1,4415
4081b,"Red Plate, Modified 1 x 1 with Light Attachment - Thick RingCatalog: Parts: Plate, Modified6281994 or 4632572 or 4161412
",2,4415
6019,"Red Plate, Modified 1 x 1 with U Clip (Horizontal Grip)Catalog: Parts: Plate, Modified601921
",2,4415
54200,"Red Slope 30 1 x 1 x 2/3Catalog: Parts: Slope5074621 or 4504379 or 4244371
",6,4415
2432,"Red Tile, Modified 1 x 2 with Bar HandleCatalog: Parts: Tile, Modified243221
",1,4415
3788,"Red Vehicle, Mudguard 2 x 4 with Arch StuddedCatalog: Parts: Vehicle, Mudguard378821
",2,4415
30602,"Trans-Black Slope, Curved 2 x 2 LipCatalog: Parts: Slope, Curved6171717 or 47904111 or 4217722
",1,4415
47674,"Trans-Red Container, X-Pod Barrel Section 10 x 10 x 3 1/3Catalog: Parts: Container4236957
",1,4415
54200,"Trans-Red Slope 30 1 x 1 x 2/3Catalog: Parts: Slope6245252 or 4244363
",2,4415
3024,"Trans-Yellow Plate 1 x 1Catalog: Parts: Plate6252045 or 3000844
",2,4415
4073,"Black Plate, Round 1 x 1Catalog: Parts: Plate, Round614126
",1,4415
4592c02(inv),"Red Antenna Small Base with Black LeverCatalog: Parts: Antenna74335
",1,4415
30027bc01(inv),"Light Bluish Gray Wheel 8mm D. x 9mm for Slicks, Hole Notched for Wheels Holder Pin with Black Tire Smooth Small Wide Slick (30027b / 30028)Catalog: Parts: Wheel & Tire AssemblyPart Color Code Missing
",4,4415
