reference_number,color_and_brick,quantity,set_number
3008,"Black Brick 1 x 8Catalog: Parts: Brick300826
",2,7624
3023,"Black Plate 1 x 2Catalog: Parts: Plate302326
",4,7624
3021,"Black Plate 2 x 3Catalog: Parts: Plate302126
",4,7624
3795,"Black Plate 2 x 6Catalog: Parts: Plate379526
",1,7624
3832,"Black Plate 2 x 10Catalog: Parts: Plate383226
",2,7624
3680,"Black Turntable 2 x 2 Plate, BaseCatalog: Parts: Turntable368026
",1,7624
49668,"Bright Light Orange Plate, Modified 1 x 1 with Tooth HorizontalCatalog: Parts: Plate, Modified4282860
",2,7624
3659,"Dark Bluish Gray Arch 1 x 4Catalog: Parts: Arch4210999
",2,7624
48729b,"Dark Bluish Gray Bar   1L with Clip Mechanical Claw - Cut Edges and Hole on SideCatalog: Parts: Bar6278155 or 4289542
",1,7624
3062b,"Dark Bluish Gray Brick, Round 1 x 1 Open StudCatalog: Parts: Brick, Round4211090
",6,7624
4740,"Dark Bluish Gray Dish 2 x 2 Inverted (Radar)Catalog: Parts: Dish4211010
",1,7624
44658c01(inv),"Dark Bluish Gray Minifigure, Weapon Knives, 2 on SprueCatalog: Parts: Minifigure, Weapon4542586 or 4219836
",1,7624
2530,"Dark Bluish Gray Minifigure, Weapon Sword, CutlassCatalog: Parts: Minifigure, Weapon6205488 or 4210789
",2,7624
3022,"Dark Bluish Gray Plate 2 x 2Catalog: Parts: Plate4211094
",1,7624
3665,"Dark Bluish Gray Slope, Inverted 45 2 x 1Catalog: Parts: Slope, Inverted4211096
",4,7624
33057,"Dark Orange Turkey Drumstick, 20mm with Round Opening on BackCatalog: Parts: Food & Drink4278013
",1,7624
62575pb01,"Dark Red Ant with Marbled Trans-Black PatternCatalog: Parts: Animal, Land4542121 or 4527103
",3,7624
61880,"Dark Tan Cloth Tent, Indiana Jones PatternCatalog: Parts: Cloth4520142
",1,7624
30176,"Green Plant Brick, Round 1 x 1 with 3 Bamboo LeavesCatalog: Parts: Plant6270003 or 6248461 or 4114348
",1,7624
2423,"Green Plant Leaves 4 x 3Catalog: Parts: Plant6268814 or 242328
",1,7624
4865,"Light Bluish Gray Panel 1 x 2 x 1Catalog: Parts: Panel6146223 or 4211515
",1,7624
4623a,"Light Bluish Gray Plate, Modified 1 x 2 with Bar Arm Up (Horizontal Arm 6mm)Catalog: Parts: Plate, ModifiedPart Color Code Missing
",4,7624
4073,"Light Bluish Gray Plate, Round 1 x 1Catalog: Parts: Plate, Round4211525
",5,7624
3679,"Light Bluish Gray Turntable 2 x 2 Plate, TopCatalog: Parts: Turntable4540203 or 4495467 or 4211439
",1,7624
30663,"Light Bluish Gray Vehicle, Steering Wheel Small, 2 Studs DiameterCatalog: Parts: Vehicle6092956 or 30663194 or 4211701
",2,7624
30173,"Pearl Gold Minifigure, Weapon Sword, Shamshir/Katana (Octagonal Guard)Catalog: Parts: Minifigure, Weapon4569111 or 4505215
",1,7624
4528,"Pearl Light Gray Minifigure, Utensil Frying PanCatalog: Parts: Minifigure, Utensil4624615 or 4274575
",1,7624
3847,"Pearl Light Gray Minifigure, Weapon Sword, ShortswordCatalog: Parts: Minifigure, Weapon4505002
",1,7624
3899,"Red Minifigure, Utensil CupCatalog: Parts: Minifigure, Utensil389921
",1,7624
4589b,"Reddish Brown Cone 1 x 1 with Top GrooveCatalog: Parts: Cone4529242
",4,7624
30150,"Reddish Brown Container, Crate 3 x 4 x 1 2/3 with HandholdsCatalog: Parts: Container4211185
",1,7624
2524,"Reddish Brown Minifigure Backpack Non-OpeningCatalog: Parts: Minifigure, Body Wear6268828 or 4215414 or 4598713 or 4522646
",1,7624
61976,"Reddish Brown Minifigure, Utensil Bag Messenger PouchCatalog: Parts: Minifigure, Utensil6270078 or 6121728 or 4551118 or 4521276
",1,7624
61975,"Reddish Brown Minifigure, Weapon Whip CoiledCatalog: Parts: Minifigure, Weapon6071297 or 4521275
",1,7624
3031,"Reddish Brown Plate 4 x 4Catalog: Parts: Plate4225868 or 4243838
",1,7624
48723,"Reddish Brown Technic, Axle Connector Hub with 4 Bars and Pin HoleCatalog: Parts: Technic, Connector4252456
",1,7624
4032b,"Tan Plate, Round 2 x 2 with Axle Hole (x Shape)Catalog: Parts: Plate, Round4140562
",1,7624
3040,"Tan Slope 45 2 x 1Catalog: Parts: Slope4251973 or 4121972
",1,7624
3068bpb0148,"Tan Tile 2 x 2 with Groove with Map River, Dark Tan Mountains, Handwriting and Red 'X' PatternCatalog: Parts: Tile, Decorated4524449
",1,7624
30153,"Trans-Green Rock 1 x 1 Jewel 24 FacetCatalog: Parts: Rock6247788 or 4113955
",1,7624
6126,"Trans-Orange Wave Rounded with Base Pins (Castle Dragon Flame, Seaweed, Water)Catalog: Parts: Energy Effect4261397
",1,7624
30153,"Trans-Red Rock 1 x 1 Jewel 24 FacetCatalog: Parts: Rock6247785 or 4113954
",1,7624
4589,"Trans-Yellow Cone 1 x 1 without Top GrooveCatalog: Parts: Cone4567332 or 618844
",1,7624
32028,"White Plate, Modified 1 x 2 with Door RailCatalog: Parts: Plate, Modified320281 or 4170253 or 4249563
",1,7624
33085,"Yellow BananaCatalog: Parts: Food & Drink4114584
",1,7624
30374,"Yellow Bar   4L (Lightsaber Blade / Wand)Catalog: Parts: Bar6116606 or 4193511
",1,7624
iaj001(inv)," Indiana JonesCatalog: Minifigures: Indiana Jones
",1,7624
iaj014(inv)," Irina SpalkoCatalog: Minifigures: Indiana Jones: Kingdom of the Crystal Skull
",1,7624
iaj012(inv)," Mutt WilliamsCatalog: Minifigures: Indiana Jones: Kingdom of the Crystal Skull
",1,7624
48729b,"Dark Bluish Gray Bar   1L with Clip Mechanical Claw - Cut Edges and Hole on SideCatalog: Parts: Bar6278155 or 4289542
",1,7624
2530,"Dark Bluish Gray Minifigure, Weapon Sword, CutlassCatalog: Parts: Minifigure, Weapon6205488 or 4210789
",1,7624
4073,"Light Bluish Gray Plate, Round 1 x 1Catalog: Parts: Plate, Round4211525
",1,7624
3680c02(inv),"Black Turntable 2 x 2 Plate with Light Bluish Gray Top (3680 / 3679)Catalog: Parts: Turntable4221774
",1,7624
4032,"Tan Plate, Round 2 x 2 with Axle HoleCatalog: Parts: Plate, Round4140562
",1,7624
