reference_number,color_and_brick,quantity,set_number
multistk0016," Sticker Sheet for Sets 556, 620-1, 640-2, and 672 - (4608)Catalog: Parts: Sticker Sheet
",1,620
3835,"Light Gray Minifigure, Utensil AxeCatalog: Parts: Minifigure, Utensil383502
",1,620
122c01assy2(inv),"Light Gray Plate, Modified 2 x 2 with Red Wheels with Black Tires 15mm D. x 6mm Offset Tread Small (122c01 / 3641)Catalog: Parts: Wheel & Tire AssemblyPart Color Code Missing
",2,620
3005,"Red Brick 1 x 1Catalog: Parts: Brick300521
",2,620
3010,"Red Brick 1 x 4Catalog: Parts: Brick301021
",1,620
3010pb035u,"Red Brick 1 x 4 with Car Grille Chrome Pattern (Undetermined Type)Catalog: Parts: Brick, DecoratedPart Color Code Missing
",1,620
3633,"Red Fence 1 x 4 x 1Catalog: Parts: Fence4187280
",2,620
3023,"Red Plate 1 x 2Catalog: Parts: Plate302321
",4,620
3710,"Red Plate 1 x 4Catalog: Parts: Plate371021
",2,620
3020,"Red Plate 2 x 4Catalog: Parts: Plate302021
",2,620
3795,"Red Plate 2 x 6Catalog: Parts: Plate379521
",1,620
3031,"Red Plate 4 x 4Catalog: Parts: Plate303121 or 4243814
",1,620
3788,"Red Vehicle, Mudguard 2 x 4 with Arch StuddedCatalog: Parts: Vehicle, Mudguard378821
",2,620
3004,"Trans-Clear Brick 1 x 2Catalog: Parts: Brick4256587
",1,620
3823,"Trans-Clear Windscreen 2 x 4 x 2Catalog: Parts: Windscreen6253681 or 382340
",1,620
3062a,"Trans-Dark Blue Brick, Round 1 x 1 Solid StudCatalog: Parts: Brick, RoundPart Color Code Missing
",1,620
fire005(inv)," Plain Black Torso with Black Arms, Black Legs, Black Fire HelmetCatalog: Minifigures: Town: Classic Town: Fire
",1,620
BA068pb01,"Red Stickered Assembly 5 x 4 x 1 with Classic Fire Logo Pattern on Both Sides (Stickers) - Set 620 - 1 Plate 4 x 4 , 3 Plate 1 x 2, 1 Plate 2 x 4Catalog: Parts: Stickered AssemblyPart Color Code Missing
",1,620
fire005s(inv)," Fire - Torso Sticker with 4 Buttons, Black Fire HelmetCatalog: Minifigures: Town: Classic Town: Fire
",1,620
